qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Select_the_castle_an|Seleccionad el castillo y la cantidad de dinero y marcad las casillas para activar la demanda. Las demandas se combinan si ambas casillas están marcadas.
qstr_1000_denars|1000 monedas
qstr__Faction_Relations_R|Informe de Relación de Facciones
qstr__Return_to_menu_|Regresar al menú
qstr_Your_kingdom|Vuestro reino
qstr_Player^Relation|Relación^Jugador
qstr_War|Guerra
qstr_Casus_Belli|Casus Belli
qstr_Peace|Paz
qstr_Truce|Tregua
qstr_Alliance|Alianza
qstr_Defense|Defensa
qstr_Trade|Comercio
qstr_{reg59?{reg59}_days:|{reg59?{reg59} días:}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|Leal
qstr_Devoted|Devoto
qstr_Fond|Afectuoso
qstr_Gracious|Amable
qstr_Friendly|Amigable
qstr_Supportive|Solidario
qstr_Favorable|Favorable
qstr_Cooperative|Cooperador
qstr_Accepting|Tolerante
qstr_Indifferent|Indiferente
qstr_Suspicious|Receloso
qstr_Grumbling|Reticente
qstr_Hostile|Hostil
qstr_Resentful|Resentido
qstr_Angry|Enfadado
qstr_Hateful|Odio
qstr_Revengeful|Rencoroso
qstr_Vengeful|Vengativo
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}Enclaves
qstr_{reg62}_Caravans|{reg62} Caravanas
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}Señores
qstr_Sell_items_automatic|Vender objetos automaticamente al salir:
qstr_Price_limit_for_auto|Precio limite para autovender:
qstr_Item_types_for_auto_|Tipo de objetos para autovender:
qstr_Select_all|Selecionar todo.
qstr_Select_invert|Seleccionar inverso
qstr_{s1}^HP:_{reg0}|{s1}^HP: {reg0}
qstr_Attributes:|Atributos:
qstr_{s3}^STR:_{reg1}^INT|{s3}^FUE: {reg1}^INT: {reg2}^^Habilidades:
qstr_{s3}^Power_Strike:_{|{s3}^Potencia de golpe: {reg1}^Potencia de tensado: {reg2}^Potencia de lanzamiento: {reg3}^Arquería montada: {reg4}^^Habilidad con armas:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^Armas a 1 mano: {reg1}^Armas a 2 manos: {reg2}^Armas enastadas: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^AGI: {reg1}^CAR: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^Piel de hierro: {reg1}^Atletismo: {reg2}^Escudo: {reg3}^Cabalgar: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^Arcos: {reg1}^Ballestas: {reg2}^Armas arrojadizas: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|Equipamientos:
qstr_One_Handed_Weapons|Armas de una mano
qstr_Two_Handed_Weapons|Armas de dos manos
qstr_Polearms|Armas enastadas
qstr_Ranged_Weapons|Armas a distancia
qstr_Shields|Escudos
qstr_Helmets|Yelmos
qstr_Armors|Armaduras
qstr_Boots|Botas
qstr_Gauntlets|Guanteletes
qstr_Horses|Caballos
qstr_Please_reselect_a_co|Por favor, selecciona un compañero como comandante para la batalla.^^Comandate actual: {s0}.
qstr_Arms:|Armas:
qstr_{s2}^None|{s2}^Ninguna
qstr_{s2}^{s3}|{s2}^{s3}
qstr_{s2}^{s4}{s3}|{s2}^{s4}{s3}
qstr_{s2}^^Outfits:|{s2}^^Vestimentas:
qstr_{s2}^^Horse:|{s2}^^Caballo:
qstr_{s2}|{s2}
qstr_{reg1}^money_in_the_|{reg1}^dinero en el cofre
qstr_{reg2}^money_in_your|{reg2}^dinero en vuestro inventario
qstr_Withdraw|Retirar
qstr_Deposit|Depositar
qstr_Record_Battle_Size_a|Registrar Tamaño de batalla en Opciones:
qstr_The__Weapon_Use_Fixe|El 'Weapon Use Fixes' cambia la decisión del NPC-^de preparase para los siguientes tipos de armas.^^Deseleccionalo si no te gusta el comportamiento.
qstr_Use_NPC_Lancer_Fix:|Usar NPC Fix para Lanza a Caballo:
qstr_Use_NPC_Horse_Archer|Usar NPC Fix para Arquería Montada:
qstr_Use_NPC_Spear/Polear|Usar NPC Fix para Armas enastadas:
qstr_Use_Pike/Horse_Damag|Usar Balance de Daño Pica/Caballo:
qstr_Distance_limit_for_s|Distancia límite para ver Barras de vida:
qstr_Show_health_bars_of_|Mostrar barras de vida de tropas aliadas:
qstr_Show_health_bars_of_e|Mostrar barras de vida de tropas enemigas:
qstr_Show_battle_minimap:|Mostrar minimapa de batalla:
qstr_Size_of_battle_minim|Tamaño minimapa de batalla (%):
qstr_Enable_Battle_Contin|Activar continuar batalla:
qstr_Batt._Cont._Charge_a|Continuación batalla después de KO:
qstr_Formations_Battle_AI|IA Formación de batalla:
qstr_Enable_AI_to_use_Spe|Activar órdenes especiales para la IA:
qstr_Reassign_De_horsed_C|Reasignar caballería desmontada a:
qstr_Reassign_No_Ammo_Arc|Reasignar arquería sin munición a:
qstr_Reinforcement_waves:|Refuerzos:
qstr_Report_shot_distance|Informar distancia de disparo:
qstr_Report_extra_XP_&_Wp|Informar EXP extra % Hab. arma:
qstr_Enable_Bodyguards_in|Activar guardias en ciudades:
qstr_Morale_threshold_for|Umbral de moral por consumir alimentos^doblar la velocidad:
qstr_Speed_of_battles_on_|Velocidad de batallas en el mapa:
qstr_Skill_penalty_from_e|Penalización de habilidades por carga:
qstr_Ranged_penalty_from_|Penalización a distancia por el tiempo:
qstr_Disable_horse_speed_|Desactivar velocidad de caballo escalada:
qstr_Allow_drowning_in_mi|Permitir ahogarse en misiones:
qstr_Terrain_advantage_in|Ventaja por terreno en batallas auto:
qstr_Lords_returning_from|Lords regresando del exilio:
qstr_Diplomacy_AI_changes|IA Diplomacy cambios:
qstr_Diplomacy_economic_c|Diplomacy cambios economía:
qstr_Anti_woman_prejudice|Nivel de prejucio a mujeres:
qstr_Enable_Fog_of_War:|Activar Niebla de Guerra:
qstr_Disable_Time_of_Day:|Desactivar Momento del Día:
qstr_Probability_of_rain/|Probabilidad de lluvia/nieve (%):
qstr_Cloud_amount:|Cantidad de nubes:
qstr_Fog_strength:|Fuerza de la niebla:
qstr_Disable_companions__|Desactivar quejas de compañeros:
qstr_Enable_debug_mode:|Activar debug mode:
qstr_Charge_All|Cargar
qstr_Formations_AI|Formaciones de la IA
qstr_Native_AI_w/Formatio|IA Formaciones del Native
qstr_Enabled|Activado
qstr_Frequent|Frecuente
qstr_Low|Bajo
qstr_Medium|Medio
qstr_High/Experimental|Alto/Experimental
qstr_Default|Por defecto
qstr_High|Alto
qstr_Floris_Mod^Options|Opciones Floris Mod
qstr_About_morale_thresho|Sobra el umbral de moral: Si vuestra moral está por debajo de este valor, la velocidad consumiendo comida será el doble de la normal y el bonus de moral del grupo de toda la comida se duplicará también.
qstr_Restore_Defaults|Reestablecer valores por defecto
qstr_Key_Settings|Opciones de teclas
qstr_You_can_recruit_troo|Podéis reclutar tropas de {s1} para este {reg6?castillo:ciudad}. El Reclutamiento costará {reg4} monedas y requerirá al menos un día. Tenéis {reg1} monedas disponibles aquí (podéis reclutuar {reg2} {reg3?veces:vez}) y tenet {reg5} monedas en los cofres.
qstr_Decrease_times_of_re|Rebajar teimpo de reclutamiento
qstr_Increase_times_of_re|Incrementar tiempo de reclutamiento
qstr_Sovereign_color_of_t|Color Soberano de {s0}:
qstr_Red:|Rojo:
qstr_Green:|Verde:
qstr_Blue:|Azul:
qstr__| 
qstr_HTML_code:_{s0}|HTML code: {s0}
qstr_Randomize|Random
qstr_{s1}_{reg3}/{reg2}_|{s1}({reg3}/{reg2})
qstr_{s1}_{reg2}_|{s1}({reg2})
qstr_Move_to_Top|Mover Arriba
qstr_Move_Up|Subir
qstr_Move_Down|Bajar
qstr_Move_to_Bottom|Mover Abajo
qstr_Buy_foods_automaticl|Comprar comida automaticamente
qstr_*|*
qstr_Character_Background|Historia del personaje
qstr_Your_story:|Vuestra historia:
qstr_Your_gender:|Vuestro género:
qstr_Your_father_was:|Vuestro padre era:
qstr_You_spent_your_early|Dedicásteis la niñez a:
qstr_Later_you_became:|Más tarde fuisteis:
qstr_The_reason_for_an_ad|Iniciasteis la aventura por:
qstr_female|mujer
qstr_male|hombre
qstr_a_thief|un ladron
qstr_a_steppe_nomad|un nómada de las estepas
qstr_a_hunter|un cazador
qstr_a_veteran_warrior|un guerrero veterano
qstr_a_travelling_merchan|un mercader ambulante
qstr_an_impoverished_nobl|un noble venido a menos
qstr_a_steppe_child|un niño de las estepas
qstr_a_street_urchin|un pillo callejero
qstr_a_shop_assistant|un asistente de comercio
qstr_a_craftsman_s_appren|un aprendiz de artesano
qstr_a_page_at_a_nobleman|un page en la corte de un noble
qstr_a_game_poacher|un cazador furtivo
qstr_a_smith|un herrero
qstr_a_goods_peddler|un vendedor ambulante
qstr_a_university_student|un estudiante de universidad
qstr_a_troubadour|un trovador
qstr_a_squire|un escudero
qstr_a_lady_in_waiting|una dama casadera
qstr_lust_for_money_and_p|ansia de dinero y poder
qstr_being_forced_out_of_|fuiste echado de tu hogar
qstr_wanderlust|ganas de ver el mundo
qstr_the_loss_of_a_loved_|la pérdida de un ser querido
qstr_personal_revenge|venganza personal
qstr_Conscript_quality:|Calidad de reclutamiento:
qstr_High_centralization_r|Una centralización alta reduce los impuestos para los soberanos y los incrementa para los vasallos. Esto afectará a las relaciones.
qstr_High_aristocracy_will|Una aristocracia alta aumentará la relación entre vasallos y su soberano. Podrán tener una mayor cantidad de tropas en sus ejercitos pero bajara las habilidad de comercio con la clase mercantil.
qstr_High_serfdom_reduces_|Una servidumbre alta reduce impuestos para el soberano y sus vasallos. Éstos pueden tener ejércitos más grandes, pero los soldados pierden moral.
qstr_{reg0}_denars|{reg0} monedas
qstr__Sovereignty_Relatio|Informe de relaciones de soberanía
qstr_Your_sovereignty|Vuestra soberanía
qstr__Courtships_in_progr| Cortejos en progreso
qstr__Known_Lords_by_Rela| Lords conocidos por relación
qstr__Character_&_Compani| Personaje & Compañeros
qstr__Done_| Hecho
qstr_Your_supporters|Vuestros seguidores
qstr_Swadians|Swadianos
qstr_Vaegirs|Vaegirs
qstr_Khergits|Khergitas
qstr_Nords|Nórdicos
qstr_Rhodoks|Rhodoks
qstr_Sarranids|Sarraníes
qstr_All_Sovereignties|Soberanías
qstr__Back_to_shop_| Volver a la tienda
qstr_Strength|Fuerza
qstr_Riding|Cabalgar
qstr_Pdraw|F.tensado
qstr_Pthrow|F.lanzamiento
qstr_1_hand|1-mano
qstr_2_hand|2-manos
qstr_Polearm|Arma enastada
qstr_Archery|Arquería
qstr__X_bow_| Ballesta
qstr_Throwing_|Lanzamiento
qstr___Firearms| Armas de fuego
qstr__Mode| Modo
qstr__to_next_lvl_|(siguiente nivel)
qstr__1.3_| 1.3 
qstr_If_you_can_see_this_|Si puedes ver esto, compra un nuevo pc.
qstr___Weapons_| -Armas-
qstr___Armor_| -Armaduras-
qstr_________________n/a_|                n/a                
qstr_Rides|Paseos
qstr_Walks|Paseos
qstr_Startpage_set__Quick|Página de inicio (Vista rápida)
qstr_Back_to_shop|Volver a la tienda
qstr__[?]_| [?] 
qstr_Hotkeys:^HOME_=_Set_|Hotkeys:^HOME = Set startpage^RMB = Exit to menu^ESCAPE = Quick View^BACKSPACE = Back to shop (if visited)
qstr___Quit2__|- Salirt2 -
qstr__Quick_View_|Vista rápida
qstr_______|      
qstr_Attributes|Atributos
qstr_Skills|Habilidades
qstr_Proficiencies|Competencias
qstr_STR:|FUE:
qstr_AGI:|AGI:
qstr_INT:|INT:
qstr_CHA:|CAR:
qstr_Health:|Salud:
qstr_Level:|Nivel:
qstr_To_next_lvl:_|Para sig. nivel:
qstr_Ironflesh^Power_Stri|Piel de Hierro^Potencia de Golpeo^Potencia de Tensado^Maestría en Armas^Escudo^Atletismo^Cabalgar^Arquería montada^Saquear^Instruir^Rastrear
qstr_Tactics^Path_finding|Tácticas^Explorar^Otear^Administrar Inventario^Tratar Heridas^Cirugia^Primeros Auxilios^Ingeniería^Persuasión^Administración de Prisioneros^Liderazgo^Comercio
qstr_10|10
qstr_One_Handed_Weapons:^|Armas a una mano:^^Armas a dos manos:^^Armas enastadas:^^Arquería:^^Ballestas:^^Armas Arrojadizas:^^Armas de fuego:
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_| {reg1} 
qstr__100%__| 100%  
qstr__30_| 30 
qstr__3333333333_| 3333333333 
qstr__Weapons_|-Armas-
qstr__Armor_|-Armadura-
qstr_n/a_________________|n/a                                
qstr_{s9}_feels...|{s9} siente...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|vuestra elección de compañeros
qstr_{s7}|{s7}
qstr_your_style_of_leader|vuestro estilo de lidezago
qstr_{s8}|{s8}
qstr_the_general_state_of|el estado general de atención.^------------------------------
qstr_Morale:_____________|Moral:                       ^^Origen:          
qstr_State:______________|Estado:
qstr_Startpage_set__Exten|Página de inicio (Vista completa)
qstr_How_will_your_male_v|¿Cómo conocerán a tus vasallos?
qstr_How_will_your_female|¿Cómo conocerán a tus vasallas?
qstr_Default_title.|Título por defecto.
qstr_Set_Custom_Titles.|Fijar título personalizado.
qstr_Use_fief_based_title|Usar títulos basados en los feudos (Por defecto).
qstr_What_will_your_party|¿Cómo será tu grupo conocido?
qstr_By_the_name_entered_|Por el nombre introducido:
qstr_Simply_by_my_name:_{|Simplemente por el nombre: {s5}.
qstr__{s2}_siege_camp.| Campo de asedio de {s2}
qstr__Continue_|Continuar
qstr_This_area_of_{s1}_ca|Este area de {s1} puede ser mejor descrita como el núcleo de la ciudad.^^Casi puedes ver las cadenas que salen de aquí, el dinero que viene y va con tasas aparentemente interminables. Aquí podéis comprar la tierra que es cultivada fuera de las puertas de la ciudad y befeficiarte de un trabajo duro. Por supuesto, puedes no tener el dinero requerido para hacerlo, pero los prestamistas son conocidos por cambiar precisamente eso.
qstr_{reg1}_people_live_i|{reg1} personas viven en {s1}. Hay actualmente {reg2} acres de tierra disponible para cultivarlos y dotarlos de comida y otros bienes. Poseeis {reg3} acres de tierra en esta ciudad. Actualmente, le debeis a los prestamistas de {s1} {reg4} monedas. La tasa de intereses es del 20% y debéis pagar cada 2 semanas. Si no pagáis antes de la fecha los intereses suben al 40%. Comprar los acres restantes costaría {reg9} monedas, mientras se venden por {reg10} monedas. Construir uno nuevo requiere de {reg11} monedas. La renta pagada a los propietarios de las tierras acumula {reg13} moneras por acre cada dos semanas y tiene que recogerse en la ciudad. Las tierras no se alquilarán si la ciudad está ya bien suplida.
qstr_Choose_how_many_acre|Selecciona cuantos acres quieres vender:
qstr_Choose_how_many_acres|Selecciona cuantos acres quieres comprar:
qstr_Verify|Verificar
qstr_Choose_how_much_mone|Selecciona cuanto dinero quieres tomar prestado:
qstr_Buy_and_prepare_uncu|Comprar y preparar tierra sin cultivar:
qstr_Pay_off_your_debt_:|Pagar tu deuda:
qstr_{reg5}|{reg5}
qstr_You_cant_sell_0_acre|No puedes vender ningún acre.
qstr_You_cant_buy_0_acres|No puedes comprar ningún acre.
qstr_{reg6}|{reg6}
qstr_You_cant_borrow_0_de|No puedes tomar prestado 0 monedas.
qstr_{reg7}|{reg7}
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|No podéis pagar 0 monedas.
qstr_Town|Ciudad
qstr_Acres|Acres
qstr_Owned|Propietario
qstr_Balance|Balance
qstr_Assets|Bienes
qstr_Debt|Deuda
qstr_Deadline|Fin de plazo
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr_Merchant_Ledger|Libro de contabilidad
qstr_____Assessed_Profit_|    Evaluación de beneficios por subtítulos aquí
qstr_{s0}_products_from_{|{s0}, productos de {s1}:
qstr_^{s1}_sold_in_{s2}_w|^Vendiendo {s1} en {s2} ganarías {reg0} monedas.{s3}
qstr___Assessed_Profit_by|  Evaluación de beneficios por fecha
qstr_^{s1}_sold_in_{s2}_wo|^Vendiendo {s1} en {s2} ganarías {reg0} monedas (a partir de {s0}).{s3}
qstr_Production_in_{s1}|Producción en {s1}
qstr_Assessed_Profit_by_T|  Evaluación de beneficios por Producción
qstr_^{s1}_purchased_in_{|^Comprando {s1} en {s2} ganarías {reg0} monedas (a partir de {s0}).{s3}
qstr_Demand_in_{s1}|Demanda en {s1}
qstr_Assessed_Profit_by_To|  Evaluación de beneficios por Demanda
qstr_^Buy_in:_{s1}___sell|^Compra en: {s1} - vende en: {s2} por {reg0} monedas de beneficios (a partir de {s0}).{s3}
qstr_Supply_and_Demand_of|Sministros y demanda de {s1}
qstr_____Assessed_Profit_b|    Evaluación de beneficios por Intercambio de Bienes
qstr_Trim_ledger_entries_|Filtrar entradas más antiguas que:               días:
qstr_Remove_entries.|Eliminar entradas.
qstr_Trim_ledger_entries_c|Filtrar entradas sobre los siguientes bienes:
qstr_Use_slider_to_choose|Usa la barra para elegir el objeto.
qstr_Trim_ledger_entries_f|Filtrar entradas para bienes hechos en esta ciudad:
qstr_Use_slider_to_choose_|Usa la barra para elegir el objeto.
qstr_Remove_entries__Prod|Eliminar entradas (Producción).
qstr_Remove_entries__Dema|Eliminar entradas (Demanda).
qstr_Trim_ledger_entries_w|Filtrar entradas con menos beneficios que:                    monedas.
qstr_Ask_about_the_potent|Preguntar sobre los beneficios potenciales de los siguientes objetos^    cada vez que evaluas precios en los mercados.
qstr____________Log_Entry|           Opciones de las entradas.
qstr_Add_Note|Añadir Nota
qstr_Clear_Notes|Limpiar notas
qstr_Use_a_/\__caret__for|Usa /\ (signo de intercalación) para bajar una linea.
qstr_Chronological_Log|Entradas por cronología.
qstr_Production_Towns|Producción de Ciudades
qstr_Purchasing_Towns|Compras en Ciudades
qstr_Trade_Goods|Intercambio de bienes
qstr_Manage_Ledger|Administrar contabilidad
qstr_{s1}^+{s0}|{s1}^+{s0}
qstr_{reg0}_entries_remov|{reg0} entradas eliminadas del libro.
qstr_Plan_Deployment|Desplegar táctica
qstr_You_will_have_{reg1}|Tenéis {reg1} soldados disponibles para el inicio de la batalla.
qstr_Troop|Soldado
qstr_#_at_start__/_#_in_p|# al inicio/ # en el grupo
qstr_/_{reg0}|/ {reg0}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_troops|de {reg0} soldados
qstr_Ready_Troops|Soldados listos
qstr_Reassess|Revalorar
qstr_Scrap_All|Desechar todo
qstr_Too_many_troops^Chec|Demasiadas tropas^Comprobar número de disponibles
qstr_Initial|Inicial
qstr_Movement_1|Movimiento 1
qstr_Movement_2|Movimiento 2
qstr_Formation|Formación
qstr_Attack|Ataque
qstr_Weapon_Type|Tipo de Arma
qstr_Shield|Escudo
qstr_Skirmish|Escaramuza
qstr_Hold_Position|Mantener Posición
qstr_Back_10|Retrasar 10 pasos
qstr_Forward_10|Avanzar 10 pasos
qstr_Repeat_x|Repetir x
qstr_Square|Cuadrado
qstr_Wedge|Cuña
qstr_Shieldwall|Muro de escudos
qstr_Ranks|Fila
qstr_Ranged|A distancia
qstr_Two_Handed|Armas a dos manos
qstr_One_Handed|Armas a una mano
qstr_No_Shields|Sin Escudos
qstr_Use_Shields|Con Escudos
qstr_Avoid_Melee|Evitad cuerpo a cuerpo
qstr_Turn_to_weapon_order|Cambiar a opciones de armas...
qstr_Prepare_Orders|Preparar órdenes
qstr_Dispatch_Orders|Ejecutar órdenes
qstr_...Turn_to_positioni|...volver a órdenes de posicionamiento
qstr_Record_Battle_Size_as|Guardar tamaño de batalla como en opciones
qstr_Enable_ranged_penalt|Activar penalización a distancia por lluvia/nieve:
qstr_Disable_Companions__|Desactivar quejas de compañeros:
qstr_Enable_the_cheat_men|Activar el menú de trcos.
qstr_PBOD_Mod^Options|PBOD Mod^Opciones
qstr_Mouse_over_options_f|Opciones al poner el ratón encima
qstr_Weapon_Use_Fix_for_L|Usar Fix de Armas para Lanceros a caballo forzará a los bots montados con lanzas a usarlas a menos que estén rodeados de enemigos.
qstr_Weapon_Use_Fix_for_H|Usar Fix de Armas para Arqueros a caballo forzará a los bots montados con arcos a usarlos hasta que se queden sin munición.
qstr_Weapon_Use_Fix_for_S|Usar Fix de Armas para Armas enastadas forzará a los bots de infantería con armas enastadas a usarlas a menos que estén rodeados de enemigos.
qstr_Damage_tweaks_will_g|El balance de daño dará un bonus de daño a las lanzas frente a caballos y un bonus de daño por carga de los caballos hacia la infanteria. Todo ello en compensación para el pobre uso que la IA hace de estas armas y cargas.
qstr_Mounted_bots_once_th|Bots montados, una vez que sus caballos mueran, pueden ser reasignados a una división de tu eleción. Si está activo, serán reasignados a la infantería.
qstr_Foot_archer_bots_onc|Bots arqueros, una vez se queden sin munición, pueden ser reasignados a una división de tu eleción. Si está activo, serán reasignados a la infantería.
qstr_Battle_Continuation_|La continuación de batalla permite a tus tropas seguir la lucha aunque te dejen inconsciente.
qstr_If_Battle_Continuati|Si la continuación de batalla está activada, puedes seleccionar qué haran tus tropas incluso estando inconsciente. Desactivado, seguirán siguiendo tus órdenes anteriores; Cargar todo dará a todos la orden de cargar; Formaciones dela IA (Si está activo para la IA) permitirá a la IA asumir el control en tu lugar.
qstr_Select_your_prefered|Selecciona el tipo de batalla de la IA: Desactivado es el Native; Formaciones de IA permitirá a la IA usar formaciones y cambiar las decisiones tomadas en batalla;Native IA con Formaciones es la IA del Native con algunas formaciones básicas.
qstr_Enabling_AI_Special_|Activando las órdenes especiales la IA usará descargas de flechas (ballestas), el modo escaramuza (arqueros) y lanzas en ristre (infantería con armas enastadas).
qstr_Bodyguards_allows_yo|Activar guardias te permite acompañarte de compañeros en ciudades y pueblos. El número de guardias depende del liderazgo de tu personaje y su renombre.
qstr_The_Weather_Proficie|La penalización por el tiempo reduce las competencias con el arco para todas las tropas en la batalla mientras haya niebla, lluvia, nieve o el combate sea de noche.
qstr_Disabling_NPC_Compla|Desactivar las quejas de los compañeros hará que éstas no se muestren en pantalla cuando se pelean o le disgustan tus decisiones, sin embargo, las consecuencias de sus opiniones seguirán activas.
qstr_The_cheat/debug_mode|El modo debug/trucos activará mensajes de debug así como el menú de trucos en el menú de campamento y opciones adicionales en Informes.
qstr_Keys_Configuration|Configuración de teclas.
qstr_Press_Esc_to^^Disabl|Pulsa Esc para^^desactivar una tecla
qstr_DeathCam_Mouse_Sensi|Sensibilidad de cámara al morir
qstr_OK|OK
qstr_Reset|Reiniciar
qstr_Mod_Options|Opciones del mod
qstr_Press_a_key|Pulsa una tecla
qstr_{s10}___Formation_ty|{s10} - Órdenes para formación
qstr_{s11}___Weapon_order|{s11} - Órdenes para armas
