trp_multiplayer_profile_troop_male|perfil tropa multijugador hombre
trp_mercenary_e_edelknecht|Espadachín veterano mercenario
trp_mercenary_e_edelknecht_pl|Espadachines veteranos mercenarios
trp_mercenary_e_spiessknecht|Espadachín de élite mercenario
trp_mercenary_e_spiessknecht_pl|Espadachines de élite mercenarios
trp_mercenary_e_armbruster|Lancero mercenario
trp_mercenary_e_armbruster_pl|Lanceros mercenarios
trp_mercenary_e_brabanzon|Lancero veterano mercenario
trp_mercenary_e_brabanzon_pl|Lanceros veteranos mercenarios
trp_mercenary_e_burger|Lancero de élite mercenario
trp_mercenary_e_burger_pl|Lanceros de élite mercenarios
trp_mercenary_e_volksheer|Arquero mercenario
trp_mercenary_e_volksheer_pl|Arqueros mercenarios
trp_mercenary_e_halberdier|Arquero veterano mercenario
trp_mercenary_e_halberdier_pl|Arqueros veteranos mercenario
trp_mercenary_e_page|Arquero de élite mercenario
trp_mercenary_e_page_pl|Arqueros de élite mercenarios
trp_mercenary_e_armbrust_soldner|Ballestero mercenario
trp_mercenary_e_armbrust_soldner_pl|Ballesteros mercenarios
trp_mercenary_e_armbrust_miliz|Ballestero veterano mercenario
trp_mercenary_e_armbrust_miliz_pl|Ballesteros veteranos mercenarios
trp_mercenary_e_ritterbroeder|Ballestero de élite mercenario
trp_mercenary_e_ritterbroeder_pl|Ballesteros de élite mercenarios
trp_mercenary_e_soldner|Mercenario a caballo
trp_mercenary_e_soldner_pl|Mercenarios a caballo
trp_mercenary_e_reichslandser|Escudero
trp_mercenary_e_reichslandser_pl|Escuderos
trp_mercenary_e_ritter|Caballero errante
trp_mercenary_e_ritter_pl|Caballeros errantes
trp_mercenary_e_armbrust_komtur|Macero mercenario
trp_mercenary_e_armbrust_komtur_pl|Maceros mercenarios
trp_mercenary_e_doppelsoldner|Macero veterano mercenario
trp_mercenary_e_doppelsoldner_pl|Maceros veteranos mercenarios
trp_mercenary_e_komtur|Macero de élite mercenario
trp_mercenary_e_komtur_pl|Maceros de élite mercenarios
trp_mercenary_e_burgmann|Lancero dorniense mercenario
trp_mercenary_e_burgmann_pl|Lanceros dornienses mercenarios
trp_mercenary_e_komtur_ritter|Lancero veterano dorniense mercenario
trp_mercenary_e_komtur_ritter_pl|Lanceros veteranos dornienses mercenarios
trp_mercenary_e_kreuzritter|Lancero de élite dorniense mercenario
trp_mercenary_e_kreuzritter_pl|Lanceros de élite dornienses mercenarios
trp_mercenary_e_grosskomtur|Escaramuzador dorniense mercenario
trp_mercenary_e_grosskomtur_pl|Escaramuzadores dornienses mercenarios
trp_mercenary_e_landsknecht|Espadachín mercenario del hierro
trp_mercenary_e_landsknecht_pl|Espadachines mercenarios del hierro
trp_mercenary_e_hochmeister|Arquero mercenario a caballo
trp_mercenary_e_hochmeister_pl|Arquero mercenario a caballo
trp_mercenary_e_extra1|I1 Ciudadano rebelde
trp_mercenary_e_extra1_pl|I1 Ciudadanos rebeldes
trp_mercenary_e_extra2|I1 Ciudadano aventurero
trp_mercenary_e_extra2_pl|I1 Ciudadanos aventureros
trp_mercenary_e_extra3|I1 Ciudadano envidioso
trp_mercenary_e_extra3_pl|I1 Ciudadanos envidiosos
trp_mercenary_e_extra4|I1 Ciudadano viajero
trp_mercenary_e_extra4_pl|I1 Ciudadanos viajeros
trp_mercenary_e_extra5|I1 Ciudadano dócil
trp_mercenary_e_extra5_pl|I1 Ciudadanos dóciles
trp_mercenaries_end|fin de mercenarios
trp_mercenaries_end_pl|fin de mercenarios
trp_swadian_r_peasant|I1 Swadian Peasant
trp_swadian_r_peasant_pl|I1 Swadian Peasants
trp_swadian_n_peasant|I1 Swadian Peasant
trp_swadian_n_peasant_pl|I1 Swadian Peasants
trp_swadian_e_peasant|I1 Swadian Peasant
trp_swadian_e_peasant_pl|I1 Swadian Peasants
trp_swadian_messenger|Swadian Messenger
trp_swadian_messenger_pl|Swadian Messengers
trp_swadian_deserter|Swadian Deserter
trp_swadian_deserter_pl|Swadian Deserters
trp_swadian_prison_guard|Guardia de la prisión
trp_swadian_prison_guard_pl|Guardias de la prisión
trp_swadian_castle_guard|Guardia del castillo
trp_swadian_castle_guard_pl|Guardias del castillos
trp_stormlands_castle_guard|Guardia del castillo
trp_stormlands_castle_guard_pl|Guardias del castillo
trp_northern_castle_guard|Guardia de la Casa
trp_northern_castle_guard_pl|Guardias de la Casa
trp_vale_castle_guard|Guardia del castillo
trp_vale_castle_guard_pl|Guardias del castillo
trp_braavosi_castle_guard|Guardia del señor del mar
trp_braavosi_castle_guard_pl|Guardias del señor del mar
trp_riverlands_castle_guard|Guardia del castillo
trp_riverlands_castle_guard_pl|Guardias del castillo
trp_dornish_castle_guard|Guardia del castillo
trp_dornish_castle_guard_pl|Guardias del castillo
trp_dragonstone_castle_guard|Guardia del castillo
trp_dragonstone_castle_guard_pl|Guardias del castillo
trp_westerlands_castle_guard|Guardia del castillo
trp_westerlands_castle_guard_pl|Guardias del castillo
trp_reach_castle_guard|Guardia del castillo
trp_reach_castle_guard_pl|Guardias del castillo
trp_ironborn_castle_guard|Guardia de la Casa
trp_ironborn_castle_guard_pl|Guardias de la Casa
trp_pentos_castle_guard|Centinela
trp_pentos_castle_guard_pl|Centinelas
trp_tyrosh_castle_guard|Centinela
trp_tyrosh_castle_guard_pl|Centinelas
trp_myr_castle_guard|Centinela
trp_myr_castle_guard_pl|Centinelas
trp_lys_castle_guard|Centinela
trp_lys_castle_guard_pl|Centinelas
trp_volantis_castle_guard|Guardia del triarca
trp_volantis_castle_guard_pl|Guardias del triarca
trp_norvos_castle_guard|Guardia sagrado
trp_norvos_castle_guard_pl|Guardias sagrados
trp_lorath_castle_guard|Centinela
trp_lorath_castle_guard_pl|Centinelas
trp_sister_castle_guard|Guardia de la Casa
trp_sister_castle_guard_pl|Guardias de la Casa
trp_targaryen_castle_guard|Guardia del castillo
trp_targaryen_castle_guard_pl|Guardias del castillo
trp_wildling_castle_guard|Guardia del castillo
trp_wildling_castle_guard_pl|Guardias del castillo
trp_dothraki_castle_guard|Guardia del castillo
trp_dothraki_castle_guard_pl|Guardias del castillo
trp_stormlands_messenger|Mensajero de tierra de tormentas
trp_stormlands_messenger_pl|Mensajeros de tierra de tormentas
trp_stormlands_prison_guard|Guardia de la prisión
trp_stormlands_prison_guard_pl|Guardias de la prisión
trp_northern_messenger|Mensajero del norte
trp_northern_messenger_pl|Mensajeros del norte
trp_northern_prison_guard|Guardia de la prisión
trp_northern_prison_guard_pl|Guardias de la prisión
trp_vale_messenger|Mensajero del valle
trp_vale_messenger_pl|Mensajeros del valle
trp_vale_prison_guard|Guardia de la prisión
trp_vale_prison_guard_pl|Guardias de la prisión
trp_riverlands_messenger|Mensajero de tierra de ríos
trp_riverlands_messenger_pl|Mensajeros de tierra de ríos
trp_riverlands_prison_guard|Guardia de la prisión
trp_riverlands_prison_guard_pl|Guardias de la prisión
trp_dornish_messenger|Mensajero dorniense
trp_dornish_messenger_pl|Mensajeros dornienses
trp_dornish_prison_guard|Guardia de la prisión
trp_dornish_prison_guard_pl|Guardias de la prisión
trp_dragonstone_messenger|Mensajero rocadragón
trp_dragonstone_messenger_pl|Mensajeros rocadragón
trp_dragonstone_prison_guard|Guardia de la prisión
trp_dragonstone_prison_guard_pl|Guardias de la prisión
trp_westerlands_messenger|Mensajero del occidente
trp_westerlands_messenger_pl|Mensajeros del occidente
trp_westerlands_prison_guard|Guardia de la prisión
trp_westerlands_prison_guard_pl|Guardias de la prisión
trp_reach_messenger|Mensajero del dominio
trp_reach_messenger_pl|Mensajeros del dominio
trp_reach_prison_guard|Guardia de la prisión
trp_reach_prison_guard_pl|Guardias de la prisión
trp_ironborn_messenger|Mensajero de los hijos del hierro
trp_ironborn_messenger_pl|Mensajero de los hijos del hierro
trp_ironborn_prison_guard|Guardia de la prisión
trp_ironborn_prison_guard_pl|Guardias de la prisión
trp_sister_messenger|Mensajero de las tres hermanas
trp_sister_messenger_pl|Mensajeros de las tres hermanas
trp_sister_prison_guard|Guardia de la prisión
trp_sister_prison_guard_pl|Guardias de la prisión
trp_targaryen_messenger|Mensajero Targaryen
trp_targaryen_messenger_pl|Mensajeros Targaryen
trp_targaryen_prison_guard|Guardia de la prisión
trp_targaryen_prison_guard_pl|Guardias de la prisión
trp_braavosi_messenger|Mensajero Braavosí
trp_braavosi_messenger_pl|Mensajeros Braavosí
trp_braavosi_prison_guard|Guardia de la prisión
trp_braavosi_prison_guard_pl|Guardias de la prisión
trp_pentos_messenger|Mensajero pentoshí
trp_pentos_messenger_pl|Mensajeros pentoshí
trp_pentos_prison_guard|Guardia de la prisión
trp_pentos_prison_guard_pl|Guardias de la prisión
trp_tyrosh_messenger|Mensajero tiroshí
trp_tyrosh_messenger_pl|Mensajeros tiroshí
trp_tyrosh_prison_guard|Guardia de la prisión
trp_tyrosh_prison_guard_pl|Guardias de la prisión
trp_myr_messenger|Mensajero myrmés
trp_myr_messenger_pl|Mensajeros myrmeses
trp_myr_prison_guard|Guardia de la prisión
trp_myr_prison_guard_pl|Guardias de la prisión
trp_lys_messenger|Mensajero lysení
trp_lys_messenger_pl|Mensajeros lysení
trp_lys_prison_guard|Guardia de la prisión
trp_lys_prison_guard_pl|Guardias de la prisión
trp_volantis_messenger|Mensajero volantene
trp_volantis_messenger_pl|Mensajeros volantene
trp_volantis_prison_guard|Guardia de la prisión
trp_volantis_prison_guard_pl|Guardias de la prisión
trp_norvos_messenger|Mensajero norvoshí
trp_norvos_messenger_pl|Mensajeros norvoshí
trp_norvos_prison_guard|Guardia de la prisión
trp_norvos_prison_guard_pl|Guardias de la prisión
trp_lorath_messenger|Mensajero lorathí
trp_lorath_messenger_pl|Mensajeros lorathí
trp_lorath_prison_guard|Guardia de la prisión
trp_lorath_prison_guard_pl|Guardias de la prisión
trp_wildling_messenger|Mensajero de los salvajes
trp_wildling_messenger_pl|Mensajeros de los salvajes
trp_wildling_prison_guard|Guardia de la mazmorra
trp_wildling_prison_guard_pl|Guardias de la mazmorra
trp_dothraki_messenger|Emisario dothraki
trp_dothraki_messenger_pl|Emisarios dothrakis
trp_dothraki_prison_guard|Guardia de la mazmorra
trp_dothraki_prison_guard_pl|Guardias de la mazmorra
trp_vaegir_n_kholop|Vaegir Recruit
trp_vaegir_n_kholop_pl|Vaegir Recruits
trp_vaegir_r_kholop|I1 Vaegir Kholop
trp_vaegir_r_kholop_pl|I1 Vaegir Kholopy
trp_vaegir_e_kholop|I1 Vaegir Kholop
trp_vaegir_e_kholop_pl|I1 Vaegir Kholopy
trp_vaegir_messenger|Vaegir Messenger
trp_vaegir_messenger_pl|Vaegir Messengers
trp_vaegir_deserter|Vaegir Deserter
trp_vaegir_deserter_pl|Vaegir Deserters
trp_vaegir_prison_guard|Guardia de la prisión
trp_vaegir_prison_guard_pl|Guardias de la prisión
trp_vaegir_castle_guard|Guardia del castillo
trp_vaegir_castle_guard_pl|Guardias del castillo
trp_khergit_n_tariachin|Khergit Tribesman
trp_khergit_n_tariachin_pl|Khergit Tribesmen
trp_khergit_e_tariachin|I1 Khergit Tariachin
trp_khergit_e_tariachin_pl|I1 Khergit Tariachinuud
trp_khergit_messenger|Khergit Messenger
trp_khergit_messenger_pl|Khergit Messengers
trp_khergit_deserter|Khergit Deserter
trp_khergit_deserter_pl|Khergit Deserters
trp_khergit_prison_guard|Guardia de la prisión
trp_khergit_prison_guard_pl|Guardias de la prisión
trp_khergit_castle_guard|Guardia del castillo
trp_khergit_castle_guard_pl|Guardias del castillo
trp_nord_n_bondi|Nord Recruit
trp_nord_n_bondi_pl|Nord Recruits
trp_nord_r_bondi|I1 Nord Bondi
trp_nord_r_bondi_pl|I1 Nord Bondir
trp_nord_e_bondi|I1 Nord Bondi
trp_nord_e_bondi_pl|I1 Nord Bondir
trp_nord_e_berserkr|I2 Nord Berserkr
trp_nord_e_berserkr_pl|I2 Nord Berserkir
trp_nord_e_huskarl|I2 Nord Huskarl
trp_nord_e_huskarl_pl|I2 Nord Huskarlar
trp_nord_e_kertilsveinr|I3 Nord Kertilsveinr
trp_nord_e_kertilsveinr_pl|I3 Nord Kertilsveinar
trp_nord_e_bogmadur|A3 Nord Bogmadur
trp_nord_e_bogmadur_pl|A3 Nord Bogmadurar
trp_nord_e_gesith|A3 Nord Gesith
trp_nord_e_gesith_pl|A3 Nord Gesiths
trp_nord_e_gridman|I3 Nord Gridman
trp_nord_e_gridman_pl|I3 Nord Gridmen
trp_nord_e_ascoman|A4 Nord Ascoman
trp_nord_e_ascoman_pl|A4 Nord Ascomen
trp_nord_e_vikingr|I4 Nord Vikingr
trp_nord_e_vikingr_pl|I4 Nord Vikingar
trp_nord_e_einhleyping|I4 Nord Einhleyping
trp_nord_e_einhleyping_pl|I4 Nord Einhleypingar
trp_nord_e_bogsveigir|A4 Nord Bogsveigir
trp_nord_e_bogsveigir_pl|A4 Nord Bogsveigar
trp_nord_e_hermadur|A4 Nord Hermadur
trp_nord_e_hermadur_pl|A4 Nord Hermadurar
trp_nord_e_innaesmaen|I4 Nord Innaesmaen
trp_nord_e_innaesmaen_pl|I4 Nord Innaesmaener
trp_nord_e_vigamadr|I4 Nord Vigamadr
trp_nord_e_vigamadr_pl|I4 Nord Vigamadar
trp_nord_e_heimthegi|A5 Nord Heimthegi
trp_nord_e_heimthegi_pl|A5 Nord Heimthegir
trp_nord_e_hirdman|I5 Nord Hirdman
trp_nord_e_hirdman_pl|I5 Nord Hirdmen
trp_nord_e_lausaman|I5 Nord Lausaman
trp_nord_e_lausaman_pl|I5 Nord Lausamen
trp_nord_e_heahgerefa|A5 Nord Heahgerefa
trp_nord_e_heahgerefa_pl|A5 Nord Heahgerefar
trp_nord_e_himthige|I5 Nord Himthige
trp_nord_e_himthige_pl|I5 Nord Himthiger
trp_nord_e_kappi|I5 Nord Kappi
trp_nord_e_kappi_pl|I5 Nord Kappir
trp_nord_e_skjadsveinn|I5 Nord Skjadsveinn
trp_nord_e_skjadsveinn_pl|I5 Nord Skjadsveinnar
trp_nord_e_skutilsveinr|I6 Nord Skutilsveinr
trp_nord_e_skutilsveinr_pl|I6 Nord Skutilsveinar
trp_nord_e_ealdorman|A6 Nord Ealdorman
trp_nord_e_ealdorman_pl|A6 Nord Ealdormen
trp_nord_e_erfane_himthige|I6 Nord Erfarne Himthige
trp_nord_e_erfane_himthige_pl|I6 Nord Erfarne Himthiger
trp_nord_e_hetja|I6 Nord Hetja
trp_nord_e_hetja_pl|I6 Nord Erfarne Hetjar
trp_nord_e_husbondi|I6 Nord Husbondi
trp_nord_e_husbondi_pl|I6 Nord Husbondir
trp_nord_e_aetheling|I7 Nord Aetheling
trp_nord_e_aetheling_pl|I7 Nord Aethelinger
trp_nord_e_vaeringi|I7 Nord Vaeringi
trp_nord_e_vaeringi_pl|I7 Nord Vaeringir
trp_nord_e_extra1|I1 Rebelous Nord Bondi
trp_nord_e_extra1_pl|I1 Rebelous Nord Bondir
trp_nord_e_extra2|I1 Adventurous Nord Bondi
trp_nord_e_extra2_pl|I1 Adventurous Nord Bondir
trp_nord_e_extra3|I1 Begrudged Nord Bondi
trp_nord_e_extra3_pl|I1 Begrudged Nord Bondir
trp_nord_e_extra4|I1 Travelling Nord Bondi
trp_nord_e_extra4_pl|I1 Travelling Nord Bondir
trp_nord_e_extra5|I1 Docile Nord Bondi
trp_nord_e_extra5_pl|I1 Docile Nord Bondir
trp_nord_messenger|Nord Messenger
trp_nord_messenger_pl|Nord Messengers
trp_nord_deserter|Nord Deserter
trp_nord_deserter_pl|Nord Deserters
trp_nord_prison_guard|Guardia de la prisión
trp_nord_prison_guard_pl|Guardias de la prisión
trp_nord_castle_guard|Guardia del castillo
trp_nord_castle_guard_pl|Guardias del castillo
trp_rhodok_n_cittadino|Rhodok Tribesman
trp_rhodok_n_cittadino_pl|Rhodok Tribesmen
trp_rhodok_n_novizio|Rhodok Spearman
trp_rhodok_n_novizio_pl|Rhodok Spearmen
trp_rhodok_n_recluta_balestriere|Rhodok Crossbowman
trp_rhodok_n_recluta_balestriere_pl|Rhodok Crossbowmen
trp_rhodok_n_milizia|Rhodok Trained Spearman
trp_rhodok_n_milizia_pl|Rhodok Trained Spearmen
trp_rhodok_n_milizia_balestriere|Rhodok Trained Crossbowman
trp_rhodok_n_milizia_balestriere_pl|Rhodok Trained Crossbowmen
trp_rhodok_n_fante|Rhodok Veteran Spearman
trp_rhodok_n_fante_pl|Rhodok Veteran Spearmen
trp_rhodok_n_balestriere|Rhodok Veteran Crossbowman
trp_rhodok_n_balestriere_pl|Rhodok Veteran Crossbowmen
trp_rhodok_n_veterano|Rhodok Sergeant
trp_rhodok_n_veterano_pl|Rhodok Sergeants
trp_rhodok_n_balestriere_veterano|Rhodok Sharpshooter
trp_rhodok_n_balestriere_veterano_pl|Rhodok Sharpshooters
trp_rhodok_n_extra1|Rebelous Rhodok Tribesman
trp_rhodok_n_extra1_pl|Rebelous Rhodok Tribesmen
trp_rhodok_n_extra2|Adventurous Rhodok Tribesman
trp_rhodok_n_extra2_pl|Adventurous Rhodok Tribesmen
trp_rhodok_n_extra3|Begrudged Rhodok Tribesman
trp_rhodok_n_extra3_pl|Begrudged Rhodok Tribesmen
trp_rhodok_n_extra4|Travelling Rhodok Tribesman
trp_rhodok_n_extra4_pl|Travelling Rhodok Tribesmen
trp_rhodok_n_extra5|Docile Rhodok Tribesman
trp_rhodok_n_extra5_pl|Docile Rhodok Tribesmen
trp_rhodok_r_cittadino|I1 Rhodok Cittadino
trp_rhodok_r_cittadino_pl|I1 Rhodok Cittadini
trp_rhodok_r_novizio|I2 Rhodok Novizio
trp_rhodok_r_novizio_pl|I2 Rhodok Novizi
trp_rhodok_r_recluta|I2 Rhodok Recluta
trp_rhodok_r_recluta_pl|I2 Rhodok Reclute
trp_rhodok_r_lanciere_a_cavallo|C3 Rhodok Lanciere a Cavallo
trp_rhodok_r_lanciere_a_cavallo_pl|C3 Rhodok Lancieri a Cavalli
trp_rhodok_r_recluta_balestriere|A3 Rhodok Recluta Balestriere
trp_rhodok_r_recluta_balestriere_pl|A3 Rhodok Reclute Balestrieri
trp_rhodok_r_lanciere|I3 Rhodok Lanciere
trp_rhodok_r_lanciere_pl|I3 Rhodok Lancieri
trp_rhodok_r_lanza_spezzata|C4 Rhodok Lanza Spezzata
trp_rhodok_r_lanza_spezzata_pl|C4 Rhodok Lanze Spezzati
trp_rhodok_r_balestriere|A4 Rhodok Balestriere
trp_rhodok_r_balestriere_pl|A4 Rhodok Balestrieri
trp_rhodok_r_balestriere_leggero|A4 Rhodok Balestriere Leggero
trp_rhodok_r_balestriere_leggero_pl|A4 Rhodok Balestrieri Leggeri
trp_rhodok_r_lanciere_veterano|I4 Rhodok Lanciere Veterano
trp_rhodok_r_lanciere_veterano_pl|I4 Rhodok Lancieri Veterani
trp_rhodok_r_fante|I4 Rhodok Fante
trp_rhodok_r_fante_pl|I4 Rhodok Fanti
trp_rhodok_r_balestriere_veterano|A5 Rhodok Balestriere Veterano
trp_rhodok_r_balestriere_veterano_pl|A5 Rhodok Balestrieri Veterani
trp_rhodok_r_balestriere_d_assedio|A5 Rhodok Balestriere d'Assedio
trp_rhodok_r_balestriere_d_assedio_pl|A5 Rhodok Balestrieri d'Assedi
trp_rhodok_r_picchiere_veterano|I5 Rhodok Picchiere Veterano
trp_rhodok_r_picchiere_veterano_pl|I5 Rhodok Picchieri Veterani
trp_rhodok_r_capitano_d_assedio|A6 Rhodok Capitano d'Assedio
trp_rhodok_r_capitano_d_assedio_pl|A6 Rhodok Capitani d'Assedi
trp_rhodok_r_extra1|I1 Rebelous Rhodok Cittadino
trp_rhodok_r_extra1_pl|I1 Rebelous Rhodok Cittadini
trp_rhodok_r_extra2|I1 Adventurous Rhodok Cittadino
trp_rhodok_r_extra2_pl|I1 Adventurous Rhodok Cittadini
trp_rhodok_r_extra3|I1 Begrudged Rhodok Cittadino
trp_rhodok_r_extra3_pl|I1 Begrudged Rhodok Cittadini
trp_rhodok_r_extra4|I1 Travelling Rhodok Cittadino
trp_rhodok_r_extra4_pl|I1 Travelling Rhodok Cittadini
trp_rhodok_r_extra5|I1 Docile Rhodok Cittadino
trp_rhodok_r_extra5_pl|I1 Docile Rhodok Cittadini
trp_rhodok_e_cittadino|I1 Rhodok Cittadino
trp_rhodok_e_cittadino_pl|I1 Rhodok Cittadini
trp_rhodok_e_novizio|I2 Rhodok Novizio
trp_rhodok_e_novizio_pl|I2 Rhodok Novizi
trp_rhodok_e_recluta|I2 Rhodok Recluta
trp_rhodok_e_recluta_pl|I2 Rhodok Reclute
trp_rhodok_e_milizia|I3 Rhodok Milizia
trp_rhodok_e_milizia_pl|I3 Rhodok Milizie
trp_rhodok_e_milizia_balestriere|A3 Rhodok Milizia Balestriere
trp_rhodok_e_milizia_balestriere_pl|A3 Rhodok Milizie Balestrieri
trp_rhodok_e_recluta_balestriere|A3 Rhodok Recluta Balestriere
trp_rhodok_e_recluta_balestriere_pl|A3 Rhodok Reclute Balestrieri
trp_rhodok_e_lanciere|I3 Rhodok Lanciere
trp_rhodok_e_lanciere_pl|I3 Rhodok Lancieri
trp_rhodok_e_provisionato|I4 Rhodok Provisionato
trp_rhodok_e_provisionato_pl|I4 Rhodok Provisionati
trp_rhodok_e_fante|I4 Rhodok Fante
trp_rhodok_e_fante_pl|I4 Rhodok Fanti
trp_rhodok_e_balestriere|A4 Rhodok Balestriere
trp_rhodok_e_balestriere_pl|A4 Rhodok Balestrieri
trp_rhodok_e_balestriere_leggero|A4 Rhodok Balestriere Leggero
trp_rhodok_e_balestriere_leggero_pl|A4 Rhodok Balestrieri Leggeri
trp_rhodok_e_lanciere_veterano|I4 Rhodok Lanciere Veterano
trp_rhodok_e_lanciere_veterano_pl|I4 Rhodok Lancieri Veterani
trp_rhodok_e_lanciere_a_cavallo|C4 Rhodok Lanciere a Cavallo
trp_rhodok_e_lanciere_a_cavallo_pl|C4 Rhodok Lancieri a Cavalli
trp_rhodok_e_guardia|I5 Rhodok Guardia
trp_rhodok_e_guardia_pl|I5 Rhodok Guardie
trp_rhodok_e_veterano|I5 Rhodok Veterano
trp_rhodok_e_veterano_pl|I5 Rhodok Veterani
trp_rhodok_e_balestriere_veterano|A5 Rhodok Balestriere Veterano
trp_rhodok_e_balestriere_veterano_pl|A5 Rhodok Balestrieri Veterani
trp_rhodok_e_balestriere_d_assedio|A5 Rhodok Balestriere d'Assedio
trp_rhodok_e_balestriere_d_assedio_pl|A5 Rhodok Balestrieri d'Assedi
trp_rhodok_e_balestriere_a_cavallo|H5 Rhodok Balestriere a Cavallo
trp_rhodok_e_balestriere_a_cavallo_pl|H5 Rhodok Balestrieri a Cavalli
trp_rhodok_e_picchiere_veterano|I5 Rhodok Picchiere Veterano
trp_rhodok_e_picchiere_veterano_pl|I5 Rhodok Picchieri Veterani
trp_rhodok_e_lanza_spezzata|C5 Rhodok Lanza Spezzata
trp_rhodok_e_lanza_spezzata_pl|C5 Rhodok Lanze Spezzati
trp_rhodok_e_guardia_ducale|I6 Rhodok Guardia Ducale
trp_rhodok_e_guardia_ducale_pl|I6 Rhodok Guardie Ducali
trp_rhodok_e_capitano_di_ventura|I6 Rhodok Capitano di Ventura
trp_rhodok_e_capitano_di_ventura_pl|I6 Rhodok Capitani di Venturi
trp_rhodok_e_balestriere_pesante|A6 Rhodok Balestriere Pesante
trp_rhodok_e_balestriere_pesante_pl|A6 Rhodok Balestrieri Pesanti
trp_rhodok_e_capitano_d_assedio|A6 Rhodok Capitano d'Assedio
trp_rhodok_e_capitano_d_assedio_pl|A6 Rhodok Capitani d'Assedi
trp_rhodok_e_picchiere_fiammingo|I6 Rhodok Picchiere Fiammingo
trp_rhodok_e_picchiere_fiammingo_pl|I6 Rhodok Picchieri Fiamminghi
trp_rhodok_e_condottiero_d_assedio|A7 Rhodok Condottiero d'Assedio
trp_rhodok_e_condottiero_d_assedio_pl|A7 Rhodok Condottieri d'Assedi
trp_rhodok_e_condottiero|I7 Rhodok Condottiero
trp_rhodok_e_condottiero_pl|I7 Rhodok Condottieri
trp_rhodok_e_extra1|I1 Rebelous Rhodok Cittadino
trp_rhodok_e_extra1_pl|I1 Rebelous Rhodok Cittadini
trp_rhodok_e_extra2|I1 Adventurous Rhodok Cittadino
trp_rhodok_e_extra2_pl|I1 Adventurous Rhodok Cittadini
trp_rhodok_e_extra3|I1 Begrudged Rhodok Cittadino
trp_rhodok_e_extra3_pl|I1 Begrudged Rhodok Cittadini
trp_rhodok_e_extra4|I1 Travelling Rhodok Cittadino
