skl_trade|Obchodník
skl_reserved_13|Rezervovaná dovednost 13
skl_reserved_13_desc|Rezervovaná dovednost.
skl_power_draw|Lukostřelba
skl_power_draw_desc|Umožňuje Ti používat silnější loky a kuše. Každý bod (až do 4 + požadavek luku) zvyšuje působené zranění o 14%%. (Osobní dovednost)
skl_power_throw|Vrhání
skl_power_throw_desc|Každý bod zvyšuje zranění vržených zbraní o 10%%. (Osobní dovednost)
skl_power_strike|Síla úderu
skl_power_strike_desc|Každý bod zvyšuje působené zranění v boji zblízka o 8%%. (Osobní dovednost)
skl_ironflesh|Železná kůže
skl_ironflesh_desc|Každý bod zvyšuje množství životů o +2. (Osobní dovednost)
skl_reserved_14|Rezervovaná dovednost 14
skl_reserved_14_desc|Rezervovaná dovednost.
skl_reserved_15|Rezervovaná dovednost 15
skl_reserved_15_desc|Rezervovaná dovednost.
skl_reserved_16|Rezervovaná dovednost 16
skl_reserved_16_desc|Rezervovaná dovednost.
skl_reserved_17|Rezervovaná dovednost 17
skl_reserved_17_desc|Rezervovaná dovednost.
skl_reserved_18|Rezervovaná dovednost 18
skl_reserved_18_desc|Rezervovaná dovednost.
