dlga_start:lco_conversation_end|Tady jsi.
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Dobrá tedy. Jsou zde čtyři různé směry útoků. Jsou jimi horní, pravý a levý švih a bodnutí. Teď ti řeknu z kterého směru máš zaútočit a ty se pokusíš o ten správný útok. ^^(Pohni myší zatímco držíš levé tlačítko pro zvolení směru útoku. Například pro horní švih pohni myší nahoru ve chvíli kdy stiskneš levé tlačítko. Ikonky na obrazovce ti pomohou provést správný úder.)
dlga_fighter_talk_train_attack_2:close_window|Tak začněme. Jsem připraven.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Vlastně bych raději dělal něco jiného.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Narozdíl od štítu, obrana zbraní může zastavit útok přicházející pouze z jednoho směru. Například pokud se blokuješ shora, odrazíš pouze horní švih. Stále můžeš být zasažen z boku nebo bodnutím. ^^(Pro blokování musíš stisknout a podržet pravé tlačítko.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Teď budu útočit z různých směrů a chci abys je všechny zablokoval. Snaž se provést správný blok co nejrychleji. ^^(Toto cvičení je lehké s nastavením 'automatického blokování', které je v základu zapnuté. Pokud vstoupíš do nastavení a změníš směr obrany na určen klávesnicí, nebo myší, budeš muset vybírat směr ručně. To je mnohem náročnější, ale hra bude o to více zajímavá. V takovém případě může být toto cvičení velmi nápomocné.)
dlga_fighter_talk_train_parry_3:close_window|Tak začněme. Jsem připraven.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Vlastně bych raději dělal něco jiného.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Sparing je výborný způsob přípravy pro skutečný boj. Budeme bojovat proti sobě nesmrtícími zbraněmi, dokud jede z nás nespadne na zem. Samozřejmě můžeš získat nějaké ty modřiny, ale pořád lepší, než se nechat pořezat skutečnou zbraní.
dlga_fighter_talk_train_combat_2:close_window|Tak začněme. Jsem připraven.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Vlastně bych raději dělal něco jiného.
dlga_start:fighter_parry_try_again|Dobře. Byl si schopný blokovat mé útoky. Můžeš si toto cvičení zopakovat a zkusit to pokaždé o něco rychleji, dokud si svou obranou nebudeš jistý. Chceš to zkusit znovu?
dlga_start:fighter_parry_try_again.1|No to nešlo moc dobře, že? (Pamatuj, musíš stisknout a podržet pravé tlačítko myši, aby blok fungoval.) Chceš tomu dát ještě šanci?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Ano, zkusme to znovu.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Ne, díky. Myslím, že mi to stačilo.
dlga_start:fighter_parry_warn|Hej! Děláme obranné cvičení {kámo/děvče}! Máš se bránit mým útokům, ne mi je vracet.
dlga_fighter_parry_warn:fighter_talk_train_parry|Promiň, zkusme to znovu.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Promiň, musím tohle cvičení nechat.
dlga_fighter_talk_leave_parry:close_window|Dobrá, jak chceš.
dlga_start:fighter_combat_try_again|No, to nešlo moc dobře, že? Nebuď kvůli tomu naštvan{ý/á} a zkus se příště vyvarovat těm samým chybám. Chceš to zkusit znovu?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Ano, dám si ještě jedno kolo.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Ne, tohle mi už stačilo.
dlga_fighter_talk_leave_combat:close_window|No dobrá, řekni pokud si to rozmyslíš.
dlga_start:fighter_combat_try_again.1|Hej, to byl dobrý sparing. Porazi{l/la} jsi mě, ale příště si dám větší pozor. Chceš to zkusit znovu?
dlga_start:fighter_talk.2|Velmi dobře. Naučil ses jak zaútočit odkud chceš. Pokud chceš můžeme si to zkusit znovu, nebo se přesunem k dalšímu cvičení.
dlga_start:archer_challenge_2|To nebylo zlé. Zdá se, že jsi pochytil základy lukostřelby. Teď zkus to samé, ale s kuší. Vezmi si tu kuši a šipky co jsou támhle a tref se to těch třech terčů. S kuší je mnohem snazší střílet oproti luku, ale potřebuješ ji přebít po každém výstřelu.
dlga_start:archer_challenge_2.1|Dobře, neměl jsi moc problémů ani s kuší. Další na řadě jsou vrhací zbraně. Vezmi si oštěpy co jsou támhle a tref ty tři terče.
dlga_start:ranged_end|Nuže, získal jsi základní schopnosti ovládání všech tří typů střelných zbraní. Zbytek přijde s cvikem. Trénuj každý den a za čas budeš dobrý jako nejlepší střelci v Calradii.
dlga_ranged_end:close_window|Teď si můžeš jít promluvit s cvičiteli boje zblízka, nebo jezdectví, pokud jsi to ještě neudělal. Mohou tě také naučit důležité schopnosti.
dlga_start:archer_talk|Zdravím tě, mládenče. Trávím čas vyučováním zacházení se střelnými zbraněmi každého, kdo má zájem. Pokud chceš učitele, dej mi vědět a naučím tě jak používat luk, kuši a oštěpy.
dlga_archer_talk:archer_challenge|Ano, nauč mě používat zbraně na dálku.
dlga_archer_talk:close_window|Ne, teď ne.
dlga_archer_challenge:archer_challenge_2|Dobrá. Tvůj první trénink bude v lukostřelbě. Luk je náročná zbraň na ovládnutí, ale jakmile se v tom jednou staneš dobrým, můžeš střílet rychle a s velkou silou. Běž si sebrat ten luk a šípy co tu vidíš a tref se do těch terčů.
dlga_archer_challenge_2:close_window|Dobře, jsem přípraven.
dlga_archer_challenge_2:close_window.1|Minutku, chci nejprve něco udělat.
dlga_start:horseman_melee_challenge_2|Doufám, že sis užil jízdu. Teď zkusíme něco náročnějšího. Vezmi si to kopí a jeď znovu a tref všechny terče.
dlga_start:horseman_melee_challenge_2.1|Dobře! Trefil si všechny terče ze hřbetu koně. To pro začátek není snadné. Další výzva bude s použitím luku. Miř na ty střelecké terče cestou. Pro zvládnutí musíš trefit každý z nich.
dlga_start:horsemanship_end|Velmi dobře. Trefil si je všechny i ze hřbetu koně. Pokračuj v cvičení jezdectví každý den a brzy budeš zkušeným jezdcem.
dlga_horsemanship_end:close_window|Teď si můžeš jít promluvit s cvičitelem boje z blízka nebo střelby, pokud jsi to ještě neudělal. Musíš se naučit všechno co můžeš, abys byl připraven se bránit.
dlga_start:horseman_talk|Dobrý den. Přišel jsem se procvičit v jezdectví, ale bolí mě kosti a raději si dnes odpočinu. Pokud chceš můžeš si půjčit mou klisnu a procvičit se. Trocha pohybu ji udělá dobře.
dlga_horseman_talk:horseman_challenge|Ano, to bych moc rád.
dlga_horseman_talk:close_window|Uhm, možná později.
dlga_horseman_challenge:horseman_melee_challenge_2|Dobře. Teď ti dám pár cviků, ve kterých se naučíš používat zbraně ze hřbetu koně. Tvůj první úkol je jednoduchý. Nasedni na koně a projeď se tu. Jakkoliv pomalu, nebo rychle chceš, a až si budeš  v sedle jistý vrať se a dám ti pár náročnějších cvičení.
dlga_horseman_melee_challenge_2:close_window|Dobře, jsem přípraven.
dlga_horseman_melee_challenge_2:close_window.1|Minutku, chci nejprve něco udělat.
dlga_tutorial_troop_default:close_window|Hej, snažím se tu cvičit. Běž si promluvit s cvičitelem střelby pokud potřebuješ.
dlga_start:lord_prison_break_confirm_3|Je snad změna plánu?
dlga_start:lord_prison_break|Co se děje?
dlga_start:drunk_response|Na co to tak civíš?
dlga_start:drunk_response.1|To civíš na mě?
dlga_player_duel_response:close_window|Taková škoda...
dlga_player_duel_response:close_window.1|Raději on, než-li já.
dlga_drunk_response:drunk_fight_start|Nejsem si jistý... nějaké zvíře očividně.
dlga_drunk_response:dplmc_drunk_attempt_placate|Pardon, přijměte mou omluvu, prosím
dlga_dplmc_drunk_attempt_placate:close_window|Nechám to plavat... pro tentokrát. Teď odprejskni.
dlga_dplmc_drunk_attempt_placate:close_window.1|Smažu ti ten škleb z tváře.
dlga_drunk_fight_start:close_window|Smažu ti ten škleb z tváře.
dlga_drunk_response:drunk_player_high_renown|Máš představu o tom kdo jsem?
dlga_drunk_player_high_renown:drunk_fight_start|Má mě to zajímat?
dlga_drunk_player_high_renown:drunk_fight_start.1|Velká slova od zakrslíka. Srovnám tě, kam patříš.
dlga_drunk_player_high_renown:drunk_player_high_renown|Emmm... Vlastně... Ano, ano, vím kdo jste, {s0}. Prosím odpustě mi, {Vaše milosti/Má paní}. Musím být opilí, hned odcházím.
dlga_drunk_player_high_renown:drunk_fight_start.2|Proč, když chceš boj, máš ho mít!
dlga_drunk_player_high_renown:close_window|Myslel jsem si to. Teď se odkliď.
dlga_start:fistfight_response|Vypadáš jako {chlap/žena} co snese pár tvrdých ran a taky je umí vrátit. Mám pro tebe zajímavou nabídku pokud máš zájem.
dlga_fistfight_response:fistfight_response_2|Jakou?
dlga_fistfight_response_2:fistfight_response_2a|Dobře, jsem rád, že máš zájem. Tady je můj plán, je to trochu komplikované, takže poslouchej pozorně.
dlga_fistfight_response_2a:fistfight_response_3|Ty a tenhle chlap tu začnete boj, žádné zbraně, žádné brnění. Já to budu sledovat zpovzdálí a brát sázky. Pokud vyhraješ, zisk si rozdělíme. Pokud budeme tratit tak to celé zaplatím. Nemáš co ztratit, tedy kromě trochy krve, samozřejmě.
dlga_fistfight_response_3:fistfight_response_4|Každopádně to nemůžeme udělat jako v aréně, kde si každý přijde vsadit před zápasem. Lidí vejdou dovnitř, podívat se co je to tu za rozruch a budou si chtít vsadit na toho, kdo podle nich zrovna vyhrává. Dám na vás rovný kurz, jinak by to bylo moc složité na někoho, kdo už pije svůj třetí džbán piva.
dlga_fistfight_response_4:fistfight_response_4a|Takže trik je v tom protáhnout ten souboj co nejdéle, tak aby to vypadalo, že prohráváš a lidé si vsadí proti tobě. Pak se vzchopíš a vyhraješ, než si začnou vsázet na tebe. Nejlepší bude, pokud se necháš téměř srazit na zem a nakonec se vzchopíš a složíš toho chlapa. Musí to však být až na samotném konci, abychom si něco vydělali. 
dlga_fistfight_response_4a:fistfight_response_5|Také však nemůžeš ten souboj protahovat příliš dlouho, nebo lidé začnou být podezíraví, takže každou chvíli musí aspoň jeden z vás dostat pořádnou ránu. Je mi jedno čí krev bude prolita, ale něčí téct musí.
dlga_fistfight_response_5:fistfight_response_5a|A ještě jedna věc, příteli, tvůj soupeř... není moc vynalézavý. Půjdou po tobě přímo, takže je na tobě abys {zahrál/zahrála} správně to divadlo.
dlga_fistfight_response_5a:fistfight_response_confirm|Takže, co myslíš?
dlga_fistfight_response_confirm:close_window.1|Mám lepší věci na práci.
dlga_start:ramun_introduce_1|Přeji Vám hezký den, {mládenče/děvče}.
dlga_ramun_introduce_1:ramun_introduce_2|Odpusťte mi, vypadáte jako obchodník, ale nevidím žádné Vaše zboží.
dlga_ramun_introduce_1:close_window|Nevadí.
dlga_ramun_introduce_2:ramun_introduce_3|Obchodník? Ale ano, to rozhodně jsem. Ale moje zboží se od ostatním trochu liší. Musí být nakrmeno a napito dvakrát denně a snaží se utéct, když se otočím.
dlga_ramun_introduce_3:ramun_introduce_4|Hospodářská zvířata?
dlga_ramun_introduce_4:ramun_introduce_5|Vcelku blízko. Jsem člověk, který drží každou loď na moři v pohybu. Lodě jsou poháněny vesly, jak víš, a vesla potřebují muže, kteří je tahají. A tam přicházím já.
dlga_ramun_introduce_5:ramun_introduce_6|Lodní otroci.
dlga_ramun_introduce_6:ramun_introduce_7|Teď jste to trefil! Obchodní přístav jako tento by bez nich nemohl přežít. Lodě ztratí pár rukou pokaždé, když vyplují, takže je vždy vysoká poptávka. Kapitáni chodí ke mě a platí dobře.
dlga_ramun_introduce_7:ramun_introduce_8|Odkud ti otroci pocházejí?
dlga_ramun_introduce_8:ramun_introduce_9|Většinou to jsou odsouzení kriminálníci, které odkupuji od správců. Jiní jsou vězni z války, různých národností, kteří jsou přivedeni ke mě, protože nabízím nejlepší ceny. každopádně příležitostně kupuji i od lupičů a jiných 'individuí'. Nemůžeš být vybíravý pokud jde o dodavatele v tomto oboru. Náhodou sebou nemáš nějaké vězně, že?
dlga_ramun_introduce_9:ramun_introduce_10|Já?
dlga_ramun_introduce_10:ramun_introduce_11|Proč ne? Pokud odejdeš z města, dříve či později s někým zkřížíš meče. A když dá Bůh, zvítězíš. Proč si na tom také trochu nepřivydělat? Přiveď je živé zpátky ke mně a zaplatím ti 50 zlatých za každého z nich. Kdo byli nebo odkud pochází mě nezajímá.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm. Popřemýšlím o tom.
dlga_ramun_introduce_12:close_window|To rozhodně udělej! Je zde spousta možností k výdělku pro nás pro oba.
dlga_start:ramun_talk|Zdravím, {playername}.
dlga_ramun_pre_talk:ramun_talk|Ještě něco?
dlga_ramun_talk:ramun_sell_prisoners|Přivedl jsem ti nějaké vězně, Ramune. Chceš se podívat?
dlga_ramun_talk:ramun_sell_prisoners_all|Chci prodat všechny vězně co tu se sebou mám.
dlga_ramun_sell_prisoners_all:ramun_sell_prisoners_all_2|Vezmu si tvých {reg0} {reg2?věznů:vězně} za {reg1} zlaťáků. Platí?
dlga_ramun_sell_prisoners_all_2:ramun_sell_prisoners_2|Platí.
dlga_ramun_sell_prisoners_all_2:ramun_pre_talk|Nech mě si to rozmyslet.
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Podívám se co tu máš...
dlga_ramun_sell_prisoners_2:close_window|Potěšení s tebou obchodovat.
dlga_ramun_talk:ramun_ask_about_capturing|Jak někoho zajmu?
dlga_ramun_talk:ramun_ask_about_capturing.1|Můžeš mi znovu povědět o zajímání vězňů?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Jsi v tomhle {nový/nová} že? Vysvětlím ti to co nejjednodušeji. Základem pro zajmutí nepřátel je používat tupé zbraně, jako jsou palice, kyje nebo palcáty místo sekaní ostrým mečem. Takhle se na chvíli prospí místo toho, aby vykrváceli k smrti, chápeš? Předpokládám, že nějakou tupou zbraň máš...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Samozřejmě.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Ve skutečnosti, ne.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Dobrá, pak tedy vše co musíš udělat, je ty prevíty tou zbraní umlátit do bezvědomí, a až bude po boji tak ho vsadíš do řetězů. Trochu jiné je to s lordy a šlechtici. Bývají tak dobře chránění, že nezáleží na tom jakou zbraň použiješ, ale obyčejní vojáci budou krvácet, jak zapíchnuté prase, pokud proti nim použiješ něco ostrého. Nemám moc velké nároky na své zboží, ale musejí dýchat, když je kupuji.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Ne? Heh, tak to musí být tvůj šťastný den. Mám tu se sebou jednu starou palici, kterou jsem stejně chtěl vyhodit. je trochu otlučená, ale stále se sní dá někdo srazit k zemi. Tady, vezmi si ji.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Díky Ramune. Možná si to s ní vyzkouším.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Dobrá, zkusím ti to vysvětlit znovu. Základem pro zajmutí nepřátel je používat tupé zbraně, jako jsou palice, kyje nebo palcáty místo sekaní ostrým mečem. Trochu jiné je to s lordy a šlechtici. Bývají tak dobře chránění, že nezáleží na tom jakou zbraň použiješ, ale obyčejní vojáci budou krvácet, jak zapíchnuté prase, pokud proti nim použiješ něco ostrého.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|No, teď už tomu snad rozumíš. Ještě něco?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|No, není to tak jednoduché jak se to zdá. Tupé zbraně nezpůsobí tolik škody jako ostré, takže s nimi nevyhraješ tak snadno. A věř mi, mít sebemenší příležitost, většina těch mizerů by tě zabila hned na potkání, takže od nich nečekej žádné slitování, ani když vytáhneš palici místo meče. Kromě toho tím, že se sebou budeš vláčet vězně tě zpomalí, což je i důvod proč je mnozí propustí hned po bitvě. Je to šílenství. Jak může někdo jen tak pustit tolik zlata, eh?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Je to všechno?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Už jen poslední věc. Starat se o vězně není snadné, můžeš to nazvat dovedností, pokud chceš. Jestli chceš zajmou mnoho vězňů, {měl/měla} by ses o tom něco přiučit, nebo se nepostaráš o jediného může co chytíš.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Díky, budu si to pamatovat.
dlga_ramun_talk:ramun_leave|Raději už půjdu.
dlga_ramun_leave:close_window|Pamatuj, jakéhokoliv vězně co budeš mít přiveď ke mě. Za každého z nich ti zaplatím zlatem.
dlga_start:close_window.5|Pokorně žádám aby {vaše lordstvo držel/milostivá paní držela} ruce tak, abych na ně viděl.
dlga_start:manhunter_talk_b|Hej, ty tam! {Neviděl/Neviděla} jsi tu v okolí nějaké psance?
dlga_manhunter_talk_b:manhunter_talk_b1|Ano, prošli tu asi před hodinou.
dlga_manhunter_talk_b1:close_window|Věděl jsem to! Pojďte chlapi dostaneme ty bastardy! Díky ti, příteli.
dlga_manhunter_talk_b:manhunter_talk_b2|ne, žádné jsem tu poslední dobou {neviděl/neviděla}.
dlga_manhunter_talk_b2:close_window|Bah. V téhle zemi jsou zahrabaní jako krysy, však mi si je stejně najdeme... dříve či později.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Nebojím se tě. Bojuj, pokud na to máš odvahu.
dlga_looters_2:close_window.1|Ode mě dostaneš leda tak chladnou ocel, zmetku.
dlga_start:smugglers_intro_1|Hezký den.
dlga_smugglers_intro_1:smugglers_intro_2|{Slyšel/Slyšela} jsem, že jste způsobily nějaké problémy v {s1}. Dej mi jeden dobrý důvod proč bych tě tu {neměl/neměla} zabít.
dlga_smugglers_intro_2:smugglers_intro_3|Skryli jsme se v {s1}, to ano, ale jen protože jsme potřebovali někde zůstat. Možná jsme se nechovali zrovna nejlépe. Městská stráž nás vyhnala z {s6}, v jedné ze svých čistek a my jsme jen čekali, než se věci uklidní. Míříme tam zpátky, a už nikdy nebudeme vesničanům {s1} působit potíže. Pokud nás necháš jít, dám ti džbán toho nejlepšího vína co tu mám, které obchodníci schovává leda tak pro urozené, a běžný člověk se k němu nedostane v hostincích či obchodech.
dlga_smugglers_intro_2:smugglers_intro_3a|Skryli jsme se v {s1}, to ano, ale jen protože jsme potřebovali někde zůstat. Možná jsme se nechovali zrovna nejlépe. Městská stráž nás vyhnala z {s6}, v jedné ze svých čistek a my jsme jen čekali, než se věci uklidní. Míříme tam zpátky, a už nikdy nebudeme vesničanům {s1} působit potíže. Pokud nás necháš jít, dám ti 250 zlatých.
dlga_smugglers_intro_3:smugglers_go_back|Myslíš si, že bych {vzal/vzala} úplatek!
dlga_smugglers_intro_3:smugglers_let_go|No, možná mluvíš pravdu. Dobrá tedy. Pokud se někdo zeptá, {neviděl/neviděla} jsem vás.
dlga_smugglers_intro_3a:smugglers_go_back|Myslíš si, že bych {vzal/vzala} úplatek!
dlga_smugglers_intro_3a:smugglers_let_go_a|No, možná mluvíš pravdu. Dobrá tedy. Pokud se někdo zeptá, {neviděl/neviděla} jsem vás.
dlga_smugglers_go_back:close_window|Fajn, ať je po tvém!
dlga_smugglers_let_go:close_window|Nechť ti bohové požehnají, {playername}. Nezapomene jak jsi nám {pomohl/pomohla}. Tady je to víno. Buď s tím {opatrný/opatrná}, je to vzácné zboží.
dlga_smugglers_let_go_a:close_window|Nechť ti bohové požehnají, {playername}. Nezapomene jak jsi nám {pomohl/pomohla}. Tady je to zlato.
dlga_start:close_window.6|Přeji ti dobrý den, příteli. Neměj obavy. Pokud se někdo zeptá, {neviděl/neviděla} jsem vás.
dlga_start:cheese_rustlers_intro_1|Rád vás vidím, budete si něco přát? Nechcete si koupit nějaké obilí náhodou?
dlga_cheese_rustlers_intro_1:cheese_rustlers_intro_2|Chci někoho poslat na lov zlodějů obilí. Vypadáš, že se na to hodíš.
dlga_cheese_rustlers_intro_2:cheese_rustlers_intro_3|Obilí? Žádné mizerné obilí nechci! Vypadáme snad jako zloději?
dlga_cheese_rustlers_intro_3:cheese_rustlers_intro_4|No, teď když si to zmínil... pověz mi, to je režný pytel co neseš?
dlga_cheese_rustlers_intro_4:cheese_rustlers_intro_5|Co tím myslíš?
dlga_cheese_rustlers_intro_5:cheese_rustlers_intro_6|Vypadá to jako pytel, ve kterém se přenáší obilí...
dlga_cheese_rustlers_intro_6:close_window|Ksakru! Zabijte {ho/ji}! Útok!
dlga_start:cheese_paladins_intro_1|Rád vás vidím, budete si něco přát? Nechcete si koupit nějaké víno, náhodou?
dlga_cheese_paladins_intro_1:cheese_paladins_intro_2|Počkat, vy jste... vy jste žoldáci? Byl jsem {poslán/poslána}, aby {zabil/zabila} obyčejné zloděje...
dlga_cheese_paladins_intro_2:cheese_paladins_intro_3|Ah! Nerad to říkám, ale časy jsou zlé, se všemi těmi problémy a neshody, poslední dobou. Napadlo nás, že menší skupinka řekněme... zkušenějších mužů, příláká méně pozornosti, než obyčejná banda lupičů. Když se nám naskytla taková příležitost, bylo by šílenství nechopit se jí.
dlga_cheese_paladins_intro_3:close_window|Nevadí, s vámi nic nechci mít.
dlga_cheese_paladins_intro_3:cheese_paladins_intro_4|Dát ti šílenství. Připrav se k boji!
dlga_cheese_paladins_intro_4:close_window|Potěšení je na mé straně. Muži ke mně!
dlga_start:bandits_awaiting_ransom2_intro_1|Ty jsi {ten co přinesl/ta co přinesla} výkupné? Rychle, dej sem ty peníze.
dlga_start:bandits_awaiting_ransom2_intro_1.1|{Vrátil/Vrátila} jsi se? Rychle, dej nám ty peníze.
dlga_bandits_awaiting_ransom2_intro_1:bandits_awaiting_ransom2_pay|Tady, vezměte si je. Jen nechte tu dívku jít.
dlga_bandits_awaiting_ransom2_pay:close_window|Heh. {Přinesl/Přinesla} jsi peníze. Můžeš si ji odvést, ale měli jsme s ní spoustu zábavy! Byli mi potěšením s tebou obchodovat...
dlga_bandits_awaiting_ransom2_intro_1:bandits_awaiting_ransom2_b|Na to zapomeň! Nejdřív propustě tu dívku.
dlga_bandits_awaiting_ransom2_b:bandits_awaiting_ransom2_b2|{Hlupáku/Hlupačko}! Přestaň si s námi hrát a dej sem to zlato!
dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_pay|Dobrá, tady je. Teď ji nechte jít.
dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_no_money|{Nechal/Nechala} jsem zlato na bezpečném místě. Zajdu pro ně.
dlga_bandits_awaiting_ransom2_no_money:close_window|Zkoušíš snad naši trpělivost? Běž a přines je sem, rychle!
dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_fight|Nehodlám ti nic zaplatit. Požaduji abys tu dívku ihned propustil!
dlga_bandits_awaiting_ransom2_fight:close_window|Nebudeš požadovat nic, až budeš {mrtvý/mrtvá}.
dlga_start:bandits2_awaiting_remeet|Co je? Už si nám zaplatit. Víc od tebe nechceme.
dlga_bandits2_awaiting_remeet:close_window|Omlouvám se za vyrušení. Už odcházím.
dlga_bandits2_awaiting_remeet:bandits2_awaiting_remeet_2|Ještě jsem s vámi {neskončil/neskončila}. To zlato mi vrátíme zpátky.
dlga_bandits2_awaiting_remeet_2:close_window|Oh, takže tak. Jistě, jistě, hned to vyřídíme.
dlga_start:kidnapped_wife_encounter_1|Oh, {můj pane/má paní}. Děkuji ti za mou záchranu! Ti divoši... oni... oni... Vezmeš mě teď zpátky k mé rodině, prosím?
dlga_kidnapped_wife_encounter_1:kidnapped_wife_join|Ano. Pojď se mnou, vezmu tě domů.
dlga_kidnapped_wife_join:close_window|Bohužel však pro mne nemáš místo.
dlga_kidnapped_wife_join:close_window.1|Oh, mnohokrát ti děkuji!
dlga_kidnapped_wife_encounter_1:kidnapped_wife_wait|Chvíly tu počkej, vrátím se pro tebe.
dlga_kidnapped_wife_wait:close_window|Prosím, {můj pane/má paní}, nenechávej mě tu samotnou! Nevydržím tu!
dlga_start:village_farmer_talk|{Můj pane/Má paní}, jsme jen chudí farmáři z {s11}. {reg1?Vezeme zboží na trhy v {s12}:Vracíme se z trhů v {s12} zpět domů}.
dlga_village_farmer_talk:farmer_bandit_information|Hledám skupinu banditů s tímto popisem... Neviděli jste je?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Uvidíme, jak chudí budete, až s vámi skoncuji!
dlga_village_farmer_talk:close_window.1|Tak pokračujte, sbohem.
dlga_start:minister_issues|Jsem vám k službám, {můj pane/má paní}.
dlga_start:close_window.7|Byli mi ctí vám sloužit, {můj pane/má paní}.
dlga_start:member_castellan_talk|Ano, {playername}? Co pro tebe mohu udělat?
dlga_member_castellan_pretalk:member_castellan_talk|Ještě něco?
dlga_member_castellan_talk:member_review_castle_garrison|Chci si prohlédnout hradní posádku.
dlga_member_review_castle_garrison:member_castellan_pretalk|Jistě. Tady jsou seznamy, dej mi vědět, pokud chceš něco změnit...
dlga_member_castellan_talk:member_review_castellan_equipment|Nech mě se podívat na tvé vybavení.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Dobrá, tady to je...
dlga_member_castellan_talk:member_castellan_join|Chci abys opustil hrad a přidal se k mé družině.
dlga_member_castellan_join:close_window|Docela jsem si to tu oblíbil... Ale jak si přeješ, {playername}. Půjdu s tebou.
dlga_member_castellan_join:member_castellan_pretalk|A kde bych spal? Bereš si se sebou celou armádu, {playername}, pro mne už tam není místo.
dlga_member_castellan_talk:close_window|[Odejít]
dlga_member_chat:kidnapped_girl_chat_1|Už jsme doma?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Ještě ne.
dlga_kidnapped_girl_chat_2:close_window|Nemůžu se dočkat, až se dostanu zpátky. Má rodina mi tolik chybí. Dalo bych cokoliv, abych je mohla zase spatřit.
dlga_member_chat:member_lady_1|{playername}, kdy myslíš, že se tam dostaneme?
dlga_member_lady_1:member_lady_2a|Stále je před námi dlouhá cesta.
dlga_member_lady_1:member_lady_2b|Velmi brzy. už tam skoro jsme.
