dlga_start:lco_conversation_end|Buyrun.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Dövüş talimi gerçek muharebeye hazırlık için mükemmel bir yoldur. Şimdi ölümcül zarar vermeyen tahta silahlarla ikimizden biri yere düşene kadar dövüşeceğiz. Biraz yara bere içinde kalabilirsin ama gerçek savaşta ikiye kesileceğine dersini burada alman daha iyi.
dlga_fighter_talk_train_combat_2:close_window|Başlayalım öyleyse. Ben hazırım.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Aslında başka bir şey yapmak istiyorum.
dlga_start:fighter_parry_try_again|Güzel. Saldırılarımı gayet iyi savuşturdun. İstersen bu talimi tekrarlayabiliriz, sen de doğru blokları daha hızlı yapmaya çalışırsın. Tekrar denemek ister misin?
dlga_start:fighter_parry_try_again.1|Pekala, sanırım pek iyi gitmedi. (Unutma, bloklamayı doğru bir şekilde yapmak için fareyi hareket ettirirken sağ fare tuşuna basılı tutmalısın.) Tekrar denemek ister misin?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Evet. Tekrar deneyelim.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Hayır, sanırım şimdilik bu kadar yeter.
dlga_start:fighter_parry_warn|Hey! Saldırı engellemeyi çalışıyoruz dostum. Saldırılarımı engellemen gerek, sense bana geri saldırıyorsun.
dlga_fighter_parry_warn:fighter_talk_train_parry|Özür dilerim – tekrar deneyelim.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Üzgünüm. Talimi yarıda bırakmam gerek.
dlga_fighter_talk_leave_parry:close_window|Tamamdır. Nasıl istersen
dlga_start:fighter_combat_try_again|Pekala, sanırım pek iyi gitmedi. Ama azmini yitirme. Aynı hatayı da bir daha yapmamaya çalış. Tekrar denemek ister misin?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Evet. Tekrar deneyelim.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Hayır, sanırım şimdilik bu kadar yeter.
dlga_fighter_talk_leave_combat:close_window|Pekala, sen bilirsin. Fikrini değiştirirsen yanıma gel.
dlga_start:fighter_combat_try_again.1|İyi dövüş oldu. Beni bu sefer yendin ama sonraki sefere galip ben olacağım. Ne dersin, bir daha dövüşelim mi?
dlga_start:fighter_talk.2|Güzel. Sana söylediğim yönden saldırmayı becerdin. İstersen bu talimi tekrarlayabilir ya da başka bir talime geçebiliriz.
dlga_start:archer_challenge_2|Fena değil. Okçuluğun temel kaidelerini anlamış gibisin. Bu sefer aynı talimi kundaklı yayla yapmaya çalış. Kundaklı yayı kullanması ok yaya göre daha kolaydır ama her atıştan sonra yeni ok koyup kurman gerekir.
dlga_start:archer_challenge_2.1|İyi. Kundaklı yayı kullanmakta da fazla zorlanmadın. Şimdi de fırlatmayı öğreneceksin. Şurada gördüğün cidarları alıp arkadaki üç hedefi vurmaya çalış. 
dlga_start:ranged_end|Evet, böylece üç uzak mesafe silah çeşidini kullanmayı da öğrenmiş oldun. Bundan sonrası sana kalmış. Her gün düzenli talim yaparsan zamanla Kalradya'nın en iyi nişancıları kadar iyi bir atıcı olursun.
dlga_ranged_end:close_window|Şimdi gidip dövüşçülerle ya da binicilerle çalışabilirsin. Onlardan da öğreneceğin çok şeyler var.
dlga_start:archer_talk|Merhaba, genç adam. Ben şuradakilerin okçuluk ustasıyım. Günlerimi bu talim alanında isteyen gençlere okçuluğu öğreterek geçiriyorum. Eğer senin de bir ustaya ihtiyacın varsa, sana da yay, kundaklı yay ve cida atmanın temel kaidelerini öğretirim.
dlga_archer_talk:archer_challenge|Evet, ustam. Bana bu silahları kullanmayı göster.
dlga_archer_talk:close_window|İstemem. Sağol.
dlga_archer_challenge:archer_challenge_2|Pekala. İlk önce ok atmayı göstereceğim. Ok yayı kullanmak hüner ister. Ama bir kez öğrendin mi süratli ve güçlü şekilde ok atıp düşmanlarını perişan edebilirsin. Şimdi gidip şurada gördüğün yay ve okları al. Sonra da nişan alıp şu arkamdaki hedefleri vur.
dlga_archer_challenge_2:close_window|Tamam. Hazırım.
dlga_archer_challenge_2:close_window.1|Az izin ver. Önce başka bir şey yapmam lazım.
dlga_start:horseman_melee_challenge_2|Umarım at binmekten hoşlanmışsındır. Şimdi daha zor bir işe geçelim. Şurada gördüğün kargıyı alıp koşu alanının yanındaki hedeflerin her birine birer kez vur.
; dlga_start:horseman_melee_challenge_2.1|Good! You have been able to hit all targets on horseback. That's no easy feat for a starter. Your next challenge will be using a bow and arrows to shoot at the archery targets by the road. You need to put an arrow to each target to consider yourself successful.
dlga_start:horsemanship_end|Çok iyi. Ok ve yayla tüm hedefleri vurdun. Bundan sonra her gün binicilik ve savaş talimlerini yapmaya devam et ki kısa zamanda usta bir süvari olasın.
dlga_horsemanship_end:close_window|Şimdi gidip dövüşçülerle ya da okçuluk ustasıyla çalışabilirsin. Zamanı geldiğinde kendini savunmak için mümkün olduğunca çok şey öğrenmelisin.
dlga_start:horseman_talk|İyi günler. Buraya at binmeye gelmiştim ama sırtımın ağrısı bana bana bugün aman vermeyecek. Eğer istersen atımı alıp biraz binicilik çalışabilirsin. Hem ata da talim olmuş olur.
dlga_horseman_talk:horseman_challenge|Evet, ustam. At binmeyi çok isterim.
dlga_horseman_talk:close_window|Sağol, ustam. Belki sonra.
dlga_horseman_challenge:horseman_melee_challenge_2|Güzel. Şimdi sana biniciliği ve at sırtında silah kullanmayı öğretecek birkaç talim vereceğim. İlk görevin ata binip alanın etrafında en az bir tur gitmek. İstediğin yerde hızlı istediğin yerde yavaş git. Ata alışmaya çalış ki bundan sonraki daha zor talimlere hazır olasın.
dlga_horseman_melee_challenge_2:close_window|Tamam. Hazırım.
dlga_horseman_melee_challenge_2:close_window.1|Biraz bekle. Önce yapmam gereken bir şey var.
dlga_tutorial_troop_default:close_window|Hey, burada nişan almaya çalışıyorum. Eğer okçuluk öğrenmek istiyorsan şuradaki ustamızla konuş.
dlga_start:lord_prison_break_confirm_3|Planlarda bir değişiklik mi var?
dlga_start:lord_prison_break|Neler oluyor?
dlga_start:drunk_response|Neye bakıyorsun sen?
dlga_start:drunk_response.1|Bana mı bakıyorsun?
dlga_player_duel_response:close_window|Ne büyük kayıp...
dlga_player_duel_response:close_window.1|Ben olacağıma o olsun...
dlga_drunk_response:drunk_fight_start|Emin değilim... Bir çeşit hayvan olsa gerek.
dlga_drunk_response:dplmc_drunk_attempt_placate|Özür dilerim – Lütfen özrümü kabul edin.
dlga_dplmc_drunk_attempt_placate:close_window|Yeteri kadar düşündüm. Hemen git buradan.
dlga_dplmc_drunk_attempt_placate:close_window.1|Suratındaki pis sırıtışı temizleyeceğim şimdi!
dlga_drunk_fight_start:close_window|Suratındaki pis sırıtışı temizleyeceğim şimdi!
dlga_drunk_response:drunk_player_high_renown|Sen benim kim olduğumu biliyor musun?
dlga_drunk_player_high_renown:drunk_fight_start|Umrumda mı?
dlga_drunk_player_high_renown:drunk_fight_start.1|Küçük bir bücür için büyük konuşuyorsun. Sana gününü göstereceğim!
dlga_drunk_player_high_renown:drunk_player_high_renown|Şey... Aslında... Evet,evet, sizin kim olduğunuzu biliyorum, {s0}. Lütfen beni affedin, haşmeetlim. İçki yüzünden olmalı. Şimdi gidiyorum...
dlga_drunk_player_high_renown:drunk_fight_start.2|Neden, dövüş mü istiyorsun? Haydi o zaman !
dlga_drunk_player_high_renown:close_window|Yeteri kadar düşündüm. Hemen git buradan.
dlga_start:fistfight_response|Birkaç zorlukla başa çıkabilecek bir {adama/kadına} benziyorsun. Sana bir iş teklifim var.
dlga_fistfight_response:fistfight_response_2|Ne dersin?
dlga_fistfight_response_2:fistfight_response_2a|Güzel – İlgilenmene sevindim. Plan şu ... Biraz karmaşık gelebilir, bu yüzden iyi dinle.
dlga_fistfight_response_2a:fistfight_response_3|Sen ve diğer adam burada bir kavga başlatacaksınız. Silah ve zırh olmayacak – Ben de arkama yaslanıp bahisleri toplayacağım ve kârı kazananla paylaşacağım. Eğer kaybedersek, zararı ben karşılayacağım. Yani kaybedecek bir şeyin yok, biraz kandan başka.
dlga_fistfight_response_3:fistfight_response_4|Ne var ki, şu herkesin önceden bahis yatırdığı hoş arena dövüşlerinden tertipleyemiyoruz. İnsanlar ilk önce içeri girer, sonra havaya kapılıp hanginizin yeneceğini düşünüyorsa üzerine birkaç dinar yatırır. Onlarla iddiaya bile gireceğim. Yoksa 3. bira şişesini götüren bir adamın hiç iddiaya girmemiş olması kuşku uyandırır.
dlga_fistfight_response_4:fistfight_response_4a|Yani anlayacağın, bütün hile, insanlar rakibinin üzerine bahis oynayana kadar kendini yeniliyormuş gibi göstermek -- daha sonra hızlı bir atak yap ve bahisler senin üzerine oynanmadan kavgayı kazan. Senin için para kazanmanın en kolay yolu neredeyse yere yapışacak kadar tartaklanmak ve aniden ayağa kalkıp diğer adamı indirmek. Yine de, kavganın sonunda ikimizin de para kazanması için yenmek zorundasın.
dlga_fistfight_response_4a:fistfight_response_5|Ayrıca, kavgayı çok fazla uzatma. Yoksa insanlar şike yaptığından şüphelenmeye başlar. Bu yüzden birinizin sürekli yumruk yemesi gerekiyor. Kimin kanının döküldüğü pek umurumda değil ama kan dökülmeli.
dlga_fistfight_response_5:fistfight_response_5a|Ve bir şey daha -- Benim ortağım, senin rakibin, ustaca hareketler yapmakta çok iyi değil. Bu yüzden o sadece senin üzerine doğru yürüyecek. Yani işin bu kısmı da sana kalıyor.
dlga_fistfight_response_5a:fistfight_response_confirm|Peki ne düşünüyorsun?
dlga_fistfight_response_confirm:close_window.1|Yapacak daha önemli işlerim var.
dlga_start:ramun_introduce_1|İyi günler, genç {adam/hanım}.
dlga_ramun_introduce_1:ramun_introduce_2|Affedersin, bir tüccara benziyorsun, ama mallarını göremiyorum?
dlga_ramun_introduce_1:close_window|Boşversene.
dlga_ramun_introduce_2:ramun_introduce_3|Tüccar mı? Ah, evet, kesinlikle öyleyim. Ama benim mallarım çoğundan farklı. Günde iki kere suyunun verilmesi ve beslenmesi gerekiyor ayrıca arkamı döner dönmez kaçmaya yelteniyor.
dlga_ramun_introduce_3:ramun_introduce_4|Çiftlik hayvanları mı?
dlga_ramun_introduce_4:ramun_introduce_5|Eh, bir bakıma. Kendime bu okyanustaki her gemiyi hareket ettiren adam demeyi tercih ediyorum. Gemiler küreklerle hareket eder, kürekler de adamlar sayesinde hareket eder, yoksa oldukları yerde boş boş dururlar. İşte ben tam olarak burada devreye giriyorum.
dlga_ramun_introduce_5:ramun_introduce_6|Kürek mahkumları.
dlga_ramun_introduce_6:ramun_introduce_7|Şimdi çakmaya başladın! Böyle bir ticaret limanı onlarsız yaşayamaz. Gemiler her yolculukta bir avuç dolusunu kaybediyor, dolayısıyla her zaman yüksek talep var. Kaptanlar bana geliyorlar ve iyi ödüyorlar.
; dlga_ramun_introduce_7:ramun_introduce_8|Where do the slaves come from?
; dlga_ramun_introduce_8:ramun_introduce_9|Mostly I deal in convicted criminals bought from the authorities. Others are prisoners of war from various nations, brought to me because I offer the best prices. However, on occasion I'll buy from privateers and other . . . 'individuals'. You can't be picky about your suppliers in this line of work. You wouldn't happen to have any prisoners with you, would you?
; dlga_ramun_introduce_9:ramun_introduce_10|Me? 
; dlga_ramun_introduce_10:ramun_introduce_11|Why not? If you intend to set foot outside this town, you're going to cross swords with someone sooner or later. And, God willing, you'll come out on top. Why not make some extra money off the whole thing? Take them alive, bring them back to me, and I'll pay you fifty coins for each head. Don't much care who they are or where they come from.
; dlga_ramun_introduce_11:ramun_introduce_12|Hmm. I'll think about it.
; dlga_ramun_introduce_12:close_window|Do think about it! There's a lot of silver to be made, no mistake. More than enough for the both of us.
; dlga_start:ramun_talk|Hello, {playername}.
; dlga_ramun_pre_talk:ramun_talk|Anything else?
; dlga_ramun_talk:ramun_sell_prisoners|I've brought you some prisoners, Ramun. Would you like a look?
; dlga_ramun_talk:ramun_sell_prisoners_all|I want to sell all the prisoners I have with me.
; dlga_ramun_sell_prisoners_all:ramun_sell_prisoners_all_2|I'll take your {reg0} {reg2?prisoners:prisoner} off your hands for {reg1} coins.  We have a deal?
; dlga_ramun_sell_prisoners_all_2:ramun_sell_prisoners_2|We have a deal.
; dlga_ramun_sell_prisoners_all_2:ramun_pre_talk|Let me think about it again.
; dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Let me see what you have...
; dlga_ramun_sell_prisoners_2:close_window|A pleasure doing business with you.
; dlga_ramun_talk:ramun_ask_about_capturing|How do I take somebody as prisoner?
; dlga_ramun_talk:ramun_ask_about_capturing.1|Can you tell me again about capturing prisoners?
; dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|You're new to this, aren't you? Let me explain it in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a mace or a club, rather than cutting him open with a sword. That way he goes to sleep for a little while rather than bleeding to death, you see? I'm assuming you have a blunt weapon with you . . .
; dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Of course.
; dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|As a matter of fact, I don't.
; dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Good. Then all you need to do is beat the bugger down with your weapon, and when the fighting's over you clap him in irons. It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp. I don't have many requirements in my merchandise, but I do insist they be breathing when I buy them.
; dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|No? Heh, well, this must be your lucky day. I've got an old club lying around that I was going to throw away. It a bit battered, but still good enough bash someone until he stops moving. Here, have it.
; dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Thanks, Ramun. Perhaps I may try my hand at it.
; dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Alright, I'll try and expain it again in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a mace or a club, rather than cutting him open with a sword. That way he goes to sleep for a little while rather than bleeding to death, you see? It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp.
; dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Alright, I think I understand. Anything else?
; dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Well, it's not as simple as all that. Blunt weapons don't do as much damage as sharp ones, so they won't bring your enemies down as quickly. And trust me, given the chance, most of the scum you run across would just as soon kill you as look at you, so don't expect any courtesy when you pull out a club instead of a sword. Moreover, having to drag prisoners to and fro will slow down your party, which is why some people simply set their prisoners free after the fighting's done. It's madness. How could anyone turn down all that silver, eh?
; dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Is that everything?
; dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Just one final thing. Managing prisoners safely is not an easy thing to do, you could call it a skill in itself. If you want to capture a lot of prisoners, you should try and learn the tricks of it yourself, or you won't be able to hang on to a single man you catch.
; dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Thanks, I'll keep it in mind.
; dlga_ramun_talk:ramun_leave|I'd better be going.
; dlga_ramun_leave:close_window|Remember, any prisoners you've got, bring them to me. I'll pay you good silver for every one.
; dlga_start:close_window.5|I humbly request that your {lordship/ladyship} keeps {his/her} hands where I can see them.
; dlga_start:manhunter_talk_b|Hey, you there! You seen any outlaws around here?
; dlga_manhunter_talk_b:manhunter_talk_b1|Yes, they went this way about an hour ago.
; dlga_manhunter_talk_b1:close_window|I knew it! Come on, lads, lets go get these bastards! Thanks a lot, friend.
; dlga_manhunter_talk_b:manhunter_talk_b2|No, haven't seen any outlaws lately.
; dlga_manhunter_talk_b2:close_window|Bah. They're holed up in this country like rats, but we'll smoke them out yet. Sooner or later.
; dlga_looters_1:looters_2|{s4}
; dlga_looters_2:close_window|I'm not afraid of you lot. Fight me if you dare!
; dlga_looters_2:close_window.1|You'll have nothing of mine but cold steel, scum.
; dlga_start:smugglers_intro_1|Good day to you.
; dlga_smugglers_intro_1:smugglers_intro_2|I hear you've been causing trouble at {s1}. Give me one good reason why I shouldn't kill you all.
; dlga_smugglers_intro_2:smugglers_intro_3|We hid out at {s1}, yes, but only because we needed a place to stay. And perhaps we did not behave in a proper manner. We were driven out of {s6} by the town watch, in one of their periodic purges, and we were just lying low until things slowed down again. We are heading back there now, and we'll never trouble the villagers of {s1} again. If you let us go, we will give you a bottle of the finest Arbor wine, which the merchants divert to the well-born, and which you'll never see at a merchant's shop or tavern.
; dlga_smugglers_intro_2:smugglers_intro_3a|We hid out at {s1}, yes, but only because we needed a place to stay. And perhaps we did not behave in a proper manner. We were driven out of {s6} by the town watch, in one of their periodic purges, and we were just lying low until things slowed down again. We are heading back there now, and we'll never trouble the villagers of {s1} again. If you let us go, we will give you 250 coins.
; dlga_smugglers_intro_3:smugglers_go_back|You think I would take a bribe!
; dlga_smugglers_intro_3:smugglers_let_go|Well, maybe you are right. All right then. If anyone asks, I haven't seen you.
; dlga_smugglers_intro_3a:smugglers_go_back|You think I would take a bribe!
; dlga_smugglers_intro_3a:smugglers_let_go_a|Well, maybe you are right. All right then. If anyone asks, I haven't seen you.
; dlga_smugglers_go_back:close_window|Bah, have it your way!
; dlga_smugglers_let_go:close_window|May the gods bless you, {playername}. We will not forget your help. Here's the wine. Be careful, it's potent stuff!
; dlga_smugglers_let_go_a:close_window|May the gods bless you, {playername}. We will not forget your help. Here's the money.
; dlga_start:close_window.6|Good day, my friend. Don't worry. If anyone asks, we haven't seen you.
dlga_start:cheese_rustlers_intro_1|Merhaba. Size herhangi bir konunda yardımcı olabilir miyim? Tahıl almak istemezsiniz, değil mi?
dlga_cheese_rustlers_intro_1:cheese_rustlers_intro_2|Birkaç tahıl hırsızı avlamak için gönderildim. Siz de eşkale uyuyorsunuz.
dlga_cheese_rustlers_intro_2:cheese_rustlers_intro_3|Tahıl? Bizim hiçbir pis tahıla ihtiyacımız yok! Sizce biz hırsıza benziyor muyuz?
dlga_cheese_rustlers_intro_3:cheese_rustlers_intro_4|E, şimdi söyledin... söyle, elindeki bir çuval mı?
dlga_cheese_rustlers_intro_4:cheese_rustlers_intro_5|Ne demek istiyorsunuz?
dlga_cheese_rustlers_intro_5:cheese_rustlers_intro_6|Aynı büyük miktarda tahıl taşımak için kullanılan çuvallara benziyor.
dlga_cheese_rustlers_intro_6:close_window|Lanet olsun! Öldürün {o/o}nu!
; dlga_start:cheese_paladins_intro_1|Well met. Can I help you with something? You don't want to buy some wine, perchance?
; dlga_cheese_paladins_intro_1:cheese_paladins_intro_2|Wait, you're....you're sellswords? I was sent out to hunt down some common thieves...
; dlga_cheese_paladins_intro_2:cheese_paladins_intro_3|Ah! Well, I'm sorry to say that times are hard, with all this trouble and strife lately. It occurred to us that a small group of, let us say... experienced men, would attract far less suspicion than your typical roughnecks and layabouts. When this opportunity arose, well, to refuse would have been positively mad.
; dlga_cheese_paladins_intro_3:close_window|Never mind, I have no business with you.
; dlga_cheese_paladins_intro_3:cheese_paladins_intro_4|I'll give you madness. Prepare to fight!
; dlga_cheese_paladins_intro_4:close_window|The pleasure is all ours. Men, to me!
; dlga_start:bandits_awaiting_ransom2_intro_1|Are you the one that brought the ransom? Quick, give us the money now.
; dlga_start:bandits_awaiting_ransom2_intro_1.1|You came back? Quick, give us the money now.
; dlga_bandits_awaiting_ransom2_intro_1:bandits_awaiting_ransom2_pay|Here, take the money. Just set the wife free.
; dlga_bandits_awaiting_ransom2_pay:close_window|Heh. You've brought the money all right. You can take the wench now, we've had out fun with her! It was a pleasure doing business with you...
; dlga_bandits_awaiting_ransom2_intro_1:bandits_awaiting_ransom2_b|No way! You release the woman first.
; dlga_bandits_awaiting_ransom2_b:bandits_awaiting_ransom2_b2|You fool! Stop playing games and give us the money! 
; dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_pay|All right. Here's your money. Let the woman go now.
; dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_no_money|I had left the money in a safe place. Let me go fetch it.
; dlga_bandits_awaiting_ransom2_no_money:close_window|Are you testing our patience or something?  Go and bring that money here quickly.
; dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_fight|I have no intention to pay you anything. I demand that you release the woman now!
; dlga_bandits_awaiting_ransom2_fight:close_window|You won't be demanding anything when you're dead.
; dlga_start:bandits2_awaiting_remeet|What's it? You have given us the money. We have no more business.
; dlga_bandits2_awaiting_remeet:close_window|Sorry to bother you. I'll be on my way now.
; dlga_bandits2_awaiting_remeet:bandits2_awaiting_remeet_2|We have one more bit of business. You'll give the money back to me.
; dlga_bandits2_awaiting_remeet_2:close_window|Oh, that business! Of course. Let us get down to it.
; dlga_start:kidnapped_wife_encounter_1|Oh {my lord/my lady}. Thank you so much for rescuing me! Those vile beasts... they... they... Will you take me to my family now, please?
; dlga_kidnapped_wife_encounter_1:kidnapped_wife_join|Yes. Come with me. I'll take you home.
; dlga_kidnapped_wife_join:close_window|Unfortunately, you do not have room in your party for me.
; dlga_kidnapped_wife_join:close_window.1|Oh, thank you so much!
; dlga_kidnapped_wife_encounter_1:kidnapped_wife_wait|Wait here a while longer. I'll come back for you.
; dlga_kidnapped_wife_wait:close_window|Oh, please {my lord/my lady}, do not leave me here all alone! I can't stand it!
; dlga_start:village_farmer_talk| My {lord/lady}, we're only poor farmers from the village of {s11}. {reg1?We are taking our products to the market at {s12}.:We are returning from the market at {s12} back to our village.}
; dlga_village_farmer_talk:farmer_bandit_information|I am hunting a group of bandits with the following description... Have you seen them?
; dlga_farmer_bandit_information:village_farmer_talk|{s15}
; dlga_village_farmer_talk:close_window|We'll see how poor you are after I take what you've got!
; dlga_village_farmer_talk:close_window.1|Carry on, then. Farewell.
; dlga_start:minister_issues|I am at your service, {my lord/my lady}.
; dlga_start:close_window.7|It has been an honor to serve you, {my lord/my lady}.
; dlga_start:member_castellan_talk|Yes, {playername}? What can I do for you?
; dlga_member_castellan_pretalk:member_castellan_talk|Anything else?
; dlga_member_castellan_talk:member_review_castle_garrison|I want to review the castle garrison.
; dlga_member_review_castle_garrison:member_castellan_pretalk|Of course. Here are our lists, let me know of any changes you require...
; dlga_member_castellan_talk:member_review_castellan_equipment|Let me see your equipment.
; dlga_member_review_castellan_equipment:member_castellan_pretalk|Very well, it's all here...
; dlga_member_castellan_talk:member_castellan_join|I want you to abandon the castle and join my party.
; dlga_member_castellan_join:close_window|I've grown quite fond of the place... But if it is your wish, {playername}, I'll come with you.
; dlga_member_castellan_join:member_castellan_pretalk|And where would we sleep? You're dragging a whole army with you, {playername}, there's no more room for all of us.
; dlga_member_castellan_talk:close_window|[Leave]
; dlga_member_chat:kidnapped_girl_chat_1|Are we home yet?
; dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Not yet.
; dlga_kidnapped_girl_chat_2:close_window|I can't wait to get back. I've missed my family so much, I'd give anything to see them again.
; dlga_member_chat:member_lady_1|{playername}, when do you think we can reach our destination?
; dlga_member_lady_1:member_lady_2a|We still have a long way ahead of us.
; dlga_member_lady_1:member_lady_2b|Very soon. We're almost there.
; dlga_member_lady_2a:close_window|Ah, I am going to enjoy the road for a while longer then. I won't complain. I find riding out in the open so much more pleasant than sitting in the castle all day. You know, I envy you. You can live like this all the time.
; dlga_member_lady_2b:close_window|That's good news. Not that I don't like your company, but I did miss my little luxuries. Still I am sorry that I'll leave you soon. You must promise me, you'll come visit me when you can.
; dlga_member_chat:supported_pretender_talk|Greetings, {playername}, my first and foremost vassal. I await your counsel.
; dlga_supported_pretender_pretalk:supported_pretender_talk|Anything else?
; dlga_supported_pretender_talk:pretender_progress|What do you think about our progress so far?
