str_no_string|AUCUNE CHAÎNE !
str_siege_defender_order_attack_success|Les hommes de la garnison défendent leurs remparts avec dextérité et courage, mettant fin à l'assaut de l'ennemi et transformant habilement la défaite en une déroute à part entière. 
str_siege_defender_order_attack_failure|L'assaut se transforme rapidement en bain de sang. Les élans de courage n'aboutissent à rien ; la garnison surpassée ne peut pas défendre les remparts et l'ennemi passe chaque dernier défenseur au fil de l'épée.
str_siege_defender_order_attack_continue|Tenter des attaques meurtrières à répétition sur les remparts empêche l'assaillant de gagner du terrain, cependant beaucoup trop d'ennemis restent en défense pour pouvoir prétendre à une vraie victoire. 
str_hero_taken_prisoner|{s1} de {s3} a été fait prisonnier par {s2}.
str_hero_freed|{s1} de {s3} a été libéré de sa captivité par {s2}.
str_center_captured|{s2} a pris {s1} de {s3}.
str_troop_relation_increased|Vos relations avec {s1} se sont améliorées en passant de {reg1} à {reg2}.
str_troop_relation_detoriated|Vos relations avec {s1} se sont détériorées en passant de {reg1} à {reg2}.
str_faction_relation_increased|Vos relations avec {s1} se sont améliorées en passant de {reg1} à {reg2}.
str_faction_relation_detoriated|Vos relations avec {s1} se sont détériorées en passant de {reg1} à {reg2}.
str_party_gained_morale|Votre groupe gagne {reg1} en moral.
str_party_lost_morale|Votre groupe perd {reg1} en moral.
str_other_party_gained_morale|{s1} gagne {reg1} en moral.
str_other_party_lost_morale|{s1} perd {reg1} en moral.
str_qst_follow_spy_noticed_you|L'espion vous a repéré ! Il tente de s'enfuir ! 
str_father|père
str_husband|mari
str_wife|épouse
str_daughter|fille
str_mother|mère
str_son|fils
str_brother|frère
str_sister|sœur
str_he|il
str_she|elle
str_s3s_s2|{s2} de {s3}.
str_s5_is_s51|{s5} est {s51}.
str_s5_is_the_ruler_of_s51|{s5} est le dirigeant de {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} est un noble de {s6}. 
str_relation_mnus_100|Exécrables 
str_relation_mnus_90|Exécrables 
str_relation_mnus_80|Exécrables 
str_relation_mnus_70|Aversives
str_relation_mnus_60|Aversives
str_relation_mnus_50| Hostiles
str_relation_mnus_40|  Belliqueuses
str_relation_mnus_30|    Malveillantes
str_relation_mnus_20|      Tendues
str_relation_mnus_10|        Mitigées
str_relation_plus_0|         Neutres
str_relation_plus_10|          Coopératives
str_relation_plus_20|           Accueillantes
str_relation_plus_30|            Favorables
str_relation_plus_40|             Cordiales
str_relation_plus_50|              Amicales
str_relation_plus_60|               Bienveillantes
str_relation_plus_70|                 Excellentes
str_relation_plus_80|                  Idéales
str_relation_plus_90|                   Exceptionnelles
str_relation_mnus_100_ns|{s60}
str_relation_mnus_90_ns|{s60}
str_relation_mnus_80_ns|{s60}
str_relation_mnus_70_ns|{s60}
str_relation_mnus_60_ns|{s60}
str_relation_mnus_50_ns|{s60}
str_relation_mnus_40_ns|{s60}
str_relation_mnus_30_ns|{s60}
str_relation_mnus_20_ns|{s60}
str_relation_mnus_10_ns|{s60}
str_relation_plus_0_ns|{s60}
str_relation_plus_10_ns|{s60}
str_relation_plus_20_ns|{s60}
str_relation_plus_30_ns|{s60}
str_relation_plus_40_ns|{s60}
str_relation_plus_50_ns|{s60}
str_relation_plus_60_ns|{s60}
str_relation_plus_70_ns|{s60}
str_relation_plus_80_ns|{s60}
str_relation_plus_90_ns|{s60}
str_relation_reg1| Relation: {reg1}
str_center_relation_mnus_100|Le peuple vous voue une haine extrême
str_center_relation_mnus_90|Le peuple vous voue une haine intense
str_center_relation_mnus_80|Le peuple vous voue une haine féroce
str_center_relation_mnus_70|Le peuple vous déteste
str_center_relation_mnus_60|Le peuple entretient avec vous des relations aversives
str_center_relation_mnus_50|Le peuple entretient avec vous de relations extrêmement hostiles
str_center_relation_mnus_40|Le peuple entretient avec vous des relations très hostiles
str_center_relation_mnus_30|Le peuple est hostile à votre égard
str_center_relation_mnus_20|Le peuple est contre vous
str_center_relation_mnus_10|Le peuple s'oppose à vous 
str_center_relation_plus_0|Le peuple est neutre à votre égard
str_center_relation_plus_10|Le peuple est tolérant à votre égard
str_center_relation_plus_20|Le peuple est coopératif avec vous
str_center_relation_plus_30|Le peuple entretient avec vous des relations assez cordiales
str_center_relation_plus_40|Le peuple entretient avec vous des relations cordiales
str_center_relation_plus_50|Le peuple entretient avec vous des relations très cordiales
str_center_relation_plus_60|Le peuple est loyal envers vous
str_center_relation_plus_70|Le peuple est extrêmement loyal envers vous
str_center_relation_plus_80|Le peuple entretient avec vous des relations exceptionnelles 
str_center_relation_plus_90|La populace entretient avec vous des relations tout à fait exceptionnelles
str_town_prosperity_0|La pauvreté du bourg de {s60} est insoutenable.
str_town_prosperity_10|Le bourg sordide de {s60} est tout sauf animé.
str_town_prosperity_20|Le bourg de {s60} semble être un endroit misérable et désertique.
str_town_prosperity_30|Le bourg de {s60} semble pauvre et laissé à l'abandon.
str_town_prosperity_40|Le bourg de {s60} semble en difficulté.
str_town_prosperity_50|Le bourg de {s60} semble ordinaire.
str_town_prosperity_60|Le bourg de {s60} semble prospère.
str_town_prosperity_70|Le bourg prospère de {s60} grouille d'activité.
str_town_prosperity_80|Le bourg de {s60} semble riche et bien entretenu.
str_town_prosperity_90|Le bourg de {s60} est riche, tout comme ses habitants.
str_town_prosperity_100|Le splendide bourg de {s60} affiche ouvertement sa grande richesse.
str_village_prosperity_0|La pauvreté du village de {s60} est insupportable.
str_village_prosperity_10|Le village de {s60} semble atrocement pauvre et misérable.
str_village_prosperity_20|Le village de {s60} semble très pauvre et désertique..
str_village_prosperity_30|Le village de {s60} semble pauvre et laissé à l'abandon.
str_village_prosperity_40|Le village de {s60} semble assez pauvre et en difficulté.
str_village_prosperity_50|Le village de {s60} semble ordinaire.
str_village_prosperity_60|Le village de {s60} semble prospère.
str_village_prosperity_70|Le village de {s60} semble florissant.
str_village_prosperity_80|Le village de {s60} semble riche et bien entretenu.
str_village_prosperity_90|Le village de {s60} semble très riche et prospère.
str_village_prosperity_100|Le village de {s60}, entouré par de vastes terrains fertiles, semble immensément riche.
str_town_alt_prosperity_0|Tandis que vous arpentez les rues, tout n'est que famine, maladie et désespoir. Quelques réfugiés fuyants les combats sont entassés sous des abris de fortune.
str_town_alt_prosperity_20|Sur la place du marché, les gens se plaignent des prix des articles de base et les boutiques sont à moitié vides. Hommes et animaux montrent des signes de malnutrition, et les bâtiments et les outils ne sont plus entretenus. La ville semble s'être vidée de ses habitants, sans doute partis a la guerre.
str_town_alt_prosperity_40|Sur la place du marché, quelques personnes se plaignent des prix des articles de base, mais les étalages sont relativement bien fournis. Vous apercevez ça et là un bâtiment, une boutique ou une charrette abandonnée, mais rien n'inhabituel.
str_town_alt_prosperity_60|La ville semble pleine de vie, les vendeurs ventent leurs marchandises sur le marché, des odeurs de gibiers rôtis, et la douce mélodie lointaine d'une gigue joyeuse flattent vos sens.
str_town_alt_prosperity_80|Les remparts, les rues et les maisons sont bien entretenus. Des immigrés des régions avoisinantes se pressent sur les marchés, attirés par la profusion des marchandises et par les nombreux emplois disponibles. Le bruit des marteaux et des métiers à tisser témoignent de l'activité qui règne dans les ateliers des artisans.
str_village_alt_prosperity_0|Quelques rares personnes trouvent encore la force de travailler dans les champs qui n'ont pas été envahis par les mauvaises herbes. Les autres sont affaiblis et sous-alimentés, ou ont déjà fui la région. Les animaux sont morts de faim ou ont été mangés depuis longtemps; seules quelques carcasses gisent encore dans les faubourgs, les os rongés par des bêtes sauvages.
str_village_alt_prosperity_20|Quelques fermiers et animaux travaillent dans les champs, mais leur petit nombre révèle que beaucoup de villageois sont probablement partis rejoindre les combats. Le matériel agricole est rouillé et hors d'usage. Les broussailles et les mauvaises herbes envahissent les champs les plus reculés.
str_village_alt_prosperity_40|Les villageois accomplissent leurs tâches saisonnières dans les champs et les vergers. Hommes et animaux semblent relativement bien portants et bien nourris. Mais quelques champs reculés sont laissés à l'abandon, et certains remparts sont en mauvais état, révélant qu'on manque encore de bras pour accomplir tous les travaux nécessaires.
str_village_alt_prosperity_60|L'activité bat son plein dans les champs et les vergers, et les sacs débordant de céréales et de viandes séchées témoignent de la productivité de l'agriculture et de l'élevage du village.
str_village_alt_prosperity_80|L'activité bat son plein dans les champs et les vergers, et les canaux d'irrigation fraîchement creusés indiquent que les fermiers ont le temps et l'énergie nécessaires pour agrandir les surfaces cultivables. Les travailleurs saisonniers affluent pour proposer leur aide et contribuer à la prospérité générale.
str_oasis_village_alt_prosperity_0|Les palmeraies sont quasiment abandonnées, et la vase obstrue les canaux d'irrigation. Les rares villageois que vous rencontrez semblent sous-alimentés et à bout. Les animaux de trait sont morts de faim ou ont été mangés depuis longtemps; seules quelques carcasses gisent encore dans les faubourgs, les os rongés par les chacals sauvages du désert.
str_oasis_village_alt_prosperity_20|Rares sont les villageois qui travaillent encore dans les palmeraies, et par endroits, les dunes de sable gagnent du terrain sur les jardins. Beaucoup de canaux sont envahis par la vase, tandis que les puits et citernes sont ensablés.
str_oasis_village_alt_prosperity_40|Hommes et femmes s'affairent dans les palmeraies, grimpant au sommet des palmiers pour la pollinisation des fruits. Des animaux bien portants actionnent les pompes et les roues qui irriguent les champs. Mais certains canaux et citernes d'irrigation manquent d'entretien.
str_oasis_village_alt_prosperity_60|L'activité bat son plein dans les palmeraies et les vergers. Les fermiers s'interpellent gaiement du haut des arbres où ils procèdent à la pollinisation des dattes. Le grincement des pompes en bois, le beuglement des animaux de trait et le bruit de l'eau qui coule à flot indiquent que le système d'irrigation prospère sous l'attention des villageois.
str_oasis_village_alt_prosperity_80|L'activité bat son plein dans les palmeraies tandis que les fermiers chargent une exceptionnelle récolte de dattes pour la vendre au marché. Hommes et femmes travaillent dur pour creuser de nouveaux puits et canaux afin d'irriguer davantage de terres.
str_acres_grain|acres de champs de céréales
str_acres_orchard|acres de vergers et de vignobles
str_acres_oasis|acres d'oasis irriguées
str_looms|métiers à tisser
str_boats|bateaux
str_head_cattle|bovins
str_head_sheep|moutons
str_mills|moulins
str_kilns|fours
str_pans|casseroles
str_deposits|dépôts
str_hives|ruches
str_breweries|brasseries
str_presses|presses
str_smithies|forges
str_caravans|caravanes
str_traps|pièges
str_gardens|jardinets
str_tanneries|cuves de tannage
str_master_miller|Maître meunier
str_master_brewer|Maître brasseur
str_master_presser|Maître presseur
str_master_smith|Maître forgeron
str_master_tanner|Maître tanneur
str_master_weaver|Maître tisserand
str_master_dyer|Maître teinturier
str_war_report_minus_4|nous sommes sur le point de perdre la guerre
str_war_report_minus_3|la situation semble peu encourageante
str_war_report_minus_2|nous ne sommes pas en très bonne posture 
str_war_report_minus_1|nous pouvons encore gagner la guerre si nous nous rassemblons
str_war_report_0|nos forces et celles de l'ennemi sont équilibrées
str_war_report_plus_1|nous avons de bonne chance de gagner la guerre
str_war_report_plus_2|nous nous trouvons dans une situation plutôt favorable
str_war_report_plus_3|nous ne devrions rencontrer aucune difficulté à les vaincre
str_war_report_plus_4|nous sommes sur le point de gagner la guerre
str_persuasion_summary_very_bad|Vous faites de votre mieux pour persuader {s50}, mais aucun de vos arguments ne semble aboutir. À chaque fois que vous essayez d'expliquer votre théorie, il semble que vos paroles soient totalement erronées et s'écartent du sujet. A la fin de votre explication, vous n'êtes pas parvenu à développer un discours cohérent qui fasse en sorte de vous mettre en valeur et vous réalisez que tout ce que vous avez fait n'a servi qu'à vous discréditer. Bien entendu, vous n'impressionnez pas {s50}.
str_persuasion_summary_bad|Vous essayez de persuader {s50}, mais {reg51?elle:il} vous surpasse dans cette discipline depuis le départ. Même vos meilleurs arguments sonnent faux à vos oreilles. Par ailleurs, {s50} n'a pas d'opinion très marquée sur ce que vous aviez à dire.
str_persuasion_summary_average|{s50} se révèle être un interlocuteur habile doté d'un esprit vif, et vous ne pourrez avancer d'autres arguments sans qu'{reg51?elle:il} ne sache les contourner adroitement. À la fin de cette discussion, aucun d'entre-vous n'est parvenu à gagner du terrain.
str_persuasion_summary_good|Grâce à un esprit vif et une argumentation fluide, vous finissez par gérer la situation, obligeant {s50} à céder sur certains points. Cependant, {reg51?elle:il} exprime encore des doutes au sujet de votre requête.
str_persuasion_summary_very_good|Vous faites un discours enthousiaste qui sonne comme une poésie pour les auditeurs attentifs. Le public lui-même semble se taire pour mieux vous écouter. La profondeur des mots a ému {s50} et {reg51?elle:il} semble vouloir vous aider.
str_secret_sign_1|Le comédien danse à minuit...
str_secret_sign_2|Je vends ces belles tapisseries Volantenes. Désirez-vous acheter l'une d'elles ?
str_secret_sign_3|L'ami d'un ami m'a envoyé...
str_secret_sign_4|Un fort vent d'est souffle et la rivière devient rouge...
str_countersign_1|Mais danse t'il pour le roi ou la reine?
str_countersign_2|Oui ça m'intéresse, en avez-vous en bleu ?
str_countersign_3|Mais, mon ami, l'ami de votre ami n'aura jamais d'ami comme moi.
str_countersign_4|Et Asshai tient bon!
str_name_1|Albard
str_name_2|Eustace
str_name_3|Segmar
str_name_4|Ebrose
str_name_5|Fralegg
str_name_6|Aelos
str_name_7|Degos
str_name_8|Garrett
str_name_9|Tarle
str_name_10|Hosman
str_name_11|Fulk
str_name_12|Petar
str_name_13|Tamus
str_name_14|Regad
str_name_15|Alyn
str_name_16|Jonos
str_name_17|Colmar
str_name_18|Boremund
str_name_19|Boros
str_name_20|Devan
str_name_21|Ramar
str_name_22|Bennis
str_name_23|Barabas
str_name_24|Kel
str_name_25|Arrec
str_surname_1|{s50} le Sinistre
str_surname_2|{s50} le Doux
str_surname_3|{s50} le Vieux
str_surname_4|{s50} le Sournois
str_surname_5|{s50} le Chauve
str_surname_6|{s50} l'Etrange
str_surname_7|{s50} L'Eunuque
str_surname_8|{s50} le Contrebandier
str_surname_9|{s50} le Voleur
str_surname_10|{s50} le Lâche
str_surname_11|{s50} le Solitaire
str_surname_12|{s50} le Bleu
str_surname_13|{s50} l'Homme de Fer
str_surname_14|{s50} Gros-Yeux
str_surname_15|{s50} le Grand
str_surname_16|{s50} le Petit
str_surname_17|{s50} Dents-Pourries
str_surname_18|{s50} Blacksoul
str_surname_19|{s50} le Ver
str_surname_20|{s50} le Glabre
str_surname_21|{s50} le Long
str_surname_22|{s50} l'Asticot
str_surname_23|{s50} Barbe soyeuse
str_surname_24|{s50} le Gringalet
str_surname_25|{s50} le Misérable
str_surname_26|{s50} le Balafré
str_surname_27|{s50} le Juste
str_surname_28|{s50} le Terrible
str_surname_29|{s50} le Rouge
str_surname_30|{s50} le Noir
str_surname_31|{s50} le Géant
str_surname_32|{s50} le Rêveur
str_surname_33|{s50} l'Intrépide
str_surname_34|{s50} Os-Fragiles
str_surname_35|{s50} le Fourbe
str_surname_36|{s50} le Lâche
str_surname_37|{s50} le Futé
str_surname_38|{s50} le Vif
str_surname_39|{s50} le Septon
str_surname_40|{s50} l'Effronté
str_surname_41|{s50} la Tête brûlée
str_surnames_end|surnames end
str_girl_name_1|Alia
str_girl_name_2|Alys
str_girl_name_3|Cedra
str_girl_name_4|Dorna
str_girl_name_5|Doreah
str_girl_name_6|Jeyne
str_girl_name_7|Malora
str_girl_name_8|Marei
str_girl_name_9|Myria
str_girl_name_10|Ryella
str_girl_name_11|Serenei
str_girl_name_12|Tansy
str_girl_name_13|Yna
str_girl_name_14|Umma
str_girl_name_15|Tanselle
str_girl_surname_1|{s50} la Belle
str_girl_surname_2|{s50} l'Accueillante
str_girl_surname_3|{s50} la Grosse
str_girl_surname_4|{s50} la Grande
str_girl_surname_5|{s50} la Petite
str_girl_surname_6|{s50} la Maigre
str_girl_surnames_end|girl surnames end
str_number_of_troops_killed_reg1|Nombre de troupes tuées : {reg1}
str_number_of_troops_wounded_reg1|Nombre de troupes blessées : {reg1}
str_number_of_own_troops_killed_reg1|Nombre de troupes alliées tuées : {reg1}
str_number_of_own_troops_wounded_reg1|Nombre de troupes alliées blessées : {reg1}
str_retreat|Battre en retraite !
str_siege_continues|Le combat continue...
str_casualty_display|Vos pertes : {s10}^Pertes ennemies : {s11}{s12}
str_casualty_display_hp|Une blessure vous retire {reg1} point(s) de vie.
str_money|Vous ne pouvez pas offrir ça.
str_quest_log_updated|Le journal de quêtes a été mis à jour...
str_banner_selection_text|On vous a octroyé le droit de porter une bannière. Votre bannière représentera votre statut et vous honorera. Quelle bannière voulez-vous choisir ?
str_retirement_text_1|Vous réalisez trop tard que votre fortune ne sera pas éternelle. Il ne vous a pas fallu longtemps pour gaspiller le peu d'argent que vous avez pris la peine d'épargner et plusieurs de vos tentatives désespérées pour recommencer l'aventure ont été infructueuses. Vous finissez comme mendiant à {s9}, vivant de l'aumône et de la charité de l'église. 
str_retirement_text_2|Vous réalisez trop tard que votre fortune ne sera pas éternelle. Il ne vous a pas fallu longtemps pour gaspiller le peu d'argent que vous avez pris la peine d'épargner. Une fois votre dernier écu dilapidé, vous commencez une vie de criminel dans les ruelles de {s9}, utilisant votre habilité à détrousser les petites gens pour gagner votre pitance.
str_retirement_text_3|Vous réalisez trop tard que votre fortune ne sera pas éternelle. Il ne vous a pas fallu longtemps pour gaspiller le peu d'argent que vous avez pris la peine d'épargner. Alors, vous finissez par écumer les tavernes sans un sou mais en obtenant vos verres des patrons indulgents en les régalant de vos exploits de guerre que personne ne prend jamais sérieux.
str_retirement_text_4|La réserve d'argent que vous aviez mis de côté s'épuise rapidement, mais vous parvenez tout de même à en rassembler suffisamment pour faire l'acquisition  d'une terre aux alentours du village de {s7}. Là-bas, vous vivez en fermier libre et très vite vous commencez à attirer {d'éventuelles épouses/d'éventuels époux}. Avec le temps, les villageois vous considèrent comme un héros local. Une place d'honneur vous est toujours acquise lors des banquets et vos exploits sont contés encore et encore dans les auberges et les tavernes pour que les enfants puissent se souvenir de vous à jamais.
str_retirement_text_5|La réserve d'argent que vous aviez mis de côté s'épuise rapidement, mais il vous en reste assez pour faire l'acquisition d'une taverne à {s9}. Bien qu'au premier abord, les habitants de la région soient méfiants à votre égard, ils vous acceptent parmi eux. À mesure que le temps passe, votre taverne en pleine croissance devient un lieu de rencontre idéal ainsi qu'une salle de fêtes populaire. Les gens viennent de partout pour le gîte et le couvert grâce à votre renommée sans faille et aux récits épiques de vos aventures. Les gens viennent de loin pour goûter à votre cuisine, qu'on dit excellente, et pour écouter les récits épiques de votre vie d'aventurier, que vous ne manquez jamais de raconter.
str_retirement_text_6|Vous avez économisé avec sagesse tout au long de votre carrière. Désormais, votre fortune couplée à votre intelligence vous permettent d'effectuer des investissements éclairés pour consolider votre avenir. Après avoir acheté plusieurs commerces et entrepôts à  {s9}, votre discernement fait de vous l'un des marchands les plus importants du bourg et bientôt vous devenez très prospère, connu autant pour votre empire commercial que pour vos faits d'armes.
str_retirement_text_7|Vous êtes un noble propriétaire, néanmoins, de faible rang et votre futur est tout sauf garanti. Vous vous installez dans votre fief à {s7}, gérant les villages et leurs champs, rendant la justice dans les cours locales et remplissant vos obligations envers votre suzerain. De temps à autres, votre suzerain vous appelle à rallier et commander les armées de ses campagnes mais ces périodes sont brèves et vous ne retrouvez jamais vraiment le goût de vos aventures d'antan. Vous avez déjà fait fortune. Avec votre propre manoir et vos possessions, vous n'avez que peu de souhaits qui ne puissent être exaucés grâce à vos revenus et vos richesses personnelles. 
str_retirement_text_8|Il est indiscutable que vous vous en êtes très bien tiré au niveau personnel. Vos nombreuses possessions et trésors d'aventures représentent assez pour vous garantir une vie douce et aisée pour le restant de vos jours. En prenant votre retraite en qualité de noble à {8}, vous échangez l'aventure pour la politique et très vite, vous vous imposez en tant que puissance dans le royaume de votre suzerain. Les années à suivre laissent présager le meilleur et vous ne risquez pas de vous ennuyer à déjouer les complots, à chasser dans vos propres forêts et à festoyer tout en contant mille et un exploits au combat.
str_retirement_text_9|En récompense de vos bons et loyaux services, votre suzerain décrète l'hérédité de votre titre, vous permettant ainsi d'atteindre les hautes sphères de la noblesse dans le royaume. Peu de temps après, vous devenez Seigneur de {7}, puis vous rejoignez les conseillers et aides de camp proches de votre suzerain. Votre renommée vous octroie une influence et une force de persuasion subtiles ainsi qu'un pouvoir politique manifeste. Désormais vous écoulez les jours dans le jeu du pouvoir, tout en gérant vos immenses fiefs et en relatant avec fierté vos aventures d'antan.
str_retirement_text_10|Bien que vous ayez des origines modestes, votre suzerain vous tient en haute estime. Une onde de choc traverse le royaume lorsqu'il vous confère le titre héréditaire de {Seigneur/dame} de {s9}. Vous voilà à la tête de vastes fiefs et d'une immense fortune. Vous devenez très vite le conseiller le plus fidèle de votre suzerain, presque son égal, avec sous votre responsabilité une bonne partie du royaume. Vous siégez vous-même sur un trône dans un majestueux palais et êtes l'une des figures majeures du pays.
str_loot_village|attaquer les villageois innocents
str_steal_from_villagers|voler les pauvres villageois
str_rob_caravan|dévaliser une caravane marchande
str_sell_slavery|vendre des personnes comme esclaves
str_men_hungry|que nos hommes manquent de nourriture
str_men_unpaid|que vous ne soyez pas en mesure de payer vos hommes
str_excessive_casualties|que chaque bataille se transforme en bain de sang pour nos hommes
str_surrender|se rendre
str_flee_battle|fuir le combat
str_pay_bandits|rembourser les bandits
str_fail_quest|échouer dans une quête pour laquelle nous avons donné notre parole d'honneur
str_squander_money|dilapider l'argent que l'on nous a confié
str_murder_merchant|nous impliquer dans un meurtre de sang froid
str_round_up_serfs|rassembler des serfs pour le compte d'un noble
str_battle_fate_1|Nous avons été séparés dans le feu de l'action
str_battle_fate_2|J'ai été blessé puis laissé pour mort
