qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Victories:_{reg0}|Victoires : {reg0}
qstr_Defeats:_{reg0}|Défaites : {reg0}
qstr_Quests_Completed:_{r|Quêtes accomplies : {reg0}
qstr_Companions_Found:_{r|Compagnons trouvés : {reg0}
qstr_Companions_Lost/Depa|Compagnons perdus/partis : {reg0}
qstr_Wealth:_{reg0}_denar|Fortune : {reg0} dragons d'or
qstr_Inventory:_{reg0}_de|Inventaire : {reg0} dragons d'or
qstr_Renown:_{reg0}|Renommée : {reg0}
qstr_Experience:_{reg0}|Expérience : {reg0}
qstr_Days_Passed:_{reg0}|Jours écoulés : {reg0}
qstr_Difficulty:_{reg0}%|Difficulté : {reg0}%
qstr_TOTAL_SCORE:_{reg0}|SCORE TOTAL : {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|Rien
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|Personnel:
qstr_Tributes_from_your_n|Contributions de vos nobles :
qstr_You_paid_{reg0}_cash|Vous payez {reg0} dragons d'or cash pour honorer une dette.
qstr_Earlier_cash:|Ancien solde:
qstr_New_cash:|Nouveau solde:
qstr_Done|OK.
qstr_Name:_{s1}^Level:_{r|Nom: {s1}^ Niveau: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Options pour améliorer une arme:
qstr_Apply_to_everyone|Appliquer à tous le monde.
qstr_Upgrade_armor_|Améliorer l'armure.
qstr_Upgrade_horse_|Améliorer le cheval.
qstr_Price_threshold_of_i|Evaluer le meilleur prix:
qstr_Select_your_domestic|Sélectionner votre politique intérieure.
qstr_Centralization:|Centralisation:
qstr_Aristocracy:|Aristocratie :
qstr_Serfdom:|Servage :
qstr_Troop_quality:|Qualité des troupes:
qstr_Mercantilism:|Mercantilisme :
qstr_High_centralization_|Haute centralisation réduit la perte fiscale pour le roi et augmente les impôts des vassaux. Cela va détériorer les relations entre le roi et ses vassaux.
qstr_High_aristocracy_wil|Une société aristocratique permet d'entretenir de meilleures relations entre le Roi et ses vassaux qui seront capables de soulever des armées plus importantes. Néanmoins cela aura un impact négatif sur le commerce.
qstr_High_serfdom_reduces|Une société recourant au servage parvient à réduire son inefficacité des taxes, aussi bien pour le Roi que pour ses vassaux et permet de maintenir levées davantage de troupes, mais au détriment de leur moral qui va baisser.
qstr_High_troop_quality_i|Une qualité de troupes élevée améliore la puissance de vos soldats, mais réduit leur nombre.
qstr_Mercantilistic_polic|Les politiques mercantiles accroissent la rentabilité des exportations tout en réduisant les importations et à accroissent  le contrôle gouvernemental de l'industrie.
qstr_Cancel|Annuler
qstr_Dictate_the_peace_te|Imposer les conditions de paix
qstr_Select_the_castle_an|Choisissez le château et/ou le montant en or, puis cochez les cases pour activer ces demandes. Si vous cochez les deux cases, ces deux éléments seront réclamés.
qstr_1000_denars|1000 dragons d'or
qstr__Faction_Relations_R| Rapport des relations entre les factions
qstr__Return_to_menu_| Retour vers le menu 
qstr_Your_kingdom|Votre royaume
qstr_Player^Relation|Joueurs^Relations
qstr_War|Guerre
qstr_Casus_Belli|Casus Belli
qstr_Peace|Paix
qstr_Truce|Trêve
qstr_Alliance|Alliance
qstr_Defense|Défense
qstr_Trade|Commerce
qstr_{reg59?{reg59}_days:|{reg59?{reg59} jours :}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|Fidèles
qstr_Devoted|Exceptionnelles
qstr_Fond|Excellentes
qstr_Gracious|Très bonnes
qstr_Friendly|Amicales
qstr_Supportive|Cordiales
qstr_Favorable|Favorables
qstr_Cooperative|Coopératives
qstr_Accepting|Tolérantes
qstr_Indifferent|Neutres
qstr_Suspicious|Mitigées
qstr_Grumbling|Tendues
qstr_Hostile|Hostiles
qstr_Resentful|Pleines de rancoeur
qstr_Angry|Agressives
qstr_Hateful|Haineuses
qstr_Revengeful|Exécrables
qstr_Vengeful|Atroces
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}Fiefs
qstr_{reg62}_Caravans|{reg62} Caravanes
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}Seigneurs
qstr_Sell_items_automatic|Vendre automatiquement des objets en partant:
qstr_Price_limit_for_auto|Limite des prix pour l'auto-vente:
qstr_Item_types_for_auto_|Vous pouvez auto-vendre ces articles:
qstr_Select_all|Les sélectionner tous.
qstr_Select_invert|Inverser la sélection.
qstr_{s1}^HP:_{reg0}|{s1}^HP: {reg0}
qstr_Attributes:|Attributs:
qstr_{s3}^STR:_{reg1}^INT|{s3}^STR: {reg1}^INT: {reg2}^^Compétences:
qstr_{s3}^Power_Strike:_{|{s3} ^Puissance de frappe: {reg1} ^Puissance de Tir: {reg2} ^Puissance de Jet: {reg3} ^Tir à l'arc monté: {reg4}^^ Compétences d'Arme:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^1 Armes à main: {reg1}^2 Armes à main: {reg2}^Armes d'hast: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^AGI: {reg1}^CHA: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^Santé de fer: {reg1}^Athlétisme: {reg2}^Bouclier: {reg3}^Equitation: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^Archérie: {reg1}^Arbalète: {reg2}^Javelot: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|Equipement:
qstr_One_Handed_Weapons|Armes à une-main.
qstr_Two_Handed_Weapons|Armes à Deux-mains
qstr_Polearms|Armes d'hast
qstr_Ranged_Weapons|Armes de tir à distance
qstr_Shields|Boucliers
qstr_Helmets|Casques
qstr_Armors|Armures
qstr_Boots|Bottes
qstr_Gauntlets|Gants
qstr_Horses|Chevaux
qstr_Please_reselect_a_co|Veuillez sélectionner à nouveau un compagnon en tant que commandant pour la bataille à  venir ^^ commandant actuel: {s0}.
qstr_Arms:|Armes:
qstr_{s2}^None|{s2}^Rien
qstr_{s2}^{s3}|{s2}^{s3}
qstr_{s2}^{s4}{s3}|{s2}^{s4}{s3}
qstr_{s2}^^Outfits:|{s2}^^Equipements:
qstr_{s2}^^Horse:|{s2}^^Cheval:
qstr_{s2}|{s2}
qstr_{reg1}^money_in_the_|{reg1}^Argent dans le coffre
qstr_{reg2}^money_in_your|{reg2}^Argent dans votre inventaire
qstr_Withdraw|Retirer-vous
qstr_Deposit|Dépôt
qstr_Record_Battle_Size_a|Taille de bataille tel que défini dans les options de combat:
qstr_The__Weapon_Use_Fixe|Réglages des armes" modifier les décisions des NPC-^ Concernant les armes suivantes.^^Décochez les cases si vous n'aimez pas ce style.
qstr_Use_NPC_Lancer_Fix:|Utilisez les réglages des Lanciers NPC :
qstr_Use_NPC_Horse_Archer|Utilisez les réglages archer à cheval NPC:
qstr_Use_NPC_Spear/Polear|Utiliser les réglages Lance/Arme d'Hast:
qstr_Use_Pike/Horse_Damag|Utiliser les réglages Pique/Domages à cheval:
qstr_Distance_limit_for_s|Distance maximale pour voir la barre HP:
qstr_Show_health_bars_of_|Afficher la barre de santé des troupes alliées:
qstr_Show_health_bars_of_e|Afficher la barre de santé des troupes ennemies:
qstr_Show_battle_minimap:|Montrer la cmini carte:
qstr_Size_of_battle_minim|Taille de la mini carte(bataille) (%):
qstr_Enable_Battle_Contin|Permettre que la bataille continue:
qstr_Batt._Cont._Charge_a|Cont. charge après KO:
qstr_Formations_Battle_AI|Formations Bataille AI:
qstr_Enable_AI_to_use_Spe|Permettre à l'AI d'utiliser des ordres spéciaux:
qstr_Reassign_De_horsed_C|Réaffecter Cavalerie Non-montées à:
qstr_Reassign_No_Ammo_Arc|Réaffecter Archérs sans armure à:
qstr_Reinforcement_waves:|Flux de renforts:
qstr_Report_shot_distance|Rapport tir à distance:
qstr_Report_extra_XP_&_Wp|Rapport extra XP & Armes Prof:
qstr_Enable_Bodyguards_in|Activer les gardes du corps dans les villes/villages:
qstr_Morale_threshold_for|Seuil de moral pour consommer de la nourriture ^ deux fois la vitesse normale:
qstr_Speed_of_battles_on_|Vitesse de la bataille sur la carte:
qstr_Skill_penalty_from_e|Pénalité Compétence de charge:
qstr_Ranged_penalty_from_|Pénalité temps variable:
qstr_Disable_horse_speed_|Désactiver réglage de la vitesse du cheval:
qstr_Allow_drowning_in_mi|Autoriser la noyade dans les missions:
qstr_Terrain_advantage_in|Avantage du terrain dans les batailles auto gérées:
qstr_Lords_returning_from|Les seigneurs reviennent d'exil:
qstr_Diplomacy_AI_changes|Modifier réglages Diplomatie de l'IA:
qstr_Diplomacy_economic_c|Modifier l'économie de l'IA:
qstr_Anti_woman_prejudice|Niveau de dommages subit par les femmes:
qstr_Enable_Fog_of_War:|Activer le brouillard de guerre:
qstr_Disable_Time_of_Day:|Désactiver l'heure du jour:
qstr_Probability_of_rain/|Taux pluie/neige (%):
qstr_Cloud_amount:|Nébulosité:
qstr_Fog_strength:|Quantité brouillard:
qstr_Disable_companions__|Désactiver les plaintes de vos compagnons:
qstr_Enable_debug_mode:|Activer debug mode:
qstr_Charge_All|Chargez!!!
qstr_Formations_AI|Formations AI
qstr_Native_AI_w/Formatio|Native AI, w/Formations
qstr_Enabled|Activer
qstr_Frequent|Fréquent
qstr_Low|Bas
qstr_Medium|Moyen
qstr_High/Experimental|Haut/Expérimental
qstr_Default|Par défaut
qstr_High|Haut
qstr_Floris_Mod^Options|Options^Floris Mod
qstr_About_morale_thresho|À propos de seuil de moral: si le moral de votre armée est en dessous de cette valeur, la vitesse de consommation de la nourriture sera deux fois plus haute que la normale, le bonus du  moral de vos soldats et toute leur nourriture sera également doublé
qstr_Restore_Defaults|Réinitialiser valeurs par défaut
qstr_Key_Settings|Réglages Touches clavier
qstr_You_can_recruit_troo|Vous pouvez recruter des troupes de {s1} pour {reg6? ce château:cette ville}. Cela vous coûtera {reg4} dragons d'or et cela durera au moins un jour. Vous avez {reg1} dragons d'or en réserve  ici (possibilité de recruter pour {reg2} fois) avec {reg5} dragons d'or dans vos coffres.
qstr_Decrease_times_of_re|Diminuer le temps de recrutement
qstr_Increase_times_of_re|Augmenter le temps de recrutement
qstr_Sovereign_color_of_t|Couleur du souverain de {s0}:
qstr_Red:|Rouge:
qstr_Green:|Vert:
qstr_Blue:|Bleu:
qstr__| 
qstr_HTML_code:_{s0}|HTML code: {s0}
qstr_Randomize|Aléatoire
qstr_{s1}_{reg3}/{reg2}_|{s1}({reg3}/{reg2})
qstr_{s1}_{reg2}_|{s1}({reg2})
qstr_Move_to_Top|Aller en haut
qstr_Move_Up|Monter
qstr_Move_Down|Descendre
qstr_Move_to_Bottom|Aller vers le bas
qstr_Buy_foods_automaticl|Acheter de la nourriture automatiquement en partant:
qstr_*|*
qstr_Character_Background|  ** Feuille du Personnage **
qstr_Your_story:|Votre histoire:
qstr_Your_gender:|Votre sexe:
qstr_Your_father_was:|Votre père était:
qstr_You_spent_your_early|Jeune vous étiez:
qstr_Later_you_became:|Plus tard vous êtes devenu{/e}:
qstr_The_reason_for_an_ad|Vous êtes parti{/e} à l'aventure à cause:
qstr_female|femme
qstr_male|homme
qstr_a_thief|{un voleur/une voleuse}:
qstr_a_steppe_nomad|{un/une}  nomade des steppes
qstr_a_hunter|{un chasseur/une chasseresse}
qstr_a_veteran_warrior|{un guerrier/guerrière} vétéran
qstr_a_travelling_merchan|{un marchand ambulant/Une commerçante ambulante}
qstr_an_impoverished_nobl|{un/une} noble ruiné{/e}
qstr_a_steppe_child|{un/une} enfant des steppes
qstr_a_street_urchin|{un gamin/une gamine} des rues
qstr_a_shop_assistant|{un assitant commercial/une assistante comerciale}
qstr_a_craftsman_s_appren|l'apprenti d'un artisan
qstr_a_page_at_a_nobleman|un page à la cour d'un noble
qstr_a_game_poacher|un joueur malhonnète
qstr_a_smith|un forgeron
qstr_a_goods_peddler|un colporteur de marchandises
qstr_a_university_student|un étudiant à l'université
qstr_a_troubadour|un troubadour
qstr_a_squire|un écuyer
qstr_a_lady_in_waiting|une jeune femme
qstr_lust_for_money_and_p|à la recherche de l'argent et du pouvoir
qstr_being_forced_out_of_|mis dehors de chez vous
qstr_wanderlust|l'aventure
qstr_the_loss_of_a_loved_|la perte d'un être aimé
qstr_personal_revenge|une vengeance personnelle
qstr_Conscript_quality:|Qualité des conscrits:
qstr_High_centralization_r|La centralisation générale accroît les recettes fiscale au profit du souverain au détriment des ses vassaux. Cela va nuire aux relations entre le dirigeant et les vassaux.
qstr_High_aristocracy_will|La grande aristocratie permettra d'améliorer les relations entre le souverain et ses vassaux qui seront en mesure de fournir de grandes armées, mais cela va diminuer les capacités commerciales avec une classe de marchands qui seront privés de leurs droits.
qstr_High_serfdom_reduces_|Le servage d'état augmente les recettes fiscales pour le souverain et ses vassaux, ces derniers pourront entretenir de grandes armées, mais leurs soldats perdront du moral.
qstr_{reg0}_denars|{reg0} dragons d'or
qstr__Sovereignty_Relatio|Rapport des relations du royaume
qstr_Your_sovereignty|Votre royaume
qstr__Courtships_in_progr|Relations amoureuses en cours
qstr__Known_Lords_by_Rela|Relations par seigneur connu
qstr__Character_&_Compani|Personnage et compagnons
qstr__Done_|OK
qstr_Your_supporters|Votre clan
qstr_Swadians|Swadians
qstr_Vaegirs|Vaegirs
qstr_Khergits|Khergits
qstr_Nords|Nords
qstr_Rhodoks|Rhodoks
qstr_Sarranids|Sarranids
qstr_All_Sovereignties|Tous les royaumes
qstr__Back_to_shop_| Retour à la boutique
qstr_Strength|Force
qstr_Riding|Equitation
qstr_Pdraw|Ptir
qstr_Pthrow|Pjet
qstr_1_hand|1-main
qstr_2_hand|2-mains
qstr_Polearm|Arme d'hast
qstr_Archery|Archérie
qstr__X_bow_| X-arc
qstr_Throwing_|Javelot
qstr___Firearms|  Arme à feux
qstr__Mode| Mode
qstr__to_next_lvl_|(niveau suivant)
qstr__1.3_| 1.3 
qstr_If_you_can_see_this_|Si vous pouvez le voir, acheter une nouvelle unité centrale de traitement.
qstr___Weapons_| -Armes-
qstr___Armor_| -Armure-
qstr_________________n/a_|                n/a                
qstr_Rides|Equitation
qstr_Walks|Marcher
qstr_Startpage_set__Quick|Page départ réglage (Vue Rapide)
qstr_Back_to_shop|Retour à la boutique
qstr__[?]_| [?] 
qstr_Hotkeys:^HOME_=_Set_|Hotkeys:^HOME = Page départ réglage^RMB = Aller au menu^ESCAPE = Vue Rapide^BACKSPACE = retour à la boutique (si visitée)
qstr___Quit2__|- Quit2 -
qstr__Quick_View_|Vue Rapide
qstr_______|      
qstr_Attributes|Attributs
qstr_Skills|Compétences
qstr_Proficiencies|Maniements
qstr_STR:|FOR:
qstr_AGI:|AGI:
qstr_INT:|INT:
qstr_CHA:|CHA:
qstr_Health:|Santé:
qstr_Level:|Niveau:
qstr_To_next_lvl:_|Niveau suivant à: 
qstr_Ironflesh^Power_Stri|Ironflesh^Puiss. Frappe ^Puiss. Jet^Puiss. Tir^Maître d'Arme^Bouclier^Athlétisme^Equitation^Archérie Montée^Pillage^Entraîneur^Pistage^
qstr_Tactics^Path_finding|Tactics^Reconn. Terrain^Découverte^Gestion inventaire^Soins des Blessures^Chirurgie^Premiers secours^Ingénierie^Persuasion^Gestion des Prisonniers^Commandement^Commerce
qstr_10|10
qstr_One_Handed_Weapons:^|Armes à Une-main:^^Armes à Deux-mains:^^Armes d'hast:^^Archérie:^^Arbalètes:^^Armes de Jet:^^Armes à Feux:
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_| {reg1} 
qstr__100%__| 100%  
qstr__30_| 30 
qstr__3333333333_| 3333333333 
qstr__Weapons_|-Armes-
qstr__Armor_|-Armure-
qstr_n/a_________________|n/a                                
qstr_{s9}_feels...|{s9} est en...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|Les compagnons que vous avez choisi.
qstr_{s7}|{s7}
qstr_your_style_of_leader|votre style de commandement et...
qstr_{s8}|{s8}
qstr_the_general_state_of|l'état général des affaires.^------------------------------
qstr_Morale:_____________|Moral:                       ^^Origine:          
qstr_State:______________|Etat:                       
qstr_Startpage_set__Exten|Page départ réglage (Vue Etendue)
qstr_How_will_your_male_v|Comment sont connus vos vassaux hommes?
qstr_How_will_your_female|Comment sont connues vos vassaux femmes?
qstr_Default_title.|Titre par défaut.
qstr_Set_Custom_Titles.|Titre personnalisé.
qstr_Use_fief_based_title|Utiliser les titres des fiefs de base (Défaut).
qstr_What_will_your_party|Comment est connue votre armée?
qstr_By_the_name_entered_|Par le nom entré précédemment.
qstr_Simply_by_my_name:_{|Simplement, par mon nom: {s5}.
qstr__{s2}_siege_camp.| camp de siège de{s2}.
qstr__Continue_| Continuer 
qstr_This_area_of_{s1}_ca|Cette zone de {s1} peut être décrite comme l'essence même de la ville. ^^ Vous pouvez apercevoir les diverses marchandises qui sont fabriquées là, l'argent qui va et vient à un rythme sans fin.  Ici, vous pouvez acheter de la terre qui pourra être cultivée à l'extérieur du bourg et qui rapportera beaucoup à ceux qui travailleront dur. Bien sûr vous n'aurez pas assez d'argent pour l'acheter, mais les bailleurs de fonds sont connus pour avoir beaucoup d'argent en stock.
qstr_{reg1}_people_live_i|{reg1} personnes vivent dans {s1}. Il y a {reg2} acres de terres disponibles pour la culture, elle vous fournira de la nourriture et bien d'autres marchandises. Vous possédez {reg3} acres de terre dans cette ville. Vous devez à vos créanciers de {s1}, {reg4} dragons d'or. Le taux d'intérêt est de 20% et la durée du contrat s'étale sur 2 semaines. Si vous ne parvenez pas à rembourser votre dette avant l'échéance, l'intérêt passera à 40%. Acheter un terrain vous coûtera {reg9} dragons d'or, alors qu'il se vend {reg10} dragons d'or. En acheter un nouveau nécessitera {reg11} dragons d'or. Le loyer payé aux propriétaires fonciers se monte actuellement à {reg13} dragons d'or par hectare toutes les 2 semaines et doit être payé en ville. Un terrain est habituellement loué dans une ville bien fourni.
qstr_Choose_how_many_acre|Combien d'acres vous souhaitez vendre:
qstr_Choose_how_many_acres|Combien d'acres vous souhaitez acheter:
qstr_Verify|Vérifier
qstr_Choose_how_much_mone|Combien d'argent vous souhaitez emprunter:
qstr_Buy_and_prepare_uncu|Achetez et préparez un terrain vierge:
qstr_Pay_off_your_debt_:|Remboursez votre dette:
qstr_{reg5}|{reg5}
qstr_You_cant_sell_0_acre|Vous pouvez vendre 0 acres de terrain.
qstr_You_cant_buy_0_acres|Vous pouvez acheter 0 acres de terrain.
qstr_{reg6}|{reg6}
qstr_You_cant_borrow_0_de|Vous pouvez emprunter 0 dragons d'or.
qstr_{reg7}|{reg7}
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|Vous ne pouvez rien rembourser.
qstr_Town|Ville
qstr_Acres|Acres
qstr_Owned|Propriétaire
qstr_Balance|Balance
qstr_Assets|Actifs
qstr_Debt|Dette
qstr_Deadline|Date limite
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr_Merchant_Ledger|Grand Livre de la Comptabilité
qstr_____Assessed_Profit_|    Bénéfice évalué par catégorie ici
qstr_{s0}_products_from_{|{s0}, produits de {s1}:
qstr_^{s1}_sold_in_{s2}_w|^{s1} vendu dans {s2} rapporterait {reg0} dragons d'or.{s3}
qstr___Assessed_Profit_by|  Estimer les Profits en fonction de la Date d'entrée dans le Livre
qstr_^{s1}_sold_in_{s2}_wo|^ {s1} vendu dans {s2} rapporterait {reg0} dragons d'or (comme à {s0}).{s3}
qstr_Production_in_{s1}|Production de {s1}
qstr_Assessed_Profit_by_T|Profit estimé par Ville Productrice
qstr_^{s1}_purchased_in_{|^ {s1} achetés dans {s2} rapporterait {reg0} dragons d'or (comme à {s0}).{s3}
qstr_Demand_in_{s1}|Demande émise à {s1}
qstr_Assessed_Profit_by_To|Profit estimé par Ville Demandeuse
qstr_^Buy_in:_{s1}___sell|^ Vente: {s1} - vendu dans: {s2} a rapporté {reg0} dragons d'or (comme à {s0}).{s3}
qstr_Supply_and_Demand_of|Offre et Demande de {s1}
qstr_____Assessed_Profit_b|    Bénéfice estimé pour l'Artisanat
qstr_Trim_ledger_entries_|Supprimer les entrées du Livre de Compte de plus de:              jours:
qstr_Remove_entries.|Supprimer les entrées.
qstr_Trim_ledger_entries_c|Supprimer les entrées du Livre de Compte portant sur l'Artisanat:
qstr_Use_slider_to_choose|Utilisez le curseur pour choisir votre article
qstr_Trim_ledger_entries_f|Supprimer les entrées comptables pour les marchandises liées à cette ville :
qstr_Use_slider_to_choose_|Utiliser le curseur pour choisir une ville
qstr_Remove_entries__Prod|Supprimer les entrées (Production).
qstr_Remove_entries__Dema|Supprimer les entrées (Demande).
qstr_Trim_ledger_entries_w|Supprimer les entrées qui ont moins de:              dragons d'or de profit:
qstr_Ask_about_the_potent|Renseignez-vous sur le bénéfice potentiel des articles suivants ^ A chaque fois que vous évaluez les prix dans un marché:
qstr____________Log_Entry|           Valider les options d'entrées
qstr_Add_Note|Ajouter des notes
qstr_Clear_Notes|Effacer les Notes
qstr_Use_a_/\__caret__for|Utilisez un /\ (acc. circonf) à chaque saut de ligne.
qstr_Chronological_Log|Chronologie
qstr_Production_Towns|Villes Productrices
qstr_Purchasing_Towns|Ville Demandeuses
qstr_Trade_Goods|Artisanats
qstr_Manage_Ledger|Gérer la comptabilité
qstr_{s1}^+{s0}|{s1}^+{s0}
qstr_{reg0}_entries_remov|{reg0} entrées effacées de la comptabilité.
qstr_Plan_Deployment|Mettre en place un Plan
qstr_You_will_have_{reg1}|Vous devez avoir {reg1} troupes en état de se battre au début de la bataille
qstr_Troop|Troupe
qstr_#_at_start__/_#_in_p|# au début  / # dans l'armée
qstr_/_{reg0}|/ {reg0}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_troops|de {reg0} troupes
qstr_Ready_Troops|Troupes Prêtes
qstr_Reassess|Réassigner
qstr_Scrap_All|Se débarrasser de tous
qstr_Too_many_troops^Chec|Trop de soldats sélectionnés^Choisissez un nombre correct
qstr_Initial|Initial
qstr_Movement_1|Mouvement 1
qstr_Movement_2|Mouvement 2
qstr_Formation|Formation
qstr_Attack|Attaquer
qstr_Weapon_Type|Tyoe d'Arme
qstr_Shield|Bouclier
qstr_Skirmish|Escarmouche
qstr_Hold_Position|Tenir la position
qstr_Back_10|Reculez 10
qstr_Forward_10|Avancez 10
qstr_Repeat_x|Répéter x
qstr_Square|En Carré
qstr_Wedge|En Pointe
qstr_Shieldwall|En Mur de Bouclier
qstr_Ranks|En rangs
qstr_Ranged|En Ligne
qstr_Two_Handed|Deux-mains
qstr_One_Handed|Une-main
qstr_No_Shields|Pas de Bouclier
qstr_Use_Shields|Utilisez le Bouclier
qstr_Avoid_Melee|Evitez la Mêlée
qstr_Turn_to_weapon_order|A vos armes...
qstr_Prepare_Orders|Préparer les ordres
qstr_Dispatch_Orders|Divulguer les ordres
qstr_...Turn_to_positioni|... Retourner aux ordres de Positions
qstr_Record_Battle_Size_as|Régler la Taille maximale d'un bataille suivant Options
qstr_Enable_ranged_penalt|Activer handicap temps en fonction de la météo:
qstr_Disable_Companions__|Désactiver les doléances des Compagnons:
qstr_Enable_the_cheat_men|Activer le menu des Triches:
qstr_PBOD_Mod^Options|Mod PBOD^Options
qstr_Mouse_over_options_f|Passez votre souris sur les options pour de plus amples informations.
qstr_Weapon_Use_Fix_for_L|Armement Auto pour les Lanciers, ça les obligera une fois à cheval à utiliser leur lance, sauf s'ils sont encerclés par des ennemis.
qstr_Weapon_Use_Fix_for_H|Armement Auto pour les archers montés, ça les obligera une fois à cheval à utiliser leur arc  jusqu'à épuisement des munitions.
qstr_Weapon_Use_Fix_for_S|Armement Auto pour l'infanterie, ça les obligera à utiliser des armes d'hast à moins qu'ils ne soient encerclés par des ennemis.
qstr_Damage_tweaks_will_g|Bonus Dommages augmentera les dommages causés par des lanciers à cheval, et les dégâts provoqués à l'infanterie par les charges de chevaux, compensera la mauvaise utilisation des armes d'hast et des charges par l'AI.
qstr_Mounted_bots_once_th|Les cavaliers, une fois leurs chevaux tués, peuvent être réassignés à une division de votre choix. Si elle est active, l'infanterie de l'AI sera réaffecté automatiquement à l'infanterie.
qstr_Foot_archer_bots_onc|Les archers fantassins, une fois à court de munitions, peut être réassignés à une division de votre choix. Si elle est active, les archers de l'AI seront réaffectés automatiquement à l'infanterie.
qstr_Battle_Continuation_|Poursuite du combat permet à vos troupes de continuer le combat après que vous ayez été  assommé.
qstr_If_Battle_Continuati|Si la 'Poursuite du combat' est activée, vous pouvez décider ce que vos troupes vont faire après votre KO: Désactivée, ils continuent d'exécuter les ordres précédents; Chargez tous intimera l'ordre général de charger; Formations AI (s'il est activé pour l'AI) permettra à l'AI de tout gérer à votre place.
qstr_Select_your_prefered|Choisissez vos préférences 'Bataille de l'AI': "Désactivée" alors reprend L'AI de la Native; "Formations AI" permet à l'AI d'utiliser ses formations et de modifier les prises de décisions en cours de bataille; "Native AI w/Formations" reprend l'AI de la Native mais plus réaliste avec les formations de base.
qstr_Enabling_AI_Special_|Activer les commandes spéciales de l'AI permet aux équipes de l'AI d'utiliser les tirs de volée (arbalètes), le mode 'Escarmouche' (Archers) et 'super lanciers' (arme d'hast pour l'infanterie).
