dlga_start:lco_conversation_end|Ha! Vous êtes là!
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Je vais maintenant combiner différents coups et attendre avant d'attaquer que vous adoptiez le blocage qui convient. Essayez d'utiliser le bon blocage dès que possible. ^^(Cet entraînement est facilité par le paramètre par défaut de direction de blocage automatique. Si vous accédez au menu Options et modifiez le contrôle de direction de défense sur 'mouvement de la souris' ou 'clavier', vous devrez choisir manuellement la direction de blocage. Certes, c'est plus difficile, mais également plus intéressant. Cet entraînement peut s'avérer très utile si vous utilisez le blocage manuel.)
dlga_fighter_talk_train_parry_3:close_window|Allons-y alors. Je suis {reg3?prête:prêt}. 
dlga_fighter_talk_train_parry_3:fighter_pretalk|Maintenant j'aimerais faire autre chose. 
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Les combats d'entraînements sont parfaits pour se préparer aux vrais combats. Maintenant nous allons combattre avec des armes non létales, jusqu'à ce que l'un de nous perde connaissance. Bien sûr vous vous ferez quelques bleus, mais mieux vaut se battre pour de vrai. 
dlga_fighter_talk_train_combat_2:close_window|Commençons alors. Je suis {reg3?prête:prêt}.  
dlga_fighter_talk_train_combat_2:fighter_pretalk|Maintenant j'aimerais faire autre chose. 
dlga_start:fighter_parry_try_again|Bien. Vous avez été capable de parer avec succès mes attaques. Vous devriez répéter cela à chaque fois et de plus en plus rapidement, jusqu'à que vous soyez confiant en vos capacités de défense. Désirez-vous un autre combat? 
dlga_start:fighter_parry_try_again.1|Bon ça ne va pas très bien, n'est-ce pas ? (Souvenez-vous, vous devez cliquer sur le bouton droit et et le laisser appuyé pour que votre parade soit efficace.) Voulez-vous essayer de nouveau ? 
dlga_fighter_parry_try_again:fighter_talk_train_parry|Oui. Réessayons. 
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Non, Je pense que ça ira. 
dlga_start:fighter_parry_warn|Hé ! On fait des parades, mon gars ! Vous êtes supposé parer mes attaques, pas m'attaquer en retour. 
dlga_fighter_parry_warn:fighter_talk_train_parry|Je suis désolé. Réessayons une fois. 
dlga_fighter_parry_warn:fighter_talk_leave_parry|Désolé. Je dois laisser cet entraînement pour l'instant. 
dlga_fighter_talk_leave_parry:close_window|Très bien. Comme il vous plaira. 
dlga_start:fighter_combat_try_again|Bon ça n'a pas l'air d'aller, n'est-ce pas ? Allez courage, et essayez de ne pas faire les mêmes erreurs la prochaine fois. Voulez-vous réessayer ? 
dlga_fighter_combat_try_again:fighter_talk_train_combat|Oui. Faisons un autre combat. 
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Non. C'est en assez pour moi. 
dlga_fighter_talk_leave_combat:close_window|Bon, très bien. Revenez me parler si l'envie de vous entraîner vous revient. 
dlga_start:fighter_combat_try_again.1|Hé, quel beau combat. Vous m'avez battu, mais la prochaine fois, je ne me retiendrai pas. Voulez-vous réessayer? 
dlga_start:fighter_talk.2|Très bien. vous avez appris l'attaque dans toutes les directions. Si vous voulez on peut recommencer ou passer à autre chose.
dlga_start:archer_challenge_2|Pas mal. Pas mal du tout ! Vous semblez avoir compris les principes de base de l'archerie. Maintenant, essayez la même chose avec une arbalète. Prenez l'arbalète et les carreaux par ici et visez ces trois cibles. L'arbalète est plus simple à manier que l'arc, mais il faut la recharger après chaque tir.
dlga_start:archer_challenge_2.1|Bien. Vous semblez tout aussi adroit avec l'arbalète. Maintenant vous allez apprendre à manier les armes de jet. Prenez les javelots ici et essayez d'atteindre ces trois cibles. 
dlga_start:ranged_end|Bien, avec ça vous avez reçu l'entraînement nécessaire pour manier tous les types d'armes à distance. Entraînez-vous tous les jours, et vous serez peut-être un jour au niveau des meilleurs tireurs d'élite du pays...  
dlga_ranged_end:close_window|Maintenant, vous pourriez aller discuter avec les combattants au corps à corps, ou avec le maître d'équitation, si ce n'est déjà fait. Ils peuvent vous apprendre de nombreuses choses importantes. 
dlga_start:archer_talk|Salutations, mon jeune ami. Je passe tout mon temps à enseigner le maniement des armes à distance à tous ceux qui s'y intéressent. Si vous avez besoin de mes services, faites-le-moi savoir et je vous montrerai comment utiliser l'arc, l'arbalète et le javelot.
dlga_archer_talk:archer_challenge|Oui, montrez moi comment utiliser les armes à distance. 
dlga_archer_talk:close_window|Non, pas maintenant. 
dlga_archer_challenge:archer_challenge_2|Très bien. Votre premier entraînement portera sur l'archerie. L'arc est une arme difficile à maîtriser. Mais avec un peu d'entraînement, et surtout beaucoup de pratique, vous pourrez décocher avec autant de puissance que de célérité. Allez prendre l'arc et les flèches de ce côté et tirez sur ces cibles. 
dlga_archer_challenge_2:close_window|Très bien. Je suis {reg3?prête:prêt}. 
dlga_archer_challenge_2:close_window.1|Une minute, j'ai quelque chose à faire avant.
dlga_start:horseman_melee_challenge_2|J'espère que vous avez apprécié la chevauchée. Nous allons maintenant passer à quelque chose d'un peu plus difficile. Attrapez cette lance là-bas et suivez le parcours en touchant chaque cible au moins une fois. 
; dlga_start:horseman_melee_challenge_2.1|Good! You have been able to hit all targets on horseback. That's no easy feat for a starter. Your next challenge will be using a bow and arrows to shoot at the archery targets by the road. You need to put an arrow to each target to consider yourself successful.
dlga_start:horsemanship_end|Très bien. Vous avez été capable de toucher toutes les cibles sans mettre pied à terre. Continuez à vous entraîner régulièrement et vous deviendrez rapidement un cavalier hors pair.
dlga_horsemanship_end:close_window|Maintenant vous pouvez aller parler aux combattants au corps à corps, ou au maître d'archerie. Vous devez apprendre tout ce dont vous aurez besoin pour être prêt lorsqu'il faudra se défendre. 
dlga_start:horseman_talk|Bonjour ! Je suis là pour m'entraîner un peu à l'équitation, mais mes vieux os me font terriblement souffrir, et je pense que je ne montrai plus de la journée. Si vous souhaitez vous entraîner, vous pouvez prendre ma monture, juste ici. Un peu d'exercice lui ferait du bien. 
dlga_horseman_talk:horseman_challenge|Oui, j'aimerais m'entraîner à monter à cheval.
dlga_horseman_talk:close_window|Hum. Peut-être plus tard. 
dlga_horseman_challenge:horseman_melee_challenge_2|Bien. Maintenant je vais vous donner quelques exercices qui vont vous apprendre le maniement d'armes à cheval. Le premier est des plus simples. Prenez votre cheval et le tour de la piste. Allez-y doucement, ou vivement, comme vous voulez. Revenez quand vous vous sentirez à l'aise, et je vous donnerai quelques exercices plus ardus. 
dlga_horseman_melee_challenge_2:close_window|Parfait, je suis {prêt/prête}.
dlga_horseman_melee_challenge_2:close_window.1|Attendez une minute. Je veux faire autre chose avant. 
dlga_tutorial_troop_default:close_window|Hé, j'essaye de m'entraîner ! Allez parler au maître d'archerie si vous voulez des conseils. 
dlga_start:lord_prison_break_confirm_3|Il y a un changement de plan ? 
dlga_start:lord_prison_break|Que se passe-t-il ? 
dlga_start:drunk_response|Qu'est-ce que vous regardez ? 
dlga_start:drunk_response.1|C'est moi que vous regardez ? 
dlga_player_duel_response:close_window|Quel gâchis... 
dlga_player_duel_response:close_window.1|Plutôt lui que moi. 
dlga_drunk_response:drunk_fight_start|Je ne sais pas... Un animal, sans doute. 
dlga_drunk_response:dplmc_drunk_attempt_placate|Excusez-moi -- veuillez accepter mes excuses.
dlga_dplmc_drunk_attempt_placate:close_window|Je vais oublier tout ça ... Pour cette fois. Maintenant déguerpi.
dlga_dplmc_drunk_attempt_placate:close_window.1|Je vais effacer ce sourire de votre visage!
dlga_drunk_fight_start:close_window|Je vais faire disparaître ce sourire sur votre visage ! 
dlga_drunk_response:drunk_player_high_renown|Savez-vous qui je suis ? 
dlga_drunk_player_high_renown:drunk_fight_start|Eh bien, si vous voulez vous battre, vous allez être servi ! 
dlga_drunk_player_high_renown:drunk_fight_start.1|Si vous voulez vous battre, vous allez être servi. 
dlga_drunk_player_high_renown:drunk_player_high_renown|Euh... hum... En fait... Oui, oui, je sais qui vous êtes, {s0}. Je vous prie de m'excuser, Votre Grâce... ça doit être l'alcool. Faut que j'y aille, maintenant... 
dlga_drunk_player_high_renown:drunk_fight_start.2|Eh bien, si tu veux te battre, alors tu es bien tombé!
dlga_drunk_player_high_renown:close_window|Je pensais la même chose. Maintenant, allez-vous-en. 
dlga_start:fistfight_response|Vous me faites l'impression d'être quelqu'un de fort et j'ai une proposition à vous faire. 
dlga_fistfight_response:fistfight_response_2|Comment ça ? 
dlga_fistfight_response_2:fistfight_response_2a|Cela vous intéresse, c'est parfait. Voilà le plan... C'est un peu compliqué... Alors, écoutez bien. 
dlga_fistfight_response_2a:fistfight_response_3|Vous et cette autre personne allez entamer un combat ici. Pas d'arme, pas d'armure. Je vais m'asseoir ici et prendre les paris, après quoi je partagerai les bénéfices avec le gagnant. Si nous perdons, j'assumerai les frais. Vous n'avez rien à perdre, si ce n'est un peu de sang, bien sûr. 
dlga_fistfight_response_3:fistfight_response_4|Ceci dit, impossible de préparer une jolie arène où chacun pourra miser à l'avance. Les gens viendront, attirés par le bruit, miseront un ou deux dragons d'or sur celui qui selon eux gagnera. Je veillerai à leur donner les mêmes chances... Le reste risque d'être difficile pour quelqu'un qui en est à sa troisième cruche de bière. 
dlga_fistfight_response_4:fistfight_response_4a|Bon, comme vous l'avez sans doute deviné, l'important c'est de faire comme si vous perdiez pour que les gens parient contre vous... Puis de revenir dans le combat et de l'emporter avant que les mises ne s'inversent. Le meilleur moyen de gagner de l'argent, c'est de vous montrer faiblissant, presque à terre, puis de vous redresser et d'étendre promptement votre adversaire au sol. Mais attention, au final, c'est vous qui devez gagner pour que vous et moi puissions empocher les mises. 
dlga_fistfight_response_4a:fistfight_response_5|Veillez aussi à ne pas trop faire durer le combat, ou les gens pourraient se montrer suspicieux. Alors, ne ménagez pas vos coups. Peu importe de qui il provienne, le sang doit couler. 
dlga_fistfight_response_5:fistfight_response_5a|Et autre chose... La complexité n'est pas l'affaire de votre adversaire et il va juste se jeter sur vous. Il vous incombe de mettre du piment dans tout ça. 
dlga_fistfight_response_5a:fistfight_response_confirm|Alors, qu'est que vous en dites ? 
dlga_fistfight_response_confirm:close_window.1|J'ai mieux à faire. 
dlga_start:ramun_introduce_1|Bien le bonjour, jeune {homme/femme}. 
dlga_ramun_introduce_1:ramun_introduce_2|Veuillez m'excuser, vous dites être marchand mais je ne vois aucune marchandise. 
dlga_ramun_introduce_1:close_window|Oublions cela. 
dlga_ramun_introduce_2:ramun_introduce_3|Un marchand ? Certes, je le suis. Cependant mes marchandises sont un peu particulières. Elles doivent être nourries et abreuvées deux fois par jour, en plus elles tentent de s'enfuir si je leur tourne le dos. 
dlga_ramun_introduce_3:ramun_introduce_4|Du bétail ? 
dlga_ramun_introduce_4:ramun_introduce_5|Presque, j'aime à me faire appeler 'l'ange gardien des bateaux naviguant sur le grand océan du continent'. Les bateaux ont besoin d'avirons, voyez-vous, et les avirons ont besoin d'hommes pour les manier, sinon ils s'arrêtent. C'est là que j'entre en jeu. 
dlga_ramun_introduce_5:ramun_introduce_6|Des galériens ! 
dlga_ramun_introduce_6:ramun_introduce_7|Précisément. Un port de commerce ne pourrait survivre sans eux. Les navires perdent toujours quelques hommes en mer, ce qui fait que la demande est toujours aussi élevée. Alors les capitaines viennent me voir et ils me paient bien. 
dlga_ramun_introduce_7:ramun_introduce_8|D'où viennent les esclaves ? 
dlga_ramun_introduce_8:ramun_introduce_9|La plupart du temps je rachète aux autorités les criminels déjà condamnés. Les autres sont des prisonniers de guerre de diverses nations qu'on m'apporte, car j'offre toujours le meilleur prix. Cependant, de temps en temps, je me fournis chez des particuliers et chez d'autres... individus. Dans mon travail vous ne pouvez vous permettre d'être difficile sur le choix des fournisseurs. Vous n'auriez pas par hasard quelques prisonniers avec vous ?
dlga_ramun_introduce_9:ramun_introduce_10|Moi ? 
dlga_ramun_introduce_10:ramun_introduce_11|Et pourquoi pas ? Si vous avez l'intention de sortir de cette ville, vous croiserez tôt ou tard le fer. Et si la chance vous sourit, vous en sortirez vainqueur. Pourquoi ne pas vous faire un peu d'argent en plus grâce à cela ? Prenez-en vivants, amenez-les moi et je vous en donnerai cinquante dragons d'or par tête. Ne vous souciez pas de savoir qui ils sont ou d'où ils viennent. 
dlga_ramun_introduce_11:ramun_introduce_12|Hum, j'y penserai. 
dlga_ramun_introduce_12:close_window|Pensez-y ! Soyez-en sûr, il y a beaucoup d'argent à se faire, bien assez pour nous deux. 
dlga_start:ramun_talk|Bonjour {playername}. 
dlga_ramun_pre_talk:ramun_talk|Autre chose ? 
dlga_ramun_talk:ramun_sell_prisoners|Je vous ai apporté quelques prisonniers, Ramun. Voulez-vous y jeter un œil ? 
dlga_ramun_talk:ramun_sell_prisoners_all|Je veux vendre tous mes prisonniers.
dlga_ramun_sell_prisoners_all:ramun_sell_prisoners_all_2|Je vais vous prendre {reg0} {reg2? prisonniers: prisonnier} de vos mains pour {reg1} dragons d'or. Cela vous convient?
dlga_ramun_sell_prisoners_all_2:ramun_sell_prisoners_2|Accord conclu!
dlga_ramun_sell_prisoners_all_2:ramun_pre_talk|Laissez-moi y réfléchir.
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Faites-moi voir ce que vous avez... 
dlga_ramun_sell_prisoners_2:close_window|C'est un plaisir de traiter avec vous. 
dlga_ramun_talk:ramun_ask_about_capturing|Comment puis-je faire des prisonniers ? 
dlga_ramun_talk:ramun_ask_about_capturing.1|Que pouvez-vous me dire au sujet de la capture des prisonniers ? 
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Vous n'êtes pas habitué à ce genre de pratique, n'est-ce pas ? Laissez-moi vous expliquer en des termes simples. Ce qu'il faut faire, c'est utiliser des armes contondantes, comme une massue ou un gourdin, afin d'assommer votre ennemi plutôt que de l'occire avec une épée. De cette manière, voyez-vous, il sera neutralisé pour quelque temps plutôt que de se vider de son sang. J'espère que vous avez toujours ce genre d'arme sur vous... 
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Bien sûr. 
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|En vérité, non. 
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Bien. Tout ce que vous avez à faire, c'est assommer votre ennemi avec vos armes contondantes dès que possible. C'est un peu différent pour les nobles ou autres personnes de haut rang, qui ont tendance à être si protégés que l'arme que vous utiliserez importera peu, en fin de compte, mais un combattant ordinaire saignera comme un porc égorgé si vous l'attaquez avec quelque chose de tranchant. Je ne suis pas très difficile quant à l'état de mes marchandises, mais j'insiste pour que ce que j'achète respire encore. 
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Non ? Ce doit être votre jour de chance. J'ai justement un vieux gourdin qui a pas mal servi et que je m'apprêtais à jeter. Il est un peu abimé, mais il est encore en assez bon état pour cogner quelqu'un jusqu'à ce qu'il cesse de bouger. Tenez, prenez-le. 
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Merci, Ramun. Peut-être que je vais essayer. 
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Bien, je vais essayer de vous expliquer à nouveau avec des termes simples. Ce qu'il faut savoir c'est que pour faire des prisonniers, il vous faut assommer vos ennemis avec des armes contondantes, plutôt que de les occire avec votre épée. Ainsi, ils seront neutralisés au lieu d'être saignés à mort, vous voyez ? C'est différent avec les nobles qui ont tendance à être si protégés que l'arme que vous utiliserez importera peu, mais un combattant moyen saignera comme un porc si vous l'attaquez avec quelque chose de tranchant... 
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Bien, je crois que j'ai compris. Autre chose ? 
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Eh bien, ce n'est pas toujours aussi simple. Des armes contondantes ne feront pas autant de dégâts que des armes bien aiguisées, et n'abattront pas vos ennemis aussi rapidement. Et, croyez-moi, la racaille que vous rencontrerez au dehors vous attaquera à vue, et il est vain de vous attendre à ce qu'ils ménagent leurs coups parce que vous utilisez un gourdin plutôt qu'une épée. De plus, devoir traîner vos prisonniers vous ralentira sensiblement, c'est d'ailleurs pour cela que tant de gens libèrent leurs prisonniers après la bataille. C'est de la folie bien sûr, que de perdre tout cet argent, hein ? 
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Est-ce tout ? 
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Une dernière chose. Gérer des prisonniers n'est pas une tâche facile, c'est tout un art en vérité. Si vous voulez obtenir beaucoup de prisonniers, il vous faudra apprendre les ficelles du métier par vous même, ou vous ne parviendrez pas à en tenir ne serait-ce qu'un seul. 
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Merci, je garderai cela à l'esprit. 
dlga_ramun_talk:ramun_leave|Je ferais mieux d'y aller. 
dlga_ramun_leave:close_window|Souvenez-vous, vous pouvez m'apporter n'importe quel prisonnier, je vous en donnerai un bon prix.
dlga_start:close_window.5|Je demande humblement, à votre seigneurie, de maintenir ses mains bien visibles.
dlga_start:manhunter_talk_b|Hé, vous là, vous n'auriez pas vu des hors-la-loi dans le coin ? 
dlga_manhunter_talk_b:manhunter_talk_b1|Oui, ils sont partis par là, il y a environ une heure. 
dlga_manhunter_talk_b1:close_window|Je le savais ! Allez les gars, traquons cette vermine ! Merci l'ami. 
dlga_manhunter_talk_b:manhunter_talk_b2|Non, ces derniers temps, je n'en ai pas vu . 
dlga_manhunter_talk_b2:close_window|Bah, ils se cachent comme des rats sur ces terres mais nous les délogerons tôt ou tard. 
dlga_looters_1:looters_2|{s4} 
dlga_looters_2:close_window|Je n'ai pas peur de vous. Combattez si vous l'osez ! 
dlga_looters_2:close_window.1|Vous n'obtiendrez de moi que le trépas. 
dlga_start:smugglers_intro_1|Bonne journée à vous.
dlga_smugglers_intro_1:smugglers_intro_2|J'ai entendu dire que vous êtes à l'origine des ennuis de {s1}. Donnez-moi une bonne raison pour que je ne vous tue pas  tous.
dlga_smugglers_intro_2:smugglers_intro_3|Nous nous sommes cachés en dehors de {s1}, oui, mais uniquement parce que nous avions besoin d'un endroit pour attendre. Nous nous sommes peut-être pas comportés de la meilleure façon. Nous avons été chassés de {s6} par les gardes de la ville, ils sont en train de faire une de leurs purges périodiques, et nous espérons que les choses vont se calmer. Nous sommes prêts à y retourner, ce n'est pas nous qui ferons des misères aux villageois de {s1}. Si vous nous laissez libre d'y retourner nous vous donnerons une bouteille de notre meilleur vin d'Arbor, les marchands le réserve pour les gens nobles, vous ne le trouverez jamais dans une boutique ou une taverne.
dlga_smugglers_intro_2:smugglers_intro_3a|Nous nous sommes cachés en dehors de {s1}, oui, mais uniquement parce que nous avions besoin d'un endroit pour attendre. Nous nous sommes peut-être pas comportés de la meilleure façon. Nous avons été chassés de {s6} par les gardes de la ville, ils sont en train de faire une de leurs purges périodiques, et nous espérons que les choses vont se calmer. Nous sommes prêts à y retourner, ce n'est pas nous qui ferons des misères aux villageois de {s1}. Si vous nous laissez libre d'y retourner nous vous donnerons 250 dragons d'or.
dlga_smugglers_intro_3:smugglers_go_back|Vous pensez que je pourrais accepter un pot de vin!
dlga_smugglers_intro_3:smugglers_let_go|Eh bien, peut-être que vous êtes dans votre droit. Très bien. Si quelqu'un me le demande, je ne vous ai pas vu.
dlga_smugglers_intro_3a:smugglers_go_back|Vous pensez que je pourrais accepter un pot de vin!
dlga_smugglers_intro_3a:smugglers_let_go_a|Eh bien, peut-être que vous avez raison. Très bien. Si quelqu'un me le demande, je ne vous ai pas vu.
dlga_smugglers_go_back:close_window|Ba, suivez votre chemin!
dlga_smugglers_let_go:close_window|Que les dieux vous bénissent, {playername}. Nous n'oublierons pas votre aide. Voici le vin. Attention, il est très fort!
dlga_smugglers_let_go_a:close_window|Que les dieux vous bénissent, {playername}. Nous n'oublierons pas votre aide. Voici l'argent.
dlga_start:close_window.6|Ca a été un honneur pour moi de vous servir, {mon seigneur/ma dame}.
dlga_start:cheese_rustlers_intro_1|Content de vous voir. Puis-je vous aider? Voulez-vous acheter un peu de grain, par hasard?
dlga_cheese_rustlers_intro_1:cheese_rustlers_intro_2|J'ai été envoyé pour traquer des voleurs de céréales. Vous voyez ce dont je parle.
dlga_cheese_rustlers_intro_2:cheese_rustlers_intro_3|Des céréales? Nous n'avons pas besoin de vos saloperies de céréales! Nous traitez-vous de voleurs?
dlga_cheese_rustlers_intro_3:cheese_rustlers_intro_4|Eh bien, maintenant que vous le dites... voyons, que contient ce sac en toile de jute dans votre main?
dlga_cheese_rustlers_intro_4:cheese_rustlers_intro_5|Que diable voulez-vous dire?
dlga_cheese_rustlers_intro_5:cheese_rustlers_intro_6|Il ressemble comme deux gouttes d'eau à ces sacs que les marchants utilisent pour transporter de grandes quantités de céréales...
dlga_cheese_rustlers_intro_6:close_window|Soyez maudit! Tuez {le/la}! A l'attaque!
dlga_start:cheese_paladins_intro_1|Content de vous voir. Puis-je vous aider? Vous désirez acheter un peu de vin, peut-être?
dlga_cheese_paladins_intro_1:cheese_paladins_intro_2|Attendez, vous êtes.... vous êtes un mercenaire? On m'a demandait de traquer de banals voleurs...
dlga_cheese_paladins_intro_2:cheese_paladins_intro_3|Ah! Eh bien, je suis désolé mais les temps sont durs, avec toute cette violence et ces conflits récents. Il semblait qu'un petit groupe de, disons... d'hommes expérimentés, attirerait beaucoup moins l'attention qu'une bande de voyous et de fainéants. Lorsque cette occasion s'est présentée, il aurait été totalement fou de refuser.
dlga_cheese_paladins_intro_3:close_window|Ce n'est rien, je n'ai pas d'affaire avec vous.
dlga_cheese_paladins_intro_3:cheese_paladins_intro_4|Je vais vous rendre fou. Préparez-vous à combattre!
dlga_cheese_paladins_intro_4:close_window|Tout le plaisir est pour nous. Soldats à mes ordres!
dlga_start:bandits_awaiting_ransom2_intro_1|Avez-vous la rançon? Vite, donnez-nous l'argent maintenant.
dlga_start:bandits_awaiting_ransom2_intro_1.1|Vous êtes revenu? Vite, donnez-nous l'argent maintenant.
dlga_bandits_awaiting_ransom2_intro_1:bandits_awaiting_ransom2_pay|Voilà, prenez l'argent. Et libérez la femme.
dlga_bandits_awaiting_ransom2_pay:close_window|Hé. C'est bien, vous avez apporté l'argent. Vous pouvez récupérer la jeune fille maintenant, nous nous sommes assez amusés avec elle! C'est un plaisir de faire des affaires avec vous...
dlga_bandits_awaiting_ransom2_intro_1:bandits_awaiting_ransom2_b|Ho, ho!! Attendez un peu! Libérez la femme en premier.
dlga_bandits_awaiting_ransom2_b:bandits_awaiting_ransom2_b2|Vous êtes fou! Arrêtez de jouer et envoyez l'argent!
dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_pay|Très bien. Voici votre argent. Laissez la femme partir librement, maintenant.
dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_no_money|J'ai laissé l'argent dans un endroit sûr. Laissez-moi aller le chercher.
dlga_bandits_awaiting_ransom2_no_money:close_window|Testez-vous notre patience ou bien...? Allez chercher l'argent et rapportez-le ici et vite.
dlga_bandits_awaiting_ransom2_b2:bandits_awaiting_ransom2_fight|Je n'ai pas l'intention de vous payer quoi que ce soit. J'exige que vous relâchiez la femme maintenant!
dlga_bandits_awaiting_ransom2_fight:close_window|Vous n'exigerez rien du tout une fois que vous serez mort.
dlga_start:bandits2_awaiting_remeet|Quoi? Vous nous avez donné de l'argent. Nous n'avons plus rien à voir avec vos histoires.
dlga_bandits2_awaiting_remeet:close_window|Désolé de vous avoir dérangé. Je vais continuer mon chemin maintenant.
dlga_bandits2_awaiting_remeet:bandits2_awaiting_remeet_2|Nous avons une affaire à terminer. Vous devez me rendre l'argent.
dlga_bandits2_awaiting_remeet_2:close_window|Oh, quelle entreprise! Bien sûr. Voyons voir.
dlga_start:kidnapped_wife_encounter_1|Oh {mon seigneur/ma dame}. Je vous remercie beaucoup de m'avoir sauvée! Ces bêtes immondes... ils... ils... Voulez-vous me ramener à ma famille maintenant, s'il vous plaît?
dlga_kidnapped_wife_encounter_1:kidnapped_wife_join|Oui. Venez avec moi. Je vais vous ramener à la maison.
dlga_kidnapped_wife_join:close_window|Malheureusement, il n'y a pas assez de place dans votre groupe pour moi.
dlga_kidnapped_wife_join:close_window.1|Oh, je vous remercie beaucoup!
dlga_kidnapped_wife_encounter_1:kidnapped_wife_wait|Attendez ici encore un petit moment. Je vais revenir vous chercher.
dlga_kidnapped_wife_wait:close_window|Oh, s'il vous plaît {mon seigneur/ma dame}, ne me laissez pas toute seule! Je ne le supporterai pas!
dlga_start:village_farmer_talk|{Messire/Ma Dame}, nous ne sommes que de pauvres fermiers du village de {s11}. {reg1?Nous livrons le fruit de notre labeur au marché de {s12}.:Nous revenons du marché de {s12} et retournons vers notre village.} 
dlga_village_farmer_talk:farmer_bandit_information|Je traque un groupe de bandits répondant à la description suivante... Les avez-vous vus ? 
dlga_farmer_bandit_information:village_farmer_talk|{s15} 
dlga_village_farmer_talk:close_window|Nous verrons à quel point vous serez pauvres quand je vous aurai tout pris ! 
