trp_multiplayer_profile_troop_male|Profil multi-joueurs homme
trp_mercenaries_end|fin des mercenaires
trp_mercenaries_end_pl|fin des mercenaires
trp_swadian_r_peasant|I1 Paysan Swadien
trp_swadian_r_peasant_pl|I1 Paysans Swadiens
trp_swadian_n_peasant|I1 Recrue Swadienne
trp_swadian_n_peasant_pl|I1 Recrues Swadiennes
trp_swadian_e_peasant|I1 Paysan Swadien
trp_swadian_e_peasant_pl|I1 Paysans Swadiens
trp_swadian_messenger|Messager Swadien
trp_swadian_messenger_pl|Messagers Swadiens
trp_swadian_deserter|Déserteur Swadien
trp_swadian_deserter_pl|Déserteurs Swadiens
trp_swadian_prison_guard|Geôlier
trp_swadian_prison_guard_pl|Geôliers
trp_swadian_castle_guard|Garde du château
trp_swadian_castle_guard_pl|Gardes du château
trp_stormlands_castle_guard|Garde du château
trp_stormlands_castle_guard_pl|Gardes du château
trp_northern_castle_guard|Garde de cérémonie
trp_northern_castle_guard_pl|Gardes de cérémonie
trp_vale_castle_guard|Garde du château
trp_vale_castle_guard_pl|Gardes du château
trp_braavosi_castle_guard|Garde du Seigneur de la mer
trp_braavosi_castle_guard_pl|Gardes du Seigneur de la mer
; trp_riverlands_castle_guard|Unsullied
; trp_riverlands_castle_guard_pl|Unsullied
trp_dornish_castle_guard|Garde du château
trp_dornish_castle_guard_pl|Gardes du château
trp_dragonstone_castle_guard|Garde du château
trp_dragonstone_castle_guard_pl|Gardes du château
trp_westerlands_castle_guard|Garde du château
trp_westerlands_castle_guard_pl|Gardes du château
trp_reach_castle_guard|Garde du château
trp_reach_castle_guard_pl|Gardes du château
trp_ironborn_castle_guard|Garde de cérémonie
trp_ironborn_castle_guard_pl|Gardes de cérémonie
; trp_pentos_castle_guard|Unsullied
; trp_pentos_castle_guard_pl|Unsullied
trp_tyrosh_castle_guard|Gardien de la ville
trp_tyrosh_castle_guard_pl|Gardiens de la ville
trp_myr_castle_guard|Gardien de la ville
trp_myr_castle_guard_pl|Gardiens de la ville
trp_lys_castle_guard|Gardien de la ville
trp_lys_castle_guard_pl|Gardien de la ville
trp_volantis_castle_guard|Garde Tigre
trp_volantis_castle_guard_pl|Gardes Tigres
trp_norvos_castle_guard|Garde sacré
trp_norvos_castle_guard_pl|Gardes sacrés
trp_lorath_castle_guard|Gardien de la ville
trp_lorath_castle_guard_pl|Gardien de la ville
trp_sister_castle_guard|Garde de cérémonie
trp_sister_castle_guard_pl|Gardes de cérémonie
trp_targaryen_castle_guard|Garde du château
trp_targaryen_castle_guard_pl|Gardes du château
trp_wildling_castle_guard|Garde du château
trp_wildling_castle_guard_pl|Gardes du château
trp_dothraki_castle_guard|Garde du château
trp_dothraki_castle_guard_pl|Gardes du château
trp_stormlands_messenger|Messager des Terres de l'Orage
trp_stormlands_messenger_pl|Messagers des Terres de l'Orage
trp_stormlands_prison_guard|Geôlier
trp_stormlands_prison_guard_pl|Geôliers
trp_northern_messenger|Messager du Nord
trp_northern_messenger_pl|Messager du Nord
trp_northern_prison_guard|Geôlier
trp_northern_prison_guard_pl|Geôliers
trp_vale_messenger|Messager du Val
trp_vale_messenger_pl|Messager du Val
trp_vale_prison_guard|Geôlier
trp_vale_prison_guard_pl|Geôliers
; trp_riverlands_messenger|Qohori Messenger
; trp_riverlands_messenger_pl|Qohori Messengers
trp_riverlands_prison_guard|Geôlier
trp_riverlands_prison_guard_pl|Geôliers
trp_dornish_messenger|Messager de Dorne
trp_dornish_messenger_pl|Messagers de Dorne
trp_dornish_prison_guard|Geôlier
trp_dornish_prison_guard_pl|Geôliers
trp_dragonstone_messenger|Messager de Peyredragon
trp_dragonstone_messenger_pl|Messagers de Peyredragon
trp_dragonstone_prison_guard|Geôlier
trp_dragonstone_prison_guard_pl|Geôliers
trp_westerlands_messenger|Messager des Terres de l'Ouest
trp_westerlands_messenger_pl|Messagers des Terres de l'Ouest
trp_westerlands_prison_guard|Geôlier
trp_westerlands_prison_guard_pl|Geôliers
trp_reach_messenger|Messager du Bief
trp_reach_messenger_pl|Messagers du Bief
trp_reach_prison_guard|Geôlier
trp_reach_prison_guard_pl|Geôliers
trp_ironborn_messenger|Messager Fer-né
trp_ironborn_messenger_pl|Messagers Fer-nés
trp_ironborn_prison_guard|Geôlier
trp_ironborn_prison_guard_pl|Geôliers
trp_sister_messenger|Messager des Sœurs
trp_sister_messenger_pl|Messager des Sœurs
trp_sister_prison_guard|Geôlier
trp_sister_prison_guard_pl|Geôliers
trp_targaryen_messenger|Messager Targaryen
trp_targaryen_messenger_pl|Messagers Targaryen
trp_targaryen_prison_guard|Geôlier
trp_targaryen_prison_guard_pl|Geôliers
trp_braavosi_messenger|Messager de Braavos
trp_braavosi_messenger_pl|Messagers de Braavos
trp_braavosi_prison_guard|Geôlier
trp_braavosi_prison_guard_pl|Geôliers
trp_pentos_messenger|Messager de Pentos
trp_pentos_messenger_pl|Messagers de Pentos
trp_pentos_prison_guard|Geôlier
trp_pentos_prison_guard_pl|Geôliers
trp_tyrosh_messenger|Messager de Tyrosh
trp_tyrosh_messenger_pl|Messagers de Tyrosh
trp_tyrosh_prison_guard|Geôlier
trp_tyrosh_prison_guard_pl|Geôliers
trp_myr_messenger|Messager de Myr
trp_myr_messenger_pl|Messagers de Myr
trp_myr_prison_guard|Geôlier
trp_myr_prison_guard_pl|Geôliers
trp_lys_messenger|Messager de Lys
trp_lys_messenger_pl|Messagers de Lys
trp_lys_prison_guard|Geôlier
trp_lys_prison_guard_pl|Geôliers
trp_volantis_messenger|Messager de Volantis
trp_volantis_messenger_pl|Messagers de Volantis
trp_volantis_prison_guard|Geôlier
trp_volantis_prison_guard_pl|Geôliers
trp_norvos_messenger|Messager de Norvos
trp_norvos_messenger_pl|Messagers de Norvos
trp_norvos_prison_guard|Geôlier
trp_norvos_prison_guard_pl|Geôliers
trp_lorath_messenger|Messager de Lorath
trp_lorath_messenger_pl|Messagers de Lorath
trp_lorath_prison_guard|Geôlier
trp_lorath_prison_guard_pl|Geôliers
trp_wildling_messenger| Messager Sauvageon 
trp_wildling_messenger_pl|Messagers Sauvageons 
trp_wildling_prison_guard|Geôlier
trp_wildling_prison_guard_pl|Geôliers
trp_dothraki_messenger|Messager Dothraki
trp_dothraki_messenger_pl|Messagers Dothraki
trp_dothraki_prison_guard|Geôlier
trp_dothraki_prison_guard_pl|Geôliers
trp_vaegir_n_kholop|Recrue Vaegir
trp_vaegir_n_kholop_pl|Recrues Vaegirs
trp_vaegir_r_kholop|I1 Kholop Vaegir
trp_vaegir_r_kholop_pl|I1 Kholopy Vaegirs
trp_vaegir_e_kholop|I1 Kholop Vaegir
trp_vaegir_e_kholop_pl|I1 Kholopy Vaegirs
trp_vaegir_messenger|Messager Vaegir
trp_vaegir_messenger_pl|Messagers Vaegirs
trp_vaegir_deserter|Déserteur Vaegir
trp_vaegir_deserter_pl|Déserteurs Vaegirs
trp_vaegir_prison_guard|Geôlier
trp_vaegir_prison_guard_pl|Geôliers
trp_vaegir_castle_guard|Garde du château
trp_vaegir_castle_guard_pl|Gardes du château
trp_khergit_n_tariachin|Membre de tribu Khergit
trp_khergit_n_tariachin_pl|Membres de tribu Khergits
trp_khergit_e_tariachin|I1 Tariachin Khergit
trp_khergit_e_tariachin_pl|I1 Tariachinuud Khergits
trp_khergit_messenger|Messager Khergit
trp_khergit_messenger_pl|Messagers Khergits
trp_khergit_deserter|Déserteur Khergit
trp_khergit_deserter_pl|Déserteurs Khergits
trp_khergit_prison_guard|Geôlier
trp_khergit_prison_guard_pl|Geôliers
trp_khergit_castle_guard|Garde du château
trp_khergit_castle_guard_pl|Gardes du château
trp_nord_n_bondi|Recrue du Nord
trp_nord_n_bondi_pl|Recrues du Nord
trp_nord_r_bondi|I1 Bondi Nordique
trp_nord_r_bondi_pl|I1 Bondir Nordiques
trp_nord_e_bondi|I1 Bandit Nordique
trp_nord_e_bondi_pl|I1 Bandit Nordiques
trp_nord_messenger|Messager du Nord
trp_nord_messenger_pl|Messagers du Nord
trp_nord_deserter|Déserteur du Nord
trp_nord_deserter_pl|Déserteurs du Nord
trp_nord_prison_guard|Geôlier
trp_nord_prison_guard_pl|Geôliers
trp_nord_castle_guard|Garde du château
trp_nord_castle_guard_pl|Gardes du château
trp_rhodok_n_cittadino|Membre de tribu Rhodok
trp_rhodok_n_cittadino_pl|Membres de tribu Rhodoks
trp_rhodok_n_novizio|Lancier Rhodok
trp_rhodok_n_novizio_pl|Lanciers Rhodoks
trp_rhodok_n_recluta_balestriere|Arbalétrier Rhodok
trp_rhodok_n_recluta_balestriere_pl|Arbalétriers Rhodoks
trp_rhodok_n_milizia|Lancier Rhodok professionnel
trp_rhodok_n_milizia_pl|Lanciers Rhodoks professionnels
trp_rhodok_n_milizia_balestriere|Arbalétrier Rhodok professionnel
trp_rhodok_n_milizia_balestriere_pl|Arbalétriers Rhodoks professionnels
trp_rhodok_n_fante|Lancier Rhodok vétéran
trp_rhodok_n_fante_pl|Lanciers Rhodoks vétérans
trp_rhodok_n_balestriere|Arbalétrier Rhodok vétéran
trp_rhodok_n_balestriere_pl|Arbalétriers Rhodoks vétérans
trp_rhodok_n_veterano|Sergent Rhodok
trp_rhodok_n_veterano_pl|Sergents Rhodoks
trp_rhodok_n_balestriere_veterano|Tireur d'élite Rhodok
trp_rhodok_n_balestriere_veterano_pl|Tireurs d'élite Rhodoks
trp_rhodok_n_extra1|Membre de tribu Rhodok rebelle
trp_rhodok_n_extra1_pl|Membres de tribu Rhodoks rebelles
trp_rhodok_n_extra2|Membre de tribu Rhodok aventurier
trp_rhodok_n_extra2_pl|Membres de tribu Rhodoks aventuriers
trp_rhodok_n_extra3|Membre de tribu Rhodok rancunier
trp_rhodok_n_extra3_pl|Membres de tribu Rhodoks rancuniers
trp_rhodok_n_extra4|Membre de tribu Rhodok voyageur
trp_rhodok_n_extra4_pl|Membres de tribu Rhodoks voyageurs
trp_rhodok_n_extra5|Membre de tribu Rhodok docile
trp_rhodok_n_extra5_pl|Membres de tribu Rhodoks dociles
trp_rhodok_r_cittadino|I1 Citoyen Rhodok
trp_rhodok_r_cittadino_pl|I1 Citoyens Rhodoks
trp_rhodok_r_novizio|I2 Novice Rhodok
trp_rhodok_r_novizio_pl|I2 Novices Rhodoks
trp_rhodok_r_recluta|I2 Recrue Rhodok
trp_rhodok_r_recluta_pl|I2 Recrues Rhodoks
trp_rhodok_r_lanciere_a_cavallo|C3 Lancier monté Rhodok
trp_rhodok_r_lanciere_a_cavallo_pl|C3 Lanciers montés Rhodoks
trp_rhodok_r_recluta_balestriere|A3 Recrue arbalétrier Rhodok
trp_rhodok_r_recluta_balestriere_pl|A3 Recrues arbalétriers Rhodoks
trp_rhodok_r_lanciere|I3 Lancier Rhodok
trp_rhodok_r_lanciere_pl|I3 Lanciers Rhodoks
trp_rhodok_r_lanza_spezzata|C4 Lanza Spezzata Rhodok
trp_rhodok_r_lanza_spezzata_pl|C4 Lanze Spezzati Rhodoks
trp_rhodok_r_balestriere|A4 Arbalétrier Rhodok
trp_rhodok_r_balestriere_pl|A4 Arbalétriers Rhodoks
trp_rhodok_r_balestriere_leggero|A4 Arbalétrier léger Rhodok
trp_rhodok_r_balestriere_leggero_pl|A4 Arbalétriers légers Rhodok
trp_rhodok_r_lanciere_veterano|I4 Lancier Rhodok vétéran
trp_rhodok_r_lanciere_veterano_pl|I4 Lanciers Rhodoks vétérans
trp_rhodok_r_fante|I4 Infanterie Rhodok
trp_rhodok_r_fante_pl|I4 Infanteries Rhodoks
trp_rhodok_r_balestriere_veterano|A5 Arbalétrier Rhodok vétéran
trp_rhodok_r_balestriere_veterano_pl|A5 Arbalétriers Rhodoks vétérans
trp_rhodok_r_balestriere_d_assedio|A5 Arbalétrier de siège Rhodok
trp_rhodok_r_balestriere_d_assedio_pl|A5 Arbalétriers de siège Rhodoks
trp_rhodok_r_picchiere_veterano|I5 Piquier Rhodok vétéran
trp_rhodok_r_picchiere_veterano_pl|I5 Piquiers Rhodoks vétérans
trp_rhodok_r_capitano_d_assedio|A6 Capitaine de siège Rhodok
trp_rhodok_r_capitano_d_assedio_pl|A6 Capitaines de siège Rhodoks
trp_rhodok_r_extra1|I1 Citoyen Rhodok rebelle
trp_rhodok_r_extra1_pl|I1 Citoyens Rhodoks rebelles
trp_rhodok_r_extra2|I1 Citoyen Rhodok aventurier
trp_rhodok_r_extra2_pl|I1 Citoyens Rhodoks aventuriers
trp_rhodok_r_extra3|I1 Citoyen Rhodok rancunier
trp_rhodok_r_extra3_pl|I1 Citoyens Rhodoks rancuniers
trp_rhodok_r_extra4|I1 Citoyen Rhodok voyageur
trp_rhodok_r_extra4_pl|I1 Citoyens Rhodoks voyageurs
trp_rhodok_r_extra5|I1 Citoyen Rhodok docile
trp_rhodok_r_extra5_pl|I1 Citoyens Rhodoks dociles
trp_rhodok_e_cittadino|I1 Citoyen Rhodok
trp_rhodok_e_cittadino_pl|I1 Citoyens Rhodoks
trp_rhodok_e_novizio|I2 Novice Rhodok
trp_rhodok_e_novizio_pl|I2 Novices Rhodoks
trp_rhodok_e_recluta|I2 Recrue Rhodok
trp_rhodok_e_recluta_pl|I2 Recrues Rhodoks
trp_rhodok_e_milizia|I3 Milicien Rhodok
trp_rhodok_e_milizia_pl|I3 Miliciens Rhodoks
trp_rhodok_e_milizia_balestriere|A3 Milicien arbalétrier Rhodok
trp_rhodok_e_milizia_balestriere_pl|A3 Miliciens arbalétriers Rhodoks
trp_rhodok_e_recluta_balestriere|A3 Recrue arbalétrier Rhodok
trp_rhodok_e_recluta_balestriere_pl|A3 Recrues arbalétriers Rhodoks
trp_rhodok_e_lanciere|I3 Lancier Rhodok
trp_rhodok_e_lanciere_pl|I3 Lanciers Rhodoks
trp_rhodok_e_provisionato|I4 Provisionato Rhodok 
trp_rhodok_e_provisionato_pl|I4 Provisionati Rhodoks
trp_rhodok_e_fante|I4 Infanterie Rhodok
trp_rhodok_e_fante_pl|I4 Infanteries Rhodoks
trp_rhodok_e_balestriere|A4 Arbalétrier Rhodok
trp_rhodok_e_balestriere_pl|A4 Arbalétriers Rhodoks
trp_rhodok_e_balestriere_leggero|A4 Arbalétrier léger Rhodok
trp_rhodok_e_balestriere_leggero_pl|A4 Arbalétriers légers Rhodoks
trp_rhodok_e_lanciere_veterano|I4 Lancier Rhodok vétéran
trp_rhodok_e_lanciere_veterano_pl|I4 Lanciers Rhodoks vétérans
trp_rhodok_e_lanciere_a_cavallo|C4 Lancier monté Rhodok
trp_rhodok_e_lanciere_a_cavallo_pl|C4 Lanciers montés Rhodoks
trp_rhodok_e_guardia|I5 Garde Rhodok
trp_rhodok_e_guardia_pl|I5 Gardes Rhodoks
trp_rhodok_e_veterano|I5 Vétéran Rhodok
trp_rhodok_e_veterano_pl|I5 Vétérans Rhodoks
trp_rhodok_e_balestriere_veterano|A5 Arbalétrier Rhodok vétéran
trp_rhodok_e_balestriere_veterano_pl|A5 Arbalétriers Rhodoks vétérans
trp_rhodok_e_balestriere_d_assedio|A5 Arbalétrier de siège Rhodok
trp_rhodok_e_balestriere_d_assedio_pl|A5 Arbalétriers de siège Rhodoks
trp_rhodok_e_balestriere_a_cavallo|H5 Arbalétrier monté Rhodok
trp_rhodok_e_balestriere_a_cavallo_pl|H5 Arbalétriers montés Rhodoks
trp_rhodok_e_picchiere_veterano|I5 Piquier Rhodok vétéran
trp_rhodok_e_picchiere_veterano_pl|I5 Piquiers Rhodoks vétérans
trp_rhodok_e_lanza_spezzata|C5 Lanza Spezzata Rhodok
trp_rhodok_e_lanza_spezzata_pl|C5 Lanze Spezzati Rhodoks
trp_rhodok_e_guardia_ducale|I6 Garde ducal Rhodok
trp_rhodok_e_guardia_ducale_pl|I6 Gardes ducaux Rhodoks
trp_rhodok_e_capitano_di_ventura|I6 Soldat de fortune Rhodok
trp_rhodok_e_capitano_di_ventura_pl|I6 Soldats de fortune Rhodoks
trp_rhodok_e_balestriere_pesante|A6 Arbalétrier lourd Rhodok
trp_rhodok_e_balestriere_pesante_pl|A6 Arbalétriers lourds Rhodoks
trp_rhodok_e_capitano_d_assedio|A6 Capitaine de siège Rhodok
trp_rhodok_e_capitano_d_assedio_pl|A6 Capitaines de siège Rhodoks
trp_rhodok_e_picchiere_fiammingo|I6 Piquier flamand Rhodok
trp_rhodok_e_picchiere_fiammingo_pl|I6 Piquiers flamands Rhodoks
trp_rhodok_e_condottiero_d_assedio|A7 Condottiere de siège Rhodok
trp_rhodok_e_condottiero_d_assedio_pl|A7 Condottieri de siège Rhodoks
trp_rhodok_e_condottiero|I7 Condottiere Rhodok
trp_rhodok_e_condottiero_pl|I7 Condottieri Rhodoks
trp_rhodok_e_extra1|I1 Citoyen Rhodok rebelle
trp_rhodok_e_extra1_pl|I1 Citoyens Rhodoks rebelles
trp_rhodok_e_extra2|I1 Citoyen Rhodok aventurier
trp_rhodok_e_extra2_pl|I1 Citoyens Rhodoks aventuriers
trp_rhodok_e_extra3|I1 Citoyen Rhodok rancunier
trp_rhodok_e_extra3_pl|I1 Citoyens Rhodoks rancuniers
trp_rhodok_e_extra4|I1 Citoyen Rhodok voyageur
trp_rhodok_e_extra4_pl|I1 Citoyens Rhodoks voyageurs
trp_rhodok_e_extra5|I1 Citoyen Rhodok docile
trp_rhodok_e_extra5_pl|I1 Citoyens Rhodoks dociles
trp_rhodok_messenger|Messager Rhodok
trp_rhodok_messenger_pl|Messagers Rhodoks
trp_rhodok_deserter|Déserteur Rhodok
trp_rhodok_deserter_pl|Déserteurs Rhodoks
trp_rhodok_prison_guard|Geôlier
trp_rhodok_prison_guard_pl|Geôliers
trp_rhodok_castle_guard|Garde du château
trp_rhodok_castle_guard_pl|Gardes du château
trp_sarranid_n_millet|Recrue Dornienne
trp_sarranid_n_millet_pl|Recrues Dorniennes
; trp_sarranid_n_ajam|Dornish Spearman
; trp_sarranid_n_ajam_pl|Dornish Spearmen
; trp_sarranid_n_cemaat|Veteran Dornish Spearman
; trp_sarranid_n_cemaat_pl|Veteran Dornish Spearmen
trp_sarranid_n_jebelus|Tirailleur Dornien
trp_sarranid_n_jebelus_pl|Tirailleurs Dorniens
; trp_sarranid_n_yerliyya|Elite Dornish Spearman
; trp_sarranid_n_yerliyya_pl|Elite Dornish Spearmen
trp_sarranid_n_timariot|Archer Dornien
trp_sarranid_n_timariot_pl|Archers Dorniens
trp_sarranid_n_garip|Épéiste Dornien
trp_sarranid_n_garip_pl|Épéistes Dorniens 
trp_dorne_troop_1|Archer Dornien vétéran
trp_dorne_troop_1_pl|Archers Dorniens vétérans
trp_sarranid_n_yeniceri|Archer monté Dornien
trp_sarranid_n_yeniceri_pl|Archers montés Dorniens
trp_sarranid_n_kapikula|Tirailleur monté Dornien
trp_sarranid_n_kapikula_pl|Tirailleurs montés Dorniens
trp_sarranid_n_uluteci|Chevalier Dornien
trp_sarranid_n_uluteci_pl|Chevaliers Dorniens
trp_sarranid_n_millet1|Recrue de l'Orage
trp_sarranid_n_millet1_pl|Recrues de l'Orage
trp_sarranid_n_ajam1|Lancier de l'Orage
trp_sarranid_n_ajam1_pl|Lanciers de l'Orage
trp_sarranid_n_cemaat1|Épéiste de l'Orage vétéran
trp_sarranid_n_cemaat1_pl|Épéistes de l'Orage vétérans
trp_sarranid_n_jebelus1|Archer de l'Orage
trp_sarranid_n_jebelus1_pl|Archers de l'Orage
trp_sarranid_n_yerliyya1|Épéiste de l'Orage d'élite
trp_sarranid_n_yerliyya1_pl|Épéistes de l'Orage d'élite
trp_sarranid_n_timariot1|Archer long de l'Orage
trp_sarranid_n_timariot1_pl|Archers longs de l'Orage
; trp_stormlands_halberdier|Stormlands Hammerman
; trp_stormlands_halberdier_pl|Stormlands Hammermen
trp_sarranid_n_garip1|Épéiste de l'Orage
trp_sarranid_n_garip1_pl|Épéistes de l'Orage
trp_stormlands_troop_1|Archer long de l'Orage vétéran
trp_stormlands_troop_1_pl|Archer long de l'Orage vétéran
trp_sarranid_n_yeniceri1|Chevalier de l'Orage
trp_sarranid_n_yeniceri1_pl|Chevaliers de l'Orage
trp_sarranid_n_kapikula1|Sergent monté de l'Orage
trp_sarranid_n_kapikula1_pl|Sergents montés de l'Orage
trp_sarranid_n_uluteci1|Chevalier lourd de l'Orage
trp_sarranid_n_uluteci1_pl|Chevaliers lourds de l'Orage
trp_sarranid_n_millet2|Recrue du Nord
trp_sarranid_n_millet2_pl|Recrues du Nord
; trp_sarranid_n_ajam2|Northern Billman
; trp_sarranid_n_ajam2_pl|Northern Billmen
; trp_sarranid_n_cemaat2|Veteran Northern Billman
; trp_sarranid_n_cemaat2_pl|Veteran Northern Billmen
trp_sarranid_n_jebelus2|Archer du Nord
trp_sarranid_n_jebelus2_pl|Archers du Nord
; trp_sarranid_n_yerliyya2|Elite Northern Billman
; trp_sarranid_n_yerliyya2_pl|Elite Northern Billmen
; trp_northern_spearman|Northern Spearman
; trp_northern_spearman_pl|Northern Spearmen
trp_sarranid_n_timariot2|Archer vétéran du Nord
trp_sarranid_n_timariot2_pl|Archers vétérans du Nord
trp_sarranid_n_garip2|Vougier du Nord
trp_sarranid_n_garip2_pl|Vougiers du Nord
trp_northern_troop_1|Archer d'élite du Nord
trp_northern_troop_1_pl|Archers d'élite du Nord
trp_sarranid_n_yeniceri2|Sergent du Nord
trp_sarranid_n_yeniceri2_pl|Sergents du Nord
trp_sarranid_n_kapikula2|Cavalier léger du Nord
trp_sarranid_n_kapikula2_pl|Cavaliers légers du Nord
; trp_sarranid_n_uluteci2|Northern Knight
; trp_sarranid_n_uluteci2_pl|Northern Knights
trp_sarranid_n_millet3|Recrue du Val
trp_sarranid_n_millet3_pl|Recrues du Val
trp_sarranid_n_ajam3|Homme d'arme du Val
trp_sarranid_n_ajam3_pl|Hommes d'arme du Val
trp_sarranid_n_cemaat3|Homme d'arme vétéran du Val 
trp_sarranid_n_cemaat3_pl|Hommes d'arme vétérans du Val
trp_sarranid_n_jebelus3|Archer du Val
trp_sarranid_n_jebelus3_pl|Archers du Val
trp_sarranid_n_yerliyya3| Homme d'arme d'élite du Val 
trp_sarranid_n_yerliyya3_pl|Homme d'arme d'élite du Val
trp_sarranid_n_timariot3|Archer long du Val
trp_sarranid_n_timariot3_pl|Archers longs du Val
trp_sarranid_n_garip3|Sergent du Val
trp_sarranid_n_garip3_pl|Sergents du Val
trp_vale_troop_1|Archer long vétéran du Val 
trp_vale_troop_1_pl|Archers longs vétérans du Val
trp_sarranid_n_yeniceri3|Chevalier du Val
trp_sarranid_n_yeniceri3_pl|Chevaliers du Val
trp_sarranid_n_kapikula3|Sergent monté du Val
trp_sarranid_n_kapikula3_pl|Sergents montés du Val
trp_sarranid_n_uluteci3|Chevalier lourd du Val
trp_sarranid_n_uluteci3_pl|Chevaliers lourds du Val
trp_sarranid_n_millet8|Recrue de Peyredragon
trp_sarranid_n_millet8_pl|Recrues de Peyredragon
trp_sarranid_n_ajam8|Homme d'arme de Peyredragon
trp_sarranid_n_ajam8_pl|Homme d'arme de Peyredragon
trp_sarranid_n_cemaat8|Homme d'arme vétéran de Peyredragon
trp_sarranid_n_cemaat8_pl|Hommes d'arme vétéran de Peyredragon
trp_sarranid_n_jebelus8|Archer long de Peyredragon
trp_sarranid_n_jebelus8_pl|Archers longs de Peyredragon
trp_sarranid_n_yerliyya8|Homme d'arme d'élite de Peyredragon
trp_sarranid_n_yerliyya8_pl|Hommes d'arme d'élite de Peyredragon
trp_sarranid_n_timariot8|Archer long de Peyredragon
trp_sarranid_n_timariot8_pl|Archers longs de Peyredragon
; trp_sarranid_n_garip8|Dragonstone Halberdier
; trp_sarranid_n_garip8_pl|Dragonstone Halberdiers
trp_dragonstone_troop_1|Archer long vétéran de Peyredragon
trp_dragonstone_troop_1_pl|Archers longs vétérans de Peyredragon
trp_sarranid_n_yeniceri8|Chevalier de Peyredragon
trp_sarranid_n_yeniceri8_pl|Chevaliers de Peyredragon
trp_sarranid_n_kapikula8|Sergent monté de Peyredragon
trp_sarranid_n_kapikula8_pl|Sergents montés de Peyredragon
trp_sarranid_n_uluteci8|Chevalier lourd de Peyredragon
