p_zendar|Zendar
p_village_76|Golfo dell' Uomo di Ferro
; p_village_77|Kelp Beach
p_village_78|High Pass
p_village_79|Chelsted
p_village_80|Rollingford
; p_village_81|Elmkirk
p_village_82|Cascate Impetuose
; p_village_83|Bronzewood
; p_village_84|The Golden Pass
p_village_85|Oxcross
p_village_86|Rosemere
; p_village_87|Blackbridge
p_village_88|Langward
p_village_89|Harroway
p_village_90|Punta del Gabbiano
p_village_91|Roosterton
p_village_92|Peckledon
p_village_93|Crossed Elms
p_village_94|Passo Argenteo
p_village_95|Mormarsh
p_village_96|Charnhall
p_village_97|Il Picco Dorato
p_village_98|Heart's Hill
; p_village_99|Grapegrove
; p_village_100|Cobble Cover
p_village_101|Ivy Hall
p_village_102|Vino di Miele
p_village_103|Hammerhal
p_village_104|Donnelwood
p_village_105|Porto del Mare del Tramonto
p_village_106|Arma del Miele
p_village_107|Lowland Hall
p_village_108|Dosk
p_village_109|Mander
p_village_110|Cockleswent
; p_village_111|Beechberry
p_village_112|Sala dell' Avvoltoio
p_village_113|Oxhurst
p_village_114|Appleton
; p_village_115|Charcoal Hill
p_village_116|Culla di Nagga
p_village_117|Punta di Pelle di Foca
p_village_118|Saltcliffe
p_village_119|Harlaw Hall
p_village_120|Orkmont
p_village_121|Downdelving
p_village_122|Torre di Glimmering
; p_village_123|The Forest of Pennies
p_village_124|Sentiero del Serpente
; p_village_125|Brown Cliffs
p_village_126|Baia di Pentos
; p_village_127|Slaver's End
; p_village_128|High Hall
p_village_129|Rhoyne Alto
p_village_130|White Cliffs
p_village_131|Noyne Bassa
; p_village_132|Spice Yard
; p_village_133|Limetree
; p_village_134|The Amber Stream
; p_village_135|Wreckstone
p_village_136|Chyttering
p_village_137|Darkwash
; p_village_138|The Bleeding Tower
; p_village_139|Lavender Shore
p_village_140|Baia di Myrth
; p_village_141|Holyhall
; p_village_142|Quarry Hill
; p_village_143|Pine Hill
; p_village_144|Iron Hill
p_village_145|Deep Coast
p_village_146|Sala di Hugor
; p_village_147|Lake of Avarice
p_village_148|Oil Yard
; p_village_149|Brick Market
; p_village_150|Lady's Lace
; p_village_151|Velvet Market
p_village_152|Valle di Narrah
; p_village_153|Bronze Market
; p_village_154|Little Rhoyne
; p_village_155|Baelors Feet
; p_village_156|Obsidian Harbor
p_village_157|Estermont
; p_village_158|Ivory Market
p_village_159|Amberly
; p_village_160|The Whispers
p_village_161|Brandybottom
p_village_162|Sherrer
p_village_163|Hull
; p_village_164|Sludgy Pond
p_village_165|Little Rock
; p_village_166|Marshdown
; p_village_167|Hollow Ring
; p_village_168|Honeyfinger
; p_village_169|Dune Port
p_village_170|Sweetsister
; p_village_171|Utheros' Maze
; p_village_172|Grape Lake
; p_village_173|Shivering Sea
p_village_174|Velvet Hills
; p_village_175|Upper Noyne
; p_village_176|Erregs Hall
; p_village_177|The Orange Shore
; p_village_178|Cedarwood
p_village_179|Selhoru
p_village_180|Rovine di Sarhoy
; p_village_181|Orange Cliffs
p_village_182|Pinchfire
; p_village_183|Spicehall
; p_village_184|Spice Tree
; p_village_185|Nyel's Mountain
; p_village_186|Hills of Noom
; p_village_187|Bears Den
; p_village_188|Gallows Rock
; p_village_189|Turtle Hill
p_village_190|Deep Marsh
; p_village_191|The Silver Stream
; p_village_192|White Cherry Town
; p_village_193|Cod Town
p_village_194|Timberton
; p_village_195|Plowman's Hill
p_village_196|Pennytree
p_village_197|Greenberry
p_village_198|Punta della Chela Spezzata
; p_village_199|Sealbay
p_village_200|Castello del Rostro di Corvo
p_village_201|Campo di Pietre
p_village_202|Lambswold
; p_village_203|Fogfield
; p_village_204|Swinebank
; p_village_205|Goldwell
p_village_206|Tinhurst
p_village_207|Corcrest
p_salt_mine|Miniera di Sale
p_four_ways_inn|Locanda dell' Incrocio
p_test_scene|test scene
p_battlefields|campi di battaglia
p_dhorak_keep|Forte di Dhorak
p_training_ground|Campo d' Addestramento
p_training_ground_1|Campo del Torneo
p_training_ground_2|Campo del Torneo
p_training_ground_3|Campo del Torneo
p_training_ground_4|Campo del Torneo
p_training_ground_5|Campo del Torneo
p_lighthouse_1|Harbor
; p_rodgars_hut|Rodgars Hut
p_relic_septry|Setta
p_isle_of_faces|L' Isola dei Volti
p_saltpans_isles|L' Isola Quieta
p_summerhall|Rovine di Sala dell' Estate
p_nunns_deep|Orrido di Nunn
p_oldstones|Vecchie Pietre
p_sorrows|Dolori
p_abandoned_holdfast|Fortezza Abbandonata
p_hillhall|Hillhall
p_dragonmont|Rovine Affondate
p_tower_of_joy|Torre della Gioia
p_naggas_hill|Collina di Nagga
p_harrentown|Resti di Harrentown
; p_bloodstone|Bloodstone
p_illyrios_manse|Illyrios Manse
p_donation_septry|Setta
p_castle_black|Castello Nero
p_castle_black2|Castello Nero
p_castle_black3|Castello Nero
p_castle_black4|Castello Nero
p_castle_black5|Castello Nero
p_shadow_tower|Torre delle Ombre
p_shadow_tower2|Torre delle Ombre
p_eastwatch|Forte Orientale
p_odin_cave|Vecchia Cava
; p_brookwater_keep|Brookwater Keep
p_dragonstone_village|Villaggio dei Pescatori
p_haldon_bath|Bagni Logori
p_horror_cave|Vecchio Tumulo
p_golden_company_camp|La Compagnia Dorata
p_cairn_hall|Cairnhall
p_mole_town|Città della Talpa
p_bridge_of_skulls|Gola
p_wall_tunnel|Tunnel
p_water_gardens|Giardini dell'Acqua
p_nightfort|Forte della Notte
p_ninestars_1|Nove Stelle
p_sellsword_camp_bright_banners|I Stendardi Lucenti
p_sellsword_camp_iron_shields|Gli Scudi di Ferro
p_sellsword_camp_gallant_men|Gli Uomini Coraggiosi
p_sellsword_camp_maidens_men|Gli Uomini della Vergine
p_sellsword_camp_ragged_standard|Il Vessillo Lacerato
p_sellsword_camp_long_lances|Le Lunghe Lance
p_sellsword_camp_company_of_the_cat|La Compagnia del Gatto
p_sellsword_camp_windblown|La Compagnia del Vento
p_looter_spawn_point|base dei razziatori
p_steppe_bandit_spawn_point|le steppe
p_taiga_bandit_spawn_point|la tundra
p_forest_bandit_spawn_point|le foreste
p_mountain_bandit_spawn_point|gli altopiani
p_sea_raider_spawn_point_1|la costa
p_sea_raider_spawn_point_2|la costa
p_ship_raider_spawn_point_1|base pirata
p_slaver_bandit_spawn_point|base degli schiavisti
p_escaped_slaves_spawn_point|base degli schiavi fuggitivi
p_clansmen_spawn_point|base degli uomini del clan
p_raiders_spawn_point|base dei razziatori
p_outlaws_spawn_point|base dei fuorilegge
p_rhoyne_bandits_spawn_point|base rhoyne
p_elite_raiders_spawn_point|base dei razziatori d' elite
p_elite_wildlings_spawn_point|base dei bruti d' elite
p_elite_dothraki_spawn_point|base dei dothraki d' elite 
p_crannogmen|crannogmen
p_desert_bandit_spawn_point|i deserti
