qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{s2}^{s3}|{s2}^{s3}
qstr_{s2}^{s4}{s3}|{s2}^{s4}{s3}
qstr_{s2}^^Outfits:|{s2}^^Equipaggiamento:
qstr_{s2}^^Horse:|{s2}^^Cavallo:
qstr_{s2}|{s2}
qstr_{reg1}^money_in_the_|{reg1}^monete nella cassa
qstr_{reg2}^money_in_your|{reg2}^monete nell'inventario
qstr_Withdraw|Ritira
qstr_Deposit|Deposita
qstr_Record_Battle_Size_a|Scegli la dimensione delle battlagie nel menù Opzioni:
; qstr_The__Weapon_Use_Fixe|The 'Weapon Use Fixes' change NPC decision-^making with the following weapon types.^^Un-tick the boxes if you dislike the behavior.
qstr_Use_NPC_Lancer_Fix:|Utilizza il fix per i Lancieri  PNG:
qstr_Use_NPC_Horse_Archer|Utilizza il fix per gli Arcieri a Cavallo  PNG:
qstr_Use_NPC_Spear/Polear|Utilizza il fix per Aste/Armi Inastate PNG:
qstr_Use_Pike/Horse_Damag|Utilizza Modifica Danni per Trafiggere/Cavallo:
qstr_Distance_limit_for_s|Distanza massima per visualizzare le barre HP:
qstr_Show_health_bars_of_|Mostra la barra di salute delle truppe alleate:
qstr_Show_health_bars_of_e|Mostra la barra della salute delle truppe nemiche:
qstr_Show_battle_minimap:|Mostra la minimappa in battaglia:
qstr_Size_of_battle_minim|Grandezza della minimappa (%):
qstr_Enable_Battle_Contin|Abilita la continuazione della battaglia:
qstr_Batt._Cont._Charge_a|La battaglia continua anche dopo il KO:
qstr_Formations_Battle_AI|Formazioni di Battaglia IA:
qstr_Enable_AI_to_use_Spe|Abilita l' IA ad usare ordini speciali:
qstr_Reassign_De_horsed_C|Riassegna i Cavalieri Smontati da Cavallo a:
qstr_Reassign_No_Ammo_Arc|Riassegna gli Arceri Senza Munizioni a:
qstr_Reinforcement_waves:|Numero di rinforzi a ondata:
qstr_Report_shot_distance|Segnala distanza di tiro:
qstr_Report_extra_XP_&_Wp|Riporta extra XP & Comp Armi:
qstr_Enable_Bodyguards_in|Abilita le guardie del corpo nelle città/villaggi:
qstr_Morale_threshold_for|Limite livello del Morale per il consumo del cibo^doppio rispetto al normale:
qstr_Speed_of_battles_on_|Velocità delle battaglie sulla mappa:
qstr_Skill_penalty_from_e|Penalità sull'abilità dovuta all'ingombro dell'equipaggiamento:
qstr_Ranged_penalty_from_|Distanza di tiro penalizzata dal tempo:
qstr_Disable_horse_speed_|Disabilità variazione velocità del cavallo:
qstr_Allow_drowning_in_mi|Consenti annegamento nelle missioni:
qstr_Terrain_advantage_in|Vantaggio tattico nelle battaglie sul proprio territorio:
qstr_Lords_returning_from|I Lord tornano dall'esilio:
qstr_Diplomacy_AI_changes|Modifiche alla diplomazia IA:
qstr_Diplomacy_economic_c|Cambiamenti sulla politica economica:
qstr_Anti_woman_prejudice|Livello di pregiudizio verso le donne:
qstr_Enable_Fog_of_War:|Abilita la Nebbia di Guerra:
qstr_Disable_Time_of_Day:|Disabilita Tempo del Giorno:
qstr_Probability_of_rain/|Probabilità di pioggia/neve (%):
qstr_Cloud_amount:|Quantità di nuvole:
qstr_Fog_strength:|Densità nebbia:
qstr_Disable_companions__|Disattivare reclami compagni:
qstr_Enable_debug_mode:|Abilita la modalità di debug:
qstr_Charge_All|Carica Tutti
qstr_Formations_AI|Formazioni IA
qstr_Native_AI_w/Formatio|IA Native, w/Formazioni
qstr_Enabled|Abilita
qstr_Frequent|Frequente
qstr_Low|Basso
qstr_Medium|Medio
qstr_High/Experimental|Alto/Sperimentale
qstr_Default|Default
qstr_High|Alto
qstr_Floris_Mod^Options|Floris Mod^Opzioni
qstr_About_morale_thresho|Soglia morale: se il morale della vostra compagnia è al di sotto di questo valore, la velocità di consumo del cibo sarà il doppio di quella normale e il bonus di tutti gli alimenti per la compagnia sarà raddoppiato.
qstr_Restore_Defaults|Ripristina le predefinite
qstr_Key_Settings|Impostazione Controlli
qstr_You_can_recruit_troo|È possibile reclutare truppe di {s1} per quest{reg6?o castello:a città}. Il reclutamento costa {reg4} denari e richiederà almeno un giorno. Avete {reg1} denari rimasti qui (reclutamento per {reg2} {reg3?volte:volta}) e {reg5} denari nel tuo forziere.
qstr_Decrease_times_of_re|Diminuire i tempi di reclutamento
qstr_Increase_times_of_re|Aumentare i tempi di reclutamento
qstr_Sovereign_color_of_t|Colore Sovrano del {s0}:
qstr_Red:|Rosso:
qstr_Green:|Verde:
qstr_Blue:|Blu:
qstr__| 
qstr_HTML_code:_{s0}|Codice HTML: {s0}
qstr_Randomize|Casuale
qstr_{s1}_{reg3}/{reg2}_|{s1}({reg3}/{reg2})
qstr_{s1}_{reg2}_|{s1}({reg2})
qstr_Move_to_Top|Sposta in cima
qstr_Move_Up|Sposta sopra
qstr_Move_Down|Sposta sotto
qstr_Move_to_Bottom|Sposta in fondo
qstr_Buy_foods_automaticl|Compra cibo automaticamente quando esci:
qstr_*|*
qstr_Character_Background|Storia del Personaggio
qstr_Your_story:|La tua storia:
qstr_Your_gender:|Sesso:
qstr_Your_father_was:|Tuo padre era:
qstr_You_spent_your_early|Durante la tua infanzia eri:
qstr_Later_you_became:|Più tardi sei diventato:
qstr_The_reason_for_an_ad|Il motivo per un avventura:
qstr_female|femmina
qstr_male|maschio
qstr_a_thief|un ladro
qstr_a_steppe_nomad|un nomade delle steppe
qstr_a_hunter|un cacciatore
qstr_a_veteran_warrior|un guerriero veterano
qstr_a_travelling_merchan|un mercante itinerante
qstr_an_impoverished_nobl|un nobile decaduto
qstr_a_steppe_child|un bambino delle steppe
qstr_a_street_urchin|un teppista di strada
qstr_a_shop_assistant|un assistente in un negozio.
qstr_a_craftsman_s_appren|un apprendista di un artigiano
qstr_a_page_at_a_nobleman|come paggio alla corte di un nobile
qstr_a_game_poacher|un bracconiere
qstr_a_smith|un fabbro
qstr_a_goods_peddler|un venditore ambulante
qstr_a_university_student|uno studente universitario
qstr_a_troubadour|un trovatore
qstr_a_squire|uno scudiero
qstr_a_lady_in_waiting|una dama di compagnia
qstr_lust_for_money_and_p|brama di denaro e potere
qstr_being_forced_out_of_|la perdita della tua casa
qstr_wanderlust|il desiderio di viaggiare
qstr_the_loss_of_a_loved_|la perdita di un amore
qstr_personal_revenge|vendetta personale
qstr_Conscript_quality:|Qualità conscrizione:
qstr_High_centralization_r|Un'alta centralizzazione riduce l'inefficienza fiscale per il re e l'aumenta per i vassalli. Questo interferirà con i rapporti tra sovrano e vassalli.
qstr_High_aristocracy_will|Un'alto livello di aristocrazia migliorerà i rapporti tra il re e i suoi vassalli che saranno in grado di assemblare eserciti più grandi ma causerà una diminuizione del commercio per il deterioramento della classe mercantile.
qstr_High_serfdom_reduces_|Un'alto livello di servitù riduce l'inefficienza fiscale per il re e i suoi vassalli. I vassalli saranno in grado di mantenere eserciti più grandi, ma le truppe perderanno morale.
qstr_{reg0}_denars|{reg0} denari
qstr__Sovereignty_Relatio|Rapporto relazioni sovranità
qstr_Your_sovereignty|Tua sovranità
qstr__Courtships_in_progr|Corteggiamenti in corso
qstr__Known_Lords_by_Rela|Lista dei Lord conosciuti in ordine di relazione
qstr__Character_&_Compani|Personaggio & Compagni
qstr__Done_| Fatto 
qstr_Your_supporters|Tuoi sostenitori
qstr_Swadians|Swadian
qstr_Vaegirs|Vaegir
qstr_Khergits|Khergit
qstr_Nords|Nords
qstr_Rhodoks|Rhodoks
qstr_Sarranids|Sarranidi
qstr_All_Sovereignties|Tutti i regni
qstr__Back_to_shop_| Torna al negozio 
qstr_Strength|Forza
qstr_Riding|Cavalcare
qstr_Pdraw|Forza tiro
qstr_Pthrow|Forza lancio
qstr_1_hand|1-mano
qstr_2_hand|2-mani
qstr_Polearm|Arma con Asta
qstr_Archery|Tiro con l'arco
qstr__X_bow_|Tiro con balestra
qstr_Throwing_|Forza lancio
qstr___Firearms|Armi da fuoco
qstr__Mode| Modalità
qstr__to_next_lvl_|(al prossimo lvl)
qstr__1.3_|1.3
qstr_If_you_can_see_this_|Se puoi vedere questo, acquista una nuova cpu.
qstr___Weapons_|-Armi-
qstr___Armor_|-Armature-
qstr_________________n/a_|n/a 
qstr_Rides|Cavalcare
qstr_Walks|Camminare
qstr_Startpage_set__Quick|Impostazioni pagina iniziale (Vista Rapida)
qstr_Back_to_shop|Torna al negozio
qstr__[?]_|[?]
qstr_Hotkeys:^HOME_=_Imposta_ = "Tasti di scelta rapida:^HOME = Pagina iniziale^RMB = esci dal menu^ESCAPE = Vista Rapida^BACKSPACE = Torna al negozio (se già visitato)"
qstr___Quit2__|- Esci2 -
qstr__Quick_View_| Vista rapida 
qstr_______| 
qstr_Attributes|Attributi
qstr_Skills|Abilità
qstr_Proficiencies|Competenze
qstr_STR:|FOR:
qstr_AGI:|AGI:
qstr_INT:|INT:
qstr_CHA:|CAR:
qstr_Health:|Salute:
qstr_Level:|Livello:
qstr_To_next_lvl:_|Al prossimo lvl: 
qstr_Ironflesh^Power_Stri|Resistenza^Colpo Potente^Tiro Potente^Lancio Potente^Maestria con le Armi^Scudo^Atletica^Cavalcare^Tiro con l'arco a cavallo^Saccheggiare^Addestratore^Seguire le tracce^
qstr_Tactics^Path_finding|Tattica^Seguire Tracce^Osservare^Gestione dell'Inventario^Curare Ferite^Chirurgia^Pronto Soccorso^Persuasione^Controllo Prigionieri^Comando^Commercio
qstr_10|10
qstr_One_Handed_Weapons:^|Armi ad una Mano:^^Armi a due Mani:^^Armi con Asta:^^Tiro con l'Arco:^^Tiro con Balestra:^^Potenza Lancio:^^Armi da Fuoco:
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_|{reg1}
qstr__100%__|100%
qstr__30_|30
qstr__3333333333_|3333333333
qstr__Weapons_|-Armi-
qstr__Armor_|-Armature-
qstr_n/a_________________|n/a
qstr_{s9}_feels...|{s9} si sente...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|scelta dei compagni,
qstr_{s7}|{s7}
qstr_your_style_of_leader|Il tuo stile di comando e...
qstr_{s8}|{s8}
qstr_the_general_state_of|lo stato generale degli affari.^------------------------------
qstr_Morale:_____________|Morale: ^^Origine: 
qstr_State:______________|Stato:
qstr_Startpage_set__Exten|Impostazioni pagina iniziale (Visuale Estesa)
qstr_How_will_your_male_v|Con quale titolo saranno noti i vostri vassalli maschi?
qstr_How_will_your_female|Con quale titolo saranno noti i vostri vassalli donna?
qstr_Default_title.|Titolo predefinito.
qstr_Set_Custom_Titles.|Imposta Titoli personalizzati.
qstr_Use_fief_based_title|Utilizza titoli basati sul feudo (predefinito).
qstr_What_will_your_party|Con quale nome sarà nota la tua compagnia?
qstr_By_the_name_entered_|Con il nome inserito sopra.
qstr_Simply_by_my_name:_{|Semplicemente con il mio nome: {s5}.
qstr__{s2}_siege_camp.|{s2} campo d'assedio.
qstr__Continue_| Continua
qstr_This_area_of_{s1}_ca|Questa zona di {s1} può essere meglio descritta come il cuore della città.^^ Si possono quasi vedere i fili che vengono tirati da qui, il denaro che va e viene in quantità in apparenza infinita. Qui è possibile acquistare la terra che viene coltivata al di fuori dei cancelli della città e beneficiare di quelli che la lavorano duro. Naturalmente si potrebbe non avere i denari necessari per farlo, ma gli usurai sono noti per avere un po di spiccioli.
qstr_{reg1}_people_live_i|{reg1} persone vivono dentro {s1}. Ci sono attualmente {reg2} ettari di terreno disponibili per essere coltivati e fornire loro cibo e altre merci. Possiedi {reg3} acri di terra in questa città. Attualmente devi agli usurai di {s1} {reg4} denari. Il tasso di interesse è del 20% e il periodo del contratto è pari a 2 settimane. Se non riesci a pagare il debito prima della scadenza, l'interesse sarà elevato al 40%. L'acquisto di un acro esistente costa {reg9} denari, mentre si può vendere per {reg10} denari. Costruirne uno nuovo richiede {reg11} denari. L'affitto pagato ai proprietari terrieri attualmente ammonta a {reg13} denari per acro ogni 2 settimane e deve essere raccolto in città. Le terre vengono solitamente affittate se una città è già ben fornita.
qstr_Choose_how_many_acre|Scegli quanti acri desideri vendere:
qstr_Choose_how_many_acres|Scegli quanti acri desideri acquistare:
qstr_Verify|Verifica
qstr_Choose_how_much_mone|Scegli quante monete desideri prendere in prestito:
qstr_Buy_and_prepare_uncu|Acquista e prepara del terreno incolto:
qstr_Pay_off_your_debt_:|Paga il tuo debito:
qstr_{reg5}|{reg5}
qstr_You_cant_sell_0_acre|Non puoi vendere 0 acri di terra.
qstr_You_cant_buy_0_acres|Non puoi comprare 0 acri di terra.
qstr_{reg6}|{reg6}
qstr_You_cant_borrow_0_de|Si puoi prendere in prestito 0 denari.
qstr_{reg7}|{reg7}
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|Non puoi rimborsare 0 denari.
qstr_Town|Città
qstr_Acres|Acri
qstr_Owned|Di proprietà
qstr_Balance|Bilancio
qstr_Assets|Attività
qstr_Debt|Debito
qstr_Deadline|Scadenza
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr_Merchant_Ledger|Libro Mastro dei Mercanti
; qstr_____Assessed_Profit_|    Assessed Profit by Subtitle Here
qstr_{s0}_products_from_{|{s0}, prodotti da {s1}:
; qstr_^{s1}_sold_in_{s2}_w|^{s1} sold in {s2} would earn {reg0} denars.{s3}
; qstr___Assessed_Profit_by|  Assessed Profit by Log Entry Date
; qstr_^{s1}_sold_in_{s2}_wo|^{s1} sold in {s2} would earn {reg0} denars (as of {s0}).{s3}
qstr_Production_in_{s1}|Produzione in {s1}
; qstr_Assessed_Profit_by_T|Assessed Profit by Town of Production
; qstr_^{s1}_purchased_in_{|^{s1} purchased in {s2} would earn {reg0} denars (as of {s0}).{s3}
qstr_Demand_in_{s1}|Domanda di {s1}
; qstr_Assessed_Profit_by_To|Assessed Profit by Town of Demand
qstr_^Buy_in:_{s1}___sell|^Compra a: {s1} - Vendi a: {s2} per {reg0} denari profitto (come di {s0}).{s3}
qstr_Supply_and_Demand_of|Domanda e Offerta di {s1}
; qstr_____Assessed_Profit_b|    Assessed Profit by Trade Good
; qstr_Trim_ledger_entries_|Trim ledger entries older than:              days:
qstr_Remove_entries.|Rimuovi voci.
; qstr_Trim_ledger_entries_c|Trim ledger entries covering the following trade good:
qstr_Use_slider_to_choose|Utilizza il cursore per scegliere l'oggetto
; qstr_Trim_ledger_entries_f|Trim ledger entries for goods tied to this town:
qstr_Use_slider_to_choose_|Utilizza il cursore per scegliere la città
qstr_Remove_entries__Prod|Rimuovi voci (produzione).
qstr_Remove_entries__Dema|Rimuovi voci (domanda).
; qstr_Trim_ledger_entries_w|Trim ledger entries with less than:              denar profit:
; qstr_Ask_about_the_potent|Ask about the potential profit of the following items^    every time you assess prices in a marketplace:
qstr____________Log_Entry|Opzioni di Log delle voci
qstr_Add_Note|Aggiungi nota
qstr_Clear_Notes|Cancella Note
; qstr_Use_a_/\__caret__for|Use a /\ (caret) for a line break.
qstr_Chronological_Log|Cronologia dei Log
qstr_Production_Towns|Città di produzione
; qstr_Purchasing_Towns|Purchasing Towns
qstr_Trade_Goods|Beni di commercio
qstr_Manage_Ledger|Gestisci il libro mastro
qstr_{s1}^+{s0}|{s1}^+{s0}
qstr_{reg0}_entries_remov|{reg0} voci rimosse dal libro mastro.
qstr_Plan_Deployment|Piano di Distribuzione
qstr_You_will_have_{reg1}|Avrai {reg1} truppe disponibili all'inizio della battaglia
qstr_Troop|Truppa
; qstr_#_at_start__/_#_in_p|# at start  / # in party
qstr_/_{reg0}|/ {reg0}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_troops|di {reg0} truppe
qstr_Ready_Troops|Truppe pronte
qstr_Reassess|Rivaluta
qstr_Scrap_All|Cancella tutto
; qstr_Too_many_troops^Chec|Too many troops^Check number available
qstr_Initial|Iniziale
qstr_Movement_1|Movimento 1
qstr_Movement_2|Movimento 2
qstr_Formation|Formazione
qstr_Attack|Attacca
qstr_Weapon_Type|Tipo di arma
qstr_Shield|Scudo
qstr_Skirmish|Schermaglia
qstr_Hold_Position|Tenere la posizione
qstr_Back_10|Indietro 10
qstr_Forward_10|Avanti 10
qstr_Repeat_x|Ripetere x
qstr_Square|Quadrato
qstr_Wedge|Cuneo
qstr_Shieldwall|Muro di scudi
qstr_Ranks|Ranghi
qstr_Ranged|A Distanza
qstr_Two_Handed|Due Mani
qstr_One_Handed|Una Mano
qstr_No_Shields|Senza scudi
qstr_Use_Shields|Utilizzare scudi
qstr_Avoid_Melee|Evitare il corpo a corpo
qstr_Turn_to_weapon_order|Vai agli ordini sulle armi...
qstr_Prepare_Orders|Prepara gli ordini
qstr_Dispatch_Orders|Spedisci ordini
; qstr_...Turn_to_positioni|...Turn to positioning orders
qstr_Record_Battle_Size_as|Imposta la Dimensione delle Battaglie nel menu Opzioni
qstr_Enable_ranged_penalt|Abilità distanza di tiro condizionata dalle contidizioni del tempo:
qstr_Disable_Companions__|Disattivare i reclami dei compagni:
qstr_Enable_the_cheat_men|Abilita il menu trucchi:
qstr_PBOD_Mod^Options|PBOD Mod^Opzioni
; qstr_Mouse_over_options_f|Mouse-over options for further information.
; qstr_Weapon_Use_Fix_for_L|Weapon Use Fix for Lancers will force mounted bots with lances to use them unless they are surrounded by enemies.
; qstr_Weapon_Use_Fix_for_H|Weapon Use Fix for Horse Archers will force mounted bots with bows to use them until they run out of ammo.
; qstr_Weapon_Use_Fix_for_S|Weapon Use Fix for Spear/Polearms will force infantry bots with polearms to use them unless they are surrounded by enemies.
; qstr_Damage_tweaks_will_g|Damage tweaks will give a flat boost to damage from spears to horses, and charge damage from horses to infantry, in an attempt to compensate for poor AI use of polearms and charges.
; qstr_Mounted_bots_once_th|Mounted bots, once their horse dies, can be re-assinged to a division of your choosing. If active, AI bots will be reassigned to infantry.
; qstr_Foot_archer_bots_onc|Foot archer bots, once out of ammo, can be re-assinged to a division of your choosing. If active, AI bots will be reassigned to infantry.
qstr_Battle_Continuation_|Continuazione della Battaglia permette alle tue truppe di continuare a combattere anche dopo che sei stato messo ko.
; qstr_If_Battle_Continuati|If Battle Continuation is active, you can select what your troops will do after you get knocked out: Disabled has them continue their previous orders; Charge all will give everyone a charge order; Formations AI (if active for the AI) will allow the new AI to take over for you.
; qstr_Select_your_prefered|Select your prefered Battle AI: Disabled is Native AI; Formations AI both allows the AI to use formations and changes their battle decision-making; Native AI w/Formations is Native AI but carries out the Native AI with basic formations.
; qstr_Enabling_AI_Special_|Enabling AI Special Orders allows the AI teams to use volley fire (crossbows), skirmish mode (bow-users), and spear-bracing (polearm infantry).
; qstr_Bodyguards_allows_yo|Bodyguards allows your companions to serve as your character's bodyguards in town and village scenes. The number of bodyguards depends on your character's leadership and renown.
; qstr_The_Weather_Proficie|The Weather Proficiency Penalties lowers the ranged weapons proficiencies of all troops while in battle in heavy fog, rain/snow, or at night to reflect the poor conditions for archery.
; qstr_Disabling_NPC_Compla|Disabling NPC Complaints will mute your companion's complaints about eachother or your decisions. It will not remove the consequences of their opinions, however.
; qstr_The_cheat/debug_mode|The cheat/debug mode activates debug messages as well as the 'cheatmenu' in your Camp Menu and additional options under Reports.
qstr_Keys_Configuration|Configurazione Tasti
; qstr_Press_Esc_to^^Disabl|Press Esc to^^Disable a key
